lemma,count
the,17
in,13
of,11
be,7
have,7
j,7
and,6
a,6
with,5
volume,5
it,4
on,4
my,4
essay,4
book,3
author,3
new,3
his,3
life,3
bird,2
mr,2
appear,2
expedition,2
little,2
old,2
up,2
page,2
open,2
lose,2
tho,2
to,2
alaska,2
last,2
co,2
that,2
another,2
this,2
february,2
he,2
i,2
babe,1
exhaustible,1
n,1
bur,1
near,1
r,1
cloth,1
but,1
cabin,1
about,1
photograph,1
conjurer,1
declare,1
gild,1
simile,1
frontispiece,1
green,1
si,1
observation,1
shortly,1
short,1
autograph,1
ion,1
collection,1
island,1
nest,1
oil,1
ix,1
doubleday,1
take,1
tin,1
field,1
write,1
when,1
winter,1
trip,1
au,1
john,1
gleaning,1
boston,1
tell,1
two,1
entitle,1
plate,1
profusely,1
continue,1
try,1
gust,1
naturalist,1
name,1
day,1
silk,1
front,1
probably,1
know,1
lunch,1
account,1
woods,1
theme,1
combine,1
only,1
how,1
cut,1
note,1
before,1
birds,1
rough,1
tone,1
paper,1
not,1
half,1
text,1
where,1
jamaica,1
work,1
deal,1
top,1
illustrate,1
promise,1
hook,1
outdoor,1
color,1
s,1
burroughs,1
keep,1
ill,1
c,1
chapter,1
by,1
crone,1
york,1
free,1
pp,1
nature,1
love,1
august,1
full,1
print,1
publish,1
air,1
follow,1
result,1
habit,1
nearly,1
