lemma,count
the,29
a,23
and,17
be,16
of,14
it,10
to,10
in,9
have,7
not,6
so,5
his,5
learn,5
king,5
he,4
prussian,4
with,4
but,4
that,4
though,3
please,3
for,3
good,3
joan,3
s,3
or,3
quaint,3
human,3
himself,3
kindly,2
cowardly,2
englishman,2
obviously,2
fellow,2
too,2
even,2
story,2
at,2
grenadier,2
fashion,2
century,2
von,2
f,2
v,2
something,2
red,2
spirit,2
choke,2
many,2
by,2
will,2
some,2
this,2
recruit,2
all,2
there,2
officer,2
book,2
conjurer,2
very,2
other,2
man,2
same,2
william,2
talk,2
they,2
kind,1
novel,1
scare,1
chessman,1
get,1
impecunious,1
char,1
give,1
author,1
frederick,1
gretchen,1
ha,1
drag,1
excellent,1
burlesque,1
si,1
fact,1
company,1
time,1
partly,1
tall,1
modem,1
scotch,1
dame,1
make,1
is,1
err,1
collector,1
fa,1
which,1
different,1
if,1
brandenburg,1
seem,1
prussia,1
much,1
need,1
wander,1
write,1
high,1
sample,1
crick,1
take,1
aunt,1
rival,1
you,1
real,1
grimly,1
fr,1
piece,1
vocabulary,1
hts,1
may,1
historical,1
after,1
overweight,1
cask,1
travel,1
mo,1
own,1
whom,1
name,1
material,1
introduce,1
famous,1
oner,1
jack,1
monarch,1
lady,1
grim,1
usual,1
marry,1
them,1
these,1
peasant,1
obscure,1
arrant,1
england,1
fair,1
play,1
macmillan,1
goose,1
fate,1
do,1
doe,1
spite,1
chrystal,1
cravat,1
rest,1
already,1
scholarly,1
fine,1
find,1
whose,1
certainly,1
la,1
fool,1
send,1
royal,1
sheppard,1
arid,1
choleric,1
crimp,1
te,1
chamberlain,1
achieve,1
likely,1
year,1
bite,1
beautiful,1
put,1
along,1
care,1
on,1
lass,1
swear,1
place,1
knave,1
youthful,1
fantastic,1
spoil,1
german,1
love,1
simple,1
merely,1
fancy,1
marvelous,1
guard,1
george,1
her,1
excess,1
step,1
casual,1
reader,1
subject,1
aim,1
giant,1
humor,1
rude,1
scrap,1
understudy,1
yet,1
providence,1
new,1
jester,1
fall,1
order,1
badge,1
she,1
degree,1
nature,1
transpose,1
pp,1
undo,1
wine,1
