lemma,count
the,245
of,163
and,129
a,121
be,116
to,90
in,68
he,60
his,48
have,42
that,42
for,31
it,28
with,24
at,23
on,18
by,17
this,15
great,15
there,14
but,14
which,13
who,12
country,12
him,12
so,11
s,11
british,11
one,11
not,10
make,10
will,9
give,9
power,9
can,8
no,8
general,8
may,8
much,8
v,7
sultan,7
governor,7
man,7
from,7
canadian,7
canada,7
their,7
send,7
egypt,6
ambassador,6
french,6
because,6
christian,6
troop,6
under,6
over,6
good,6
any,6
many,5
would,5
britain,5
turkish,5
through,5
syria,5
success,5
england,5
appoint,5
they,5
time,5
task,5
without,5
part,5
tho,5
commissioner,5
state,5
st,5
than,5
against,5
say,5
france,5
english,5
union,4
action,4
all,4
far,4
charm,4
measure,4
though,4
take,4
come,4
opinion,4
policy,4
almost,4
both,4
its,4
foreign,4
system,4
i,4
commission,4
once,4
value,4
east,4
or,4
statesman,4
act,4
yet,4
important,4
about,4
lord,4
when,4
interest,4
government,4
pass,4
little,4
some,3
master,3
close,3
order,3
destiny,3
people,3
petersburg,3
maintain,3
toward,3
work,3
serve,3
new,3
europe,3
own,3
do,3
into,3
india,3
imperial,3
long,3
province,3
dominion,3
able,3
war,3
politician,3
such,3
rather,3
turn,3
turk,3
conference,3
biography,3
bring,3
grow,3
lebanon,3
regard,3
personality,3
up,3
official,3
two,3
ideal,3
permanent,3
other,3
york,3
ministry,3
call,3
merely,3
look,3
associate,3
book,3
thing,3
them,3
proposition,3
constantinople,3
unite,3
before,3
life,3
while,3
army,3
emergency,3
out,3
never,3
difficult,3
doubt,3
upon,3
our,3
course,3
activity,2
revolt,2
lead,2
e,2
difficulty,2
himself,2
special,2
land,2
mountain,2
element,2
seem,2
issue,2
quality,2
independence,2
open,2
service,2
ford,2
story,2
district,2
condition,2
carry,2
way,2
too,2
compromise,2
dwell,2
liberal,2
jealousy,2
scheme,2
surrender,2
feel,2
influence,2
already,2
treaty,2
legally,2
hear,2
attempt,2
july,2
diplomatic,2
g,2
russia,2
r,2
y,2
note,2
begin,2
combine,2
association,2
bey,2
representative,2
assert,2
honorary,2
entitle,2
easy,2
ireland,2
due,2
arab,2
standstill,2
political,2
desire,2
moreover,2
n,2
add,2
generous,2
member,2
military,2
hand,2
noble,2
position,2
several,2
ruler,2
diplomatist,2
aid,2
depose,2
if,2
true,2
ava,2
love,2
skill,2
insist,2
colony,2
t,2
queen,2
massacre,2
within,2
nothing,2
opportunity,2
should,2
outside,2
away,2
where,2
determine,2
clear,2
deny,2
device,2
prestige,2
acquiesce,2
seldom,2
secretary,2
suggest,2
authority,2
con,2
whole,2
april,2
simply,2
deal,2
c,2
empire,2
j,2
we,2
become,2
future,2
stand,2
subject,2
result,2
only,2
represent,2
contempt,2
then,2
even,2
sir,2
european,2
edinburgh,2
triumph,2
after,2
tact,2
loyalty,2
lay,2
succession,2
natural,2
leave,2
chief,2
tenure,2
office,2
appointment,2
diplomacy,2
still,2
tendency,2
international,2
woman,2
sentimentalist,2
join,2
put,2
establish,2
win,2
family,2
honor,2
until,2
successful,2
berlin,2
wait,2
household,2
remain,2
praise,2
meet,2
protection,2
my,2
degree,2
control,2
dictation,2
damascus,2
administration,2
whose,2
nation,2
settlement,2
go,2
flush,1
half,1
subterfuge,1
kiss,1
rare,1
among,1
hero,1
full,1
valuable,1
kilt,1
serious,1
lavish,1
shape,1
identify,1
world,1
overreach,1
kinship,1
commercial,1
scenery,1
immemorial,1
alone,1
shortly,1
vice,1
com,1
child,1
cheek,1
well,1
slaughter,1
easily,1
person,1
concern,1
encounter,1
foment,1
mother,1
america,1
persecution,1
touch,1
era,1
tradition,1
educate,1
real,1
march,1
colonel,1
darkness,1
situation,1
chancellor,1
february,1
viceregal,1
multitude,1
background,1
press,1
aim,1
railroad,1
scruple,1
picture,1
loss,1
confederacy,1
administrative,1
pliancy,1
citizen,1
polity,1
blow,1
admiral,1
application,1
reformer,1
assassination,1
had,1
cherish,1
instrument,1
drift,1
welcome,1
secretly,1
capital,1
liberty,1
brief,1
recent,1
strong,1
november,1
ir,1
authorize,1
possess,1
identical,1
amiability,1
century,1
mutual,1
vi,1
loyal,1
suppose,1
iv,1
ii,1
glorify,1
sweetness,1
oppress,1
hearted,1
astuteness,1
emerge,1
alexandria,1
necessary,1
case,1
arid,1
fresh,1
befriend,1
doubts,1
elude,1
spirit,1
present,1
save,1
brilliant,1
conception,1
highly,1
plain,1
reception,1
confederation,1
secure,1
depart,1
social,1
happy,1
different,1
consider,1
development,1
monarch,1
slave,1
prosperity,1
restraint,1
wife,1
island,1
effect,1
italy,1
evil,1
change,1
delight,1
affair,1
suburb,1
singularly,1
warden,1
conviction,1
conflict,1
receive,1
party,1
fulfill,1
grant,1
pay,1
suggestion,1
belong,1
dishonor,1
invest,1
connection,1
example,1
commonly,1
dublin,1
strange,1
speech,1
triumphantly,1
study,1
frenchman,1
port,1
like,1
joseph,1
few,1
wag,1
comparatively,1
question,1
sovereign,1
account,1
rise,1
very,1
form,1
novelist,1
heritage,1
decisive,1
egyptian,1
opponent,1
forget,1
north,1
diplomat,1
every,1
decide,1
intervention,1
prize,1
school,1
unimpaired,1
arms,1
down,1
dim,1
underrate,1
right,1
vast,1
laval,1
thwart,1
lesson,1
fall,1
mere,1
stench,1
mohammedan,1
av,1
civil,1
severely,1
characteristic,1
involve,1
rouse,1
triumphant,1
tell,1
foresight,1
record,1
piece,1
crusade,1
prejudice,1
enthusiastic,1
irish,1
brilliancy,1
subdue,1
expedition,1
anticipation,1
rage,1
glory,1
marquis,1
vet,1
sound,1
tenacious,1
duchy,1
independently,1
sent,1
worth,1
carelessly,1
sovereignty,1
strenuous,1
russian,1
terror,1
edward,1
fort,1
father,1
throw,1
communication,1
statecraft,1
certain,1
prevent,1
play,1
charter,1
makeshift,1
hair,1
growth,1
complete,1
cr,1
intact,1
trait,1
yachtsman,1
nobleman,1
trust,1
declare,1
disraeli,1
conservative,1
civilization,1
accomplishment,1
spring,1
force,1
ulster,1
residence,1
achieve,1
signal,1
strife,1
distrust,1
further,1
popular,1
horn,1
tie,1
security,1
disorder,1
gill,1
sketch,1
versatility,1
landowner,1
rebellion,1
officer,1
transmission,1
peace,1
czar,1
settle,1
actual,1
incline,1
predisposition,1
compel,1
conceal,1
sinister,1
regain,1
favorite,1
o,1
side,1
practical,1
range,1
brother,1
conceive,1
retribution,1
refuge,1
abroad,1
adversary,1
hospitality,1
object,1
follow,1
murderer,1
condescension,1
quick,1
peculiarly,1
reality,1
burn,1
cori,1
illustration,1
constructive,1
pressure,1
disastrous,1
detail,1
imbecility,1
live,1
andrew,1
sect,1
punish,1
tool,1
suit,1
sentiment,1
hut,1
appreciation,1
remark,1
sagacity,1
tale,1
greet,1
columbia,1
author,1
population,1
kindly,1
co,1
aspiration,1
light,1
et,1
relationship,1
fleet,1
warmly,1
message,1
mainly,1
consent,1
attach,1
tate,1
judgment,1
help,1
ha,1
disposition,1
typical,1
statement,1
convention,1
deceive,1
final,1
friend,1
listen,1
anus,1
imputation,1
autumn,1
joint,1
bind,1
elsewhere,1
strength,1
rochester,1
