lemma,count
the,22
and,21
of,21
a,16
be,13
sylvia,11
to,10
in,7
her,6
david,6
by,5
it,5
have,5
for,4
with,4
on,4
that,4
young,3
little,3
story,3
he,3
cattle,3
city,3
great,3
suffer,2
she,2
all,2
woman,2
kind,2
where,2
one,2
which,2
at,2
m,2
touch,2
leave,2
love,2
south,2
s,2
part,2
ranch,2
before,2
soul,2
husband,2
may,2
there,2
his,2
much,2
southwest,2
not,2
time,2
edith,2
enemy,2
sacrifice,2
rescue,2
tho,1
spend,1
company,1
meet,1
c,1
but,1
taste,1
gallop,1
si,1
so,1
thia,1
eave,1
residence,1
discover,1
herself,1
while,1
will,1
trail,1
air,1
up,1
mo,1
train,1
this,1
strenuous,1
rare,1
pass,1
hold,1
boston,1
shooter,1
together,1
thus,1
ordinary,1
gallantly,1
begin,1
literature,1
beauty,1
again,1
after,1
reach,1
hand,1
charm,1
delicate,1
dust,1
parting,1
man,1
clear,1
newman,1
stress,1
bullet,1
shotgun,1
mass,1
take,1
heartbreak,1
rill,1
ripple,1
chin,1
tale,1
clair,1
i,1
native,1
feud,1
dazzle,1
end,1
forehead,1
no,1
deadly,1
enthrall,1
travel,1
six,1
wound,1
tour,1
wherein,1
bereave,1
open,1
way,1
hasten,1
rear,1
possess,1
idyllic,1
die,1
marry,1
unusual,1
robbery,1
night,1
become,1
right,1
firm,1
back,1
hair,1
selfishness,1
home,1
kidnap,1
wander,1
even,1
excitement,1
hide,1
day,1
treachery,1
during,1
they,1
peace,1
just,1
coolly,1
when,1
already,1
through,1
human,1
dakota,1
continent,1
bind,1
gold,1
personal,1
late,1
indifference,1
grip,1
do,1
them,1
far,1
dark,1
reunite,1
lose,1
reader,1
or,1
beautiful,1
own,1
visit,1
drown,1
scene,1
rank,1
tell,1
flee,1
illustrate,1
sadly,1
attraction,1
come,1
subside,1
long,1
whom,1
therefore,1
storm,1
breed,1
until,1
con,1
mouth,1
new,1
thing,1
appeal,1
forth,1
providential,1
we,1
run,1
lover,1
poise,1
whiteness,1
death,1
york,1
news,1
along,1
swift,1
heroic,1
shine,1
last,1
would,1
shipwreck,1
prove,1
fact,1
