lemma,count
the,73
of,56
a,44
and,32
be,30
in,24
have,20
that,18
it,18
to,15
mr,13
with,12
slavery,11
not,11
his,10
abolitionist,9
he,9
do,8
hume,7
party,7
political,7
man,6
on,6
this,6
anti,6
for,6
so,5
much,5
time,5
by,5
state,5
they,5
but,5
very,5
at,5
old,4
its,4
one,4
when,4
which,4
would,4
liberty,4
give,3
can,3
take,3
write,3
their,3
we,3
late,3
from,3
who,3
other,3
whom,3
even,3
book,3
interest,3
year,3
hand,3
little,3
opinion,3
day,2
veteran,2
them,2
good,2
seem,2
republican,2
part,2
than,2
easily,2
consequence,2
john,2
struggle,2
toward,2
belligerent,2
all,2
organization,2
extremely,2
politic,2
volume,2
north,2
war,2
hysterical,2
there,2
or,2
run,2
lincoln,2
now,2
recollection,2
tho,2
i,2
off,2
independent,2
make,2
agitation,2
life,2
union,2
r,2
where,2
ohio,2
him,2
famous,2
pretty,2
crime,2
proclamation,2
fact,2
especially,2
opposition,2
missouri,2
account,2
call,2
far,2
movement,2
sense,2
may,2
southern,2
what,2
antislavery,2
date,2
boy,2
great,2
roosevelt,2
action,2
criticism,2
rather,2
passage,2
live,2
novel,1
shape,1
add,1
eager,1
entertain,1
touch,1
active,1
compromiser,1
partisanship,1
ia,1
restore,1
flight,1
fire,1
position,1
crisis,1
glimpse,1
severe,1
overthrow,1
putnam,1
readily,1
railroad,1
never,1
lose,1
simply,1
essential,1
because,1
degree,1
slowly,1
often,1
crowd,1
army,1
without,1
dismiss,1
aim,1
immense,1
precursor,1
unnecessarily,1
aid,1
precede,1
provocative,1
moral,1
almost,1
sincere,1
family,1
love,1
ready,1
chase,1
author,1
understand,1
strange,1
contest,1
bristle,1
underground,1
else,1
difficult,1
amount,1
slave,1
theodore,1
evil,1
people,1
credit,1
purpose,1
expand,1
receive,1
engage,1
before,1
mighty,1
senate,1
influence,1
deliberation,1
passenger,1
temper,1
edward,1
benton,1
characteristic,1
admiration,1
under,1
considerable,1
true,1
risk,1
condition,1
duly,1
form,1
harbor,1
abstract,1
exist,1
p,1
finally,1
u,1
rule,1
practically,1
ago,1
restoration,1
certainly,1
separate,1
star,1
father,1
reality,1
deserve,1
no,1
girl,1
deed,1
rally,1
buy,1
small,1
mark,1
hamper,1
steadily,1
important,1
will,1
about,1
appear,1
standpoint,1
nowhere,1
burn,1
power,1
new,1
ever,1
pen,1
everything,1
contrast,1
curious,1
commit,1
youthful,1
start,1
equally,1
fight,1
question,1
force,1
support,1
prediction,1
her,1
deal,1
wade,1
right,1
phase,1
down,1
into,1
civil,1
formerly,1
own,1
confident,1
insist,1
throw,1
such,1
confuse,1
president,1
organize,1
think,1
unselfish,1
qualification,1
oppose,1
poughkeepsie,1
american,1
keep,1
grow,1
estimate,1
sneer,1
imagine,1
effective,1
rank,1
owner,1
defense,1
neighborhood,1
bitterness,1
hundred,1
positively,1
ft,1
somewhat,1
wisdom,1
immediate,1
after,1
white,1
produce,1
historian,1
twenty,1
service,1
necessarily,1
adventure,1
surely,1
base,1
quite,1
story,1
thrill,1
negligible,1
nor,1
sumner,1
infant,1
help,1
over,1
nowise,1
soon,1
course,1
then,1
encounter,1
previously,1
still,1
personal,1
si,1
element,1
truth,1
actively,1
cary,1
issue,1
lad,1
repress,1
unnatural,1
sentiment,1
accomplish,1
el,1
really,1
happen,1
our,1
light,1
connect,1
harm,1
solomon,1
instead,1
eleven,1
enough,1
subject,1
desperate,1
result,1
arouse,1
expediency,1
observer,1
seventeen,1
themselves,1
tell,1
enemy,1
wretched,1
distinctly,1
train,1
express,1
hostility,1
away,1
therefore,1
devotion,1
probably,1
source,1
throughout,1
how,1
period,1
point,1
duty,1
senator,1
s,1
agree,1
many,1
both,1
come,1
article,1
agitator,1
attention,1
recount,1
must,1
continuity,1
only,1
accuracy,1
persistence,1
concern,1
destroy,1
thoma,1
something,1
emphasis,1
sordid,1
able,1
attract,1
dozen,1
any,1
seek,1
mine,1
sacred,1
combat,1
though,1
critic,1
enlist,1
recall,1
work,1
purely,1
decidedly,1
praise,1
weigh,1
earnestness,1
forget,1
deny,1
achievement,1
accept,1
nothing,1
significant,1
negro,1
harmful,1
