lemma,count
the,16
of,16
a,16
and,13
have,10
be,9
bacon,6
in,5
s,5
from,5
his,4
by,4
berkeley,3
rebellion,3
for,3
figure,3
cooke,3
william,2
t,2
governor,2
new,2
ellis,2
word,2
account,2
it,2
but,2
juvenile,2
m,2
history,2
author,2
one,2
call,2
sir,2
boy,2
story,2
entertain,2
who,2
virginia,2
englander,2
at,2
same,2
ant,1
manner,1
patriot,1
mu,1
itself,1
ii,1
oath,1
matter,1
admirer,1
almost,1
adopt,1
compare,1
wrestler,1
many,1
affair,1
when,1
rescue,1
may,1
forerunner,1
tho,1
drive,1
well,1
picturesque,1
i,1
largely,1
man,1
palate,1
such,1
abuse,1
hand,1
evil,1
uprising,1
huge,1
rather,1
description,1
ft,1
adherent,1
hoy,1
disciple,1
take,1
speech,1
other,1
clearwater,1
write,1
american,1
stafford,1
pp,1
make,1
shoot,1
throw,1
with,1
pleas,1
stout,1
not,1
little,1
gen,1
virginian,1
book,1
set,1
prophecy,1
people,1
minion,1
back,1
elegant,1
invention,1
beyond,1
very,1
dissimilar,1
bout,1
edward,1
source,1
passage,1
young,1
derive,1
previous,1
to,1
relation,1
own,1
contemporary,1
both,1
over,1
text,1
grievance,1
gentleman,1
indian,1
capital,1
revolution,1
some,1
that,1
sort,1
expurgation,1
john,1
naught,1
wonderful,1
wrestle,1
philadelphia,1
basis,1
guest,1
impetuous,1
open,1
lively,1
two,1
cause,1
colony,1
co,1
mr,1
criticism,1
or,1
o,1
g,1
cousin,1
incident,1
pleasant,1
quite,1
use,1
henry,1
hero,1
typical,1
