lemma,count
the,48
a,26
of,20
and,19
be,19
to,12
have,11
he,9
in,9
that,8
economic,7
no,5
woman,5
american,5
which,5
this,5
it,4
fallacy,4
assume,4
by,4
with,4
there,3
mr,3
old,3
sex,3
not,3
hagar,3
tend,3
family,3
new,3
man,3
nature,3
can,3
head,2
responsibility,2
influx,2
where,2
think,2
population,2
say,2
foreign,2
people,2
doubt,2
some,2
however,2
opinion,2
s,2
present,2
modern,2
doe,2
increase,2
between,2
white,2
question,2
if,2
animal,2
upon,2
under,2
marriage,2
must,2
do,2
his,2
such,2
equality,2
way,1
wonderfully,1
analogy,1
scientific,1
differentiate,1
discourage,1
sense,1
class,1
their,1
realization,1
fight,1
child,1
off,1
serious,1
line,1
ha,1
effort,1
but,1
treat,1
remote,1
i,1
survive,1
south,1
hundred,1
therefore,1
compensate,1
direction,1
cal,1
interest,1
so,1
drone,1
element,1
conjurer,1
multiply,1
author,1
clear,1
life,1
fatal,1
utterly,1
food,1
false,1
modification,1
grind,1
thus,1
low,1
other,1
involve,1
fail,1
case,1
when,1
responsible,1
latter,1
suggest,1
patent,1
exist,1
manner,1
destroy,1
would,1
compare,1
exhibit,1
high,1
expect,1
n,1
will,1
suggestive,1
who,1
convince,1
contrary,1
may,1
book,1
begin,1
connotation,1
problem,1
toward,1
at,1
decidedly,1
owe,1
topical,1
idea,1
birth,1
possible,1
remedy,1
every,1
they,1
likeness,1
discouragement,1
spend,1
condition,1
arrange,1
term,1
sentimental,1
university,1
l,1
leave,1
whether,1
good,1
race,1
either,1
contain,1
biological,1
mean,1
set,1
express,1
very,1
return,1
unlikeness,1
among,1
burden,1
presence,1
already,1
relation,1
affect,1
still,1
rot,1
make,1
original,1
resemblance,1
inferior,1
system,1
how,1
cornell,1
much,1
show,1
jar,1
only,1
lu,1
black,1
hat,1
spring,1
society,1
table,1
rate,1
against,1
thing,1
stand,1
mistake,1
own,1
numb,1
point,1
reversal,1
character,1
one,1
satisfaction,1
color,1
right,1
decrease,1
carry,1
england,1
establish,1
mere,1
unit,1
notion,1
little,1
or,1
from,1
settler,1
many,1
fearfully,1
bold,1
result,1
year,1
out,1
humor,1
unconscious,1
for,1
circumstance,1
publish,1
method,1
never,1
power,1
last,1
frank,1
standard,1
breadwinner,1
york,1
put,1
consideration,1
obscured,1
come,1
change,1
on,1
order,1
