lemma,count
the,18
and,15
his,13
of,8
be,8
a,6
with,4
i,4
at,4
he,4
to,4
joseph,4
mother,3
much,3
him,3
populace,2
have,2
by,2
alice,2
come,2
in,2
dream,2
some,2
that,2
time,2
eighteen,2
then,2
mile,2
s,2
pretty,2
professor,2
so,2
town,1
throw,1
f,1
j,1
pull,1
all,1
hold,1
beat,1
ignorant,1
fund,1
gait,1
mire,1
sweetheart,1
way,1
tragic,1
rustic,1
next,1
add,1
accent,1
knit,1
r,1
bend,1
meet,1
which,1
tall,1
si,1
tooth,1
home,1
organization,1
sterne,1
track,1
william,1
upon,1
after,1
lad,1
though,1
rude,1
several,1
descend,1
amuse,1
other,1
tight,1
feature,1
able,1
make,1
author,1
memorize,1
native,1
seek,1
village,1
it,1
boston,1
do,1
ad,1
little,1
farrell,1
scene,1
manage,1
broadly,1
very,1
not,1
strand,1
entire,1
fortune,1
january,1
leave,1
t,1
landlord,1
small,1
humorous,1
discover,1
l,1
hair,1
them,1
thereafter,1
apprentice,1
skill,1
show,1
fond,1
hamlet,1
course,1
distant,1
touch,1
find,1
book,1
sheriff,1
favor,1
tr,1
actually,1
attraction,1
shakespearean,1
go,1
persuade,1
manner,1
predispose,1
put,1
stage,1
copyright,1
jeer,1
coopering,1
thing,1
or,1
recitation,1
recite,1
just,1
co,1
hypnotism,1
point,1
into,1
york,1
however,1
curious,1
lean,1
girl,1
event,1
out,1
maynard,1
cooper,1
sentiment,1
publish,1
abscond,1
reminiscent,1
may,1
shakespeare,1
reader,1
new,1
red,1
spend,1
