lemma,count
the,73
of,57
a,28
and,26
to,24
be,23
have,19
in,15
mr,14
paul,10
he,9
which,8
with,8
his,8
that,8
by,8
it,7
s,7
history,6
for,6
on,6
but,6
gladstone,6
irish,6
not,5
book,5
at,4
say,4
power,4
great,4
house,4
office,4
england,4
commission,3
then,3
church,3
this,3
measure,3
between,3
reform,3
bill,3
other,3
from,3
ministry,3
time,3
eyre,3
follow,3
lord,3
volume,3
disraeli,3
begin,3
speaker,3
american,2
modern,2
consequence,2
little,2
story,2
may,2
who,2
side,2
their,2
service,2
any,2
majority,2
take,2
arbitration,2
put,2
queen,2
alabama,2
administration,2
important,2
lend,2
brand,2
question,2
own,2
or,2
leader,2
election,2
deal,2
right,2
officer,2
government,2
make,2
cover,2
look,2
palmerston,2
interest,2
much,2
period,2
country,2
last,2
come,2
however,2
title,2
bring,2
principle,2
good,2
once,2
few,2
certainly,2
disestablishment,2
give,2
can,2
derby,2
through,2
egypt,2
its,2
purchase,2
defeat,2
army,2
russell,2
would,2
never,1
quite,1
read,1
indicative,1
background,1
press,1
dignity,1
confront,1
sum,1
tennyson,1
legal,1
suspect,1
always,1
become,1
page,1
full,1
real,1
ever,1
everlasting,1
curious,1
lean,1
recognition,1
new,1
old,1
death,1
ought,1
person,1
governor,1
eagerness,1
imperialism,1
establish,1
albany,1
pay,1
merely,1
opinion,1
development,1
social,1
statue,1
exceedingly,1
change,1
solve,1
english,1
just,1
sentence,1
when,1
touch,1
remark,1
enlighten,1
pass,1
ell,1
character,1
even,1
them,1
francis,1
value,1
bargain,1
us,1
very,1
rightly,1
recognize,1
describe,1
general,1
deprive,1
britain,1
egyptian,1
liberalism,1
deserve,1
peace,1
oak,1
detail,1
abolish,1
westminster,1
edward,1
wrongly,1
literary,1
ruthlessly,1
appoint,1
land,1
e,1
four,1
adam,1
month,1
characteristic,1
protestant,1
every,1
because,1
franco,1
politician,1
appointive,1
force,1
practical,1
act,1
jamaica,1
round,1
previously,1
washington,1
intellectual,1
down,1
mere,1
fall,1
intervention,1
canal,1
large,1
custom,1
way,1
war,1
ago,1
himself,1
ireland,1
die,1
trouble,1
plague,1
chapter,1
premier,1
representative,1
suppress,1
one,1
another,1
such,1
carry,1
open,1
man,1
grow,1
law,1
assumption,1
john,1
invasion,1
negro,1
somewhat,1
than,1
matter,1
toward,1
date,1
expatriation,1
wrong,1
uprising,1
impartial,1
seem,1
minority,1
sell,1
lie,1
latter,1
resignation,1
refuse,1
think,1
retain,1
interference,1
return,1
introduce,1
they,1
civil,1
fully,1
university,1
intolerable,1
style,1
existence,1
year,1
our,1
out,1
cromwell,1
attempt,1
cause,1
course,1
promptly,1
base,1
years,1
g,1
so,1
british,1
keep,1
turn,1
revolt,1
anecdote,1
ordinary,1
write,1
island,1
hold,1
subject,1
climax,1
progress,1
unconscious,1
freedom,1
c,1
recall,1
language,1
account,1
otherwise,1
comment,1
vain,1
simply,1
cattle,1
wart,1
freak,1
union,1
political,1
india,1
arbitrator,1
parliament,1
treat,1
possession,1
call,1
life,1
speech,1
arm,1
unfit,1
reach,1
allege,1
victoria,1
charm,1
rather,1
clear,1
prussian,1
sale,1
sir,1
reorganize,1
consider,1
biography,1
find,1
decade,1
should,1
see,1
indifference,1
do,1
share,1
stop,1
annexation,1
trade,1
suez,1
remove,1
bad,1
common,1
contain,1
up,1
trenton,1
