lemma,count
the,30
of,21
a,10
be,8
by,8
and,7
j,5
in,5
to,5
many,4
this,4
translator,4
s,3
that,3
f,3
have,3
say,3
v,3
i,3
translation,3
it,3
french,2
seem,2
for,2
york,2
critical,2
new,2
racine,2
author,2
success,2
than,2
with,2
original,2
presentation,2
tragic,2
line,2
too,2
time,2
one,2
their,2
doe,2
bring,2
english,2
two,1
endure,1
cake,1
convince,1
cent,1
breed,1
france,1
display,1
examination,1
tragedy,1
much,1
reproduce,1
suggestive,1
katharine,1
happy,1
accompany,1
illustrative,1
but,1
cloth,1
attempt,1
given,1
sad,1
fashion,1
li,1
book,1
comedy,1
accuracy,1
especial,1
columbia,1
though,1
use,1
upon,1
produce,1
delicate,1
pleasantly,1
off,1
sturdy,1
maybe,1
eng,1
well,1
mark,1
hot,1
note,1
scholarly,1
any,1
figure,1
corneille,1
pp,1
high,1
good,1
comparative,1
handle,1
cotton,1
feature,1
again,1
unskillful,1
end,1
englishman,1
hon,1
make,1
able,1
from,1
selection,1
speak,1
university,1
rhyme,1
introduce,1
scene,1
felicity,1
press,1
instinctive,1
him,1
name,1
these,1
his,1
race,1
careless,1
she,1
obscure,1
page,1
sketch,1
work,1
often,1
elevation,1
them,1
excerpt,1
copyright,1
just,1
text,1
valuable,1
kill,1
follow,1
rough,1
adapter,1
whose,1
la,1
do,1
writer,1
smith,1
eat,1
continue,1
choose,1
rhythm,1
robe,1
alter,1
reference,1
alive,1
miss,1
comment,1
study,1
strange,1
o,1
keep,1
april,1
present,1
w,1
genuinely,1
among,1
on,1
equally,1
own,1
rom,1
character,1
sweep,1
simply,1
another,1
quiet,1
c,1
stage,1
growth,1
who,1
humor,1
appear,1
broad,1
ry,1
publish,1
various,1
method,1
t,1
not,1
sonorous,1
exam,1
power,1
nature,1
confidence,1
quite,1
difficulty,1
les,1
strong,1
render,1
