lemma,count
the,28
of,16
and,12
be,9
to,8
a,8
in,7
volume,6
tree,6
have,5
flower,5
by,5
author,4
for,3
bud,3
inflorescence,3
c,3
with,3
study,3
he,3
will,2
on,2
different,2
series,2
technical,2
leaf,2
book,2
forest,2
work,2
term,2
simple,2
may,2
use,2
from,2
photograph,1
ana,1
ward,1
plants,1
ii,1
up,1
word,1
give,1
f,1
glossary,1
foliage,1
consist,1
summer,1
recognize,1
plant,1
position,1
time,1
sn,1
si,1
drawing,1
disease,1
i,1
e,1
structure,1
such,1
scale,1
who,1
subject,1
it,1
which,1
feature,1
oak,1
six,1
make,1
pay,1
provide,1
winter,1
botanist,1
scar,1
itself,1
autumn,1
appendix,1
mark,1
regard,1
big,1
deal,1
twigs,1
out,1
biological,1
arthur,1
try,1
h,1
edit,1
like,1
dr,1
during,1
bear,1
very,1
macmillan,1
his,1
emphatically,1
present,1
young,1
character,1
willow,1
copyright,1
derive,1
july,1
preface,1
when,1
devote,1
some,1
collector,1
company,1
classification,1
that,1
form,1
treat,1
spring,1
interest,1
too,1
help,1
addition,1
illustrate,1
table,1
marshall,1
point,1
cambridge,1
special,1
fruit,1
language,1
york,1
here,1
attention,1
new,1
publish,1
pistillate,1
avoid,1
shrub,1
index,1
concern,1
order,1
