lemma,count
the,27
of,18
a,12
and,12
in,9
much,6
have,4
story,4
be,4
to,4
that,3
white,3
new,3
its,2
conspiracy,2
novelist,2
it,2
plot,2
meet,2
mr,2
provide,2
york,2
by,2
with,2
telephone,2
c,2
girl,2
process,2
writer,2
dog,2
which,2
course,2
knot,2
far,2
hint,2
take,1
consult,1
wherefore,1
mo,1
si,1
case,1
he,1
than,1
time,1
so,1
employ,1
afford,1
doyle,1
form,1
himself,1
original,1
mysterious,1
interest,1
untie,1
person,1
element,1
r,1
advice,1
application,1
concoction,1
author,1
sir,1
out,1
seek,1
fr,1
may,1
conan,1
beautiful,1
can,1
fierce,1
weave,1
devise,1
give,1
devious,1
wife,1
counter,1
m,1
book,1
at,1
help,1
avail,1
dark,1
popular,1
night,1
arthur,1
p,1
thrill,1
resolve,1
mystery,1
nor,1
day,1
lady,1
surprise,1
private,1
every,1
practice,1
old,1
string,1
good,1
real,1
criminal,1
robe,1
crime,1
young,1
considerate,1
copyright,1
police,1
complicate,1
yet,1
unseen,1
mean,1
habit,1
fiction,1
about,1
long,1
eager,1
from,1
just,1
message,1
logical,1
into,1
bell,1
co,1
ingenious,1
blind,1
ty,1
elaborate,1
chapter,1
discover,1
here,1
use,1
afterward,1
neither,1
checkmate,1
publish,1
since,1
what,1
victor,1
ring,1
usher,1
see,1
hair,1
fact,1
