lemma,count
the,40
of,20
be,14
a,12
in,11
he,9
to,9
his,9
and,6
that,5
who,4
s,4
its,4
time,4
stephen,4
old,3
murderer,3
not,3
for,3
face,3
at,3
i,3
good,3
night,3
father,3
have,3
by,3
man,3
with,3
meet,3
leave,2
fear,2
love,2
which,2
only,2
ha,2
never,2
whom,2
as,2
blood,2
room,2
tl,2
hand,2
take,2
one,2
hie,2
him,2
or,2
south,2
m,2
n,2
southern,2
story,2
reconstruction,2
their,2
day,2
now,1
almost,1
g,1
ariel,1
dearth,1
ensue,1
hut,1
young,1
vision,1
character,1
pathos,1
mellow,1
duel,1
unharmed,1
nd,1
slay,1
see,1
depth,1
frightful,1
deny,1
year,1
certain,1
hour,1
lie,1
haunt,1
ad,1
confront,1
happiness,1
sorrow,1
all,1
book,1
on,1
hill,1
fatal,1
from,1
flag,1
arouse,1
doe,1
avenge,1
h,1
hardly,1
reason,1
hideous,1
give,1
vary,1
her,1
dare,1
person,1
quiet,1
et,1
general,1
gentleman,1
effect,1
upon,1
delightful,1
but,1
lo,1
able,1
an,1
short,1
friend,1
ilia,1
before,1
death,1
visitor,1
place,1
even,1
vicksburg,1
acquit,1
hen,1
feel,1
crime,1
horrible,1
horror,1
shed,1
human,1
witness,1
del,1
overwhelm,1
own,1
subject,1
bat,1
bye,1
reveal,1
case,1
varnish,1
through,1
inability,1
owner,1
adapt,1
themselves,1
new,1
condition,1
life,1
delightfully,1
draw,1
stilt,1
natured,1
ever,1
faithful,1
mater,1
b,1
tragic,1
many,1
glory,1
ancient,1
company,1
novel,1
harris,1
dickson,1
seymour,1
stone,1
mo,1
pp,1
philadelphia,1
memory,1
plantation,1
follow,1
period,1
vividly,1
recall,1
this,1
splendidly,1
tell,1
picture,1
incident,1
valry,1
both,1
perfect,1
son,1
rise,1
up,1
impulse,1
after,1
make,1
victim,1
neither,1
innocence,1
more,1
very,1
hotel,1
seek,1
calmly,1
await,1
circle,1
event,1
o,1
later,1
would,1
hero,1
trouble,1
awful,1
impression,1
little,1
child,1
sight,1
cold,1
white,1
fa,1
th,1
eve,1
lea,1
prosecute,1
it,1
seem,1
t,1
me,1
let,1
heart,1
cheer,1
