lemma,count
the,91
of,79
be,42
to,34
i,32
t,31
l,30
and,28
in,28
for,25
s,25
a,23
school,20
tile,20
ill,19
that,18
it,17
public,15
have,12
york,12
by,11
o,11
this,11
f,11
society,10
h,10
at,9
d,9
system,9
as,8
their,8
n,8
w,7
x,7
c,7
free,7
ll,6
city,6
r,6
library,6
e,5
st,5
new,5
which,5
m,5
after,5
board,5
from,5
but,4
with,4
palmer,4
all,4
p,4
education,4
its,4
year,4
make,4
j,4
volume,4
li,4
they,4
get,4
good,4
th,4
over,3
heel,3
so,3
appropriation,3
part,3
go,3
z,3
any,3
lead,3
tl,3
el,3
ear,3
io,3
establish,3
money,3
negro,3
lid,3
those,3
into,3
an,3
use,3
do,3
al,3
end,3
will,3
ii,3
these,3
both,3
one,3
not,3
v,3
ten,2
about,2
level,2
may,2
whom,2
lo,2
appropriate,2
fee,2
back,2
ti,2
es,2
though,2
id,2
before,2
keep,2
poor,2
lilt,2
last,2
ever,2
anti,2
arid,2
recent,2
or,2
attempt,2
rival,2
time,2
opposition,2
very,2
he,2
pt,2
almost,2
there,2
give,2
write,2
here,2
book,2
teacher,2
fl,2
tit,2
secretary,2
ha,2
them,2
ell,2
introduction,2
b,2
state,2
controversy,2
great,2
enable,2
lt,2
cl,2
dr,2
british,1
curtly,1
curly,1
huguenot,1
dutch,1
portion,1
seem,1
hand,1
now,1
reference,1
borough,1
bronx,1
idle,1
denominational,1
wedge,1
same,1
debt,1
roi,1
more,1
trustee,1
bitter,1
itself,1
away,1
another,1
determined,1
such,1
up,1
k,1
man,1
spirited,1
never,1
sufficient,1
east,1
bight,1
originate,1
send,1
err,1
guide,1
trite,1
incorporate,1
whole,1
become,1
latter,1
brooklyn,1
much,1
present,1
ed,1
thank,1
hold,1
permanent,1
treasury,1
struggle,1
say,1
alike,1
slither,1
rel,1
lr,1
ml,1
g,1
shoo,1
bi,1
int,1
tilt,1
lint,1
jell,1
ms,1
tim,1
law,1
jere,1
vt,1
who,1
jilt,1
could,1
issue,1
pier,1
dill,1
lie,1
third,1
during,1
testify,1
lily,1
wonderfully,1
thai,1
circulate,1
grade,1
know,1
roof,1
home,1
side,1
jib,1
lass,1
leo,1
pl,1
ground,1
play,1
u,1
cal,1
common,1
ct,1
bring,1
notate,1
able,1
gratify,1
low,1
approve,1
dragging,1
gradual,1
late,1
lift,1
ow,1
ho,1
exist,1
merge,1
private,1
intervention,1
eke,1
old,1
fact,1
indeed,1
quagmire,1
idly,1
trace,1
tale,1
le,1
improve,1
service,1
ply,1
rs,1
demand,1
individual,1
aid,1
many,1
comprise,1
educational,1
benefit,1
separate,1
feature,1
generally,1
repeatedly,1
appeal,1
small,1
legislature,1
wilt,1
first,1
ibo,1
beginning,1
well,1
correct,1
historically,1
frequently,1
pundit,1
lb,1
feel,1
bat,1
politician,1
bill,1
hot,1
community,1
perfect,1
growth,1
open,1
twelve,1
night,1
pupil,1
when,1
until,1
ye,1
maintain,1
instruction,1
some,1
no,1
instead,1
arbitrarily,1
existence,1
ff,1
iciest,1
ire,1
care,1
bite,1
pa,1
child,1
through,1
day,1
ere,1
material,1
duty,1
official,1
his,1
absence,1
leave,1
authority,1
under,1
occasion,1
prepare,1
appear,1
founding,1
centenary,1
celebration,1
coincident,1
development,1
history,1
mr,1
together,1
see,1
building,1
interestingly,1
malt,1
lecture,1
fret,1
adult,1
continue,1
oat,1
pointed,1
willi,1
only,1
grow,1
active,1
jay,1
slate,1
flt,1
gil,1
lg,1
collate,1
eel,1
lilly,1
foil,1
besides,1
other,1
religious,1
predecessor,1
better,1
character,1
democratic,1
macmillan,1
pip,1
seth,1
emerson,1
tho,1
pro,1
pi,1
among,1
prestige,1
quickly,1
again,1
participate,1
two,1
lag,1
name,1
fund,1
squabble,1
constant,1
interval,1
vary,1
presbyterian,1
scotch,1
hebrew,1
catholic,1
methodist,1
follow,1
start,1
baptist,1
jealousy,1
asylum,1
orphan,1
african,1
oars,1
six,1
covert,1
confess,1
rather,1
ally,1
our,1
tactless,1
location,1
lion,1
stale,1
tibet,1
light,1
turn,1
each,1
lira,1
hi,1
tree,1
bad,1
gal,1
bet,1
charily,1
nora,1
wis,1
si,1
ru,1
work,1
di,1
till,1
tb,1
y,1
nit,1
ir,1
co,1
q,1
ilium,1
cad,1
ore,1
la,1
else,1
corporation,1
date,1
