lemma,count
the,24
of,24
be,17
a,15
to,13
in,12
and,9
not,9
that,9
by,8
he,7
but,6
way,6
as,6
his,6
or,5
do,5
it,4
for,4
one,4
would,4
political,3
honest,3
other,3
him,3
slave,3
their,3
success,3
good,3
work,3
with,3
man,3
i,3
republic,2
wade,2
carroll,2
our,2
this,2
story,2
politician,2
politically,2
hut,2
put,2
because,2
use,2
them,2
money,2
l,2
let,2
have,2
from,2
fail,2
on,2
no,2
gain,2
thing,2
machine,2
consist,2
few,2
mr,2
politic,2
flower,2
ugh,1
brave,1
forceful,1
taylor,1
well,1
carrel,1
ring,1
trait,1
village,1
land,1
broad,1
purpose,1
tile,1
brained,1
county,1
alien,1
future,1
justify,1
ten,1
woman,1
pessimism,1
book,1
merit,1
ll,1
delude,1
righteous,1
forget,1
while,1
slowly,1
plower,1
sodom,1
en,1
comprehension,1
son,1
right,1
shrewd,1
unalloyed,1
nd,1
mrs,1
often,1
encouraging,1
multiply,1
agree,1
jefferson,1
whole,1
art,1
government,1
m,1
convince,1
strength,1
heart,1
stone,1
pure,1
both,1
these,1
yr,1
mot,1
convincing,1
point,1
moral,1
ill,1
speak,1
light,1
over,1
hazel,1
absorb,1
true,1
life,1
strongly,1
delineate,1
grafter,1
we,1
read,1
ultimate,1
triumph,1
inly,1
interest,1
turn,1
if,1
widely,1
re,1
d,1
us,1
deserve,1
pew,1
there,1
thrive,1
than,1
recognize,1
opposition,1
can,1
excellent,1
ground,1
hesitate,1
expose,1
those,1
shame,1
john,1
ben,1
toni,1
all,1
example,1
brilliantly,1
practical,1
e,1
personally,1
till,1
me,1
t,1
self,1
above,1
help,1
sure,1
write,1
o,1
eight,1
elliott,1
pp,1
illustrate,1
jay,1
mo,1
cloth,1
boston,1
page,1
co,1
sketch,1
graft,1
last,1
almost,1
novelette,1
which,1
searchlight,1
throw,1
upon,1
method,1
crooked,1
log,1
order,1
may,1
railroad,1
each,1
manage,1
necessary,1
vote,1
reform,1
reformer,1
get,1
mortgage,1
through,1
job,1
offer,1
object,1
de,1
is,1
most,1
set,1
f,1
rte,1
flow,1
er,1
secret,1
es,1
sometimes,1
trio,1
price,1
lie,1
steal,1
state,1
hand,1
advantage,1
power,1
value,1
addition,1
persona,1
like,1
rule,1
play,1
principally,1
make,1
s,1
lieutenant,1
forward,1
dirty,1
itself,1
