lemma,count
the,22
be,16
of,15
a,11
and,10
in,8
his,5
have,4
that,4
volume,4
to,4
he,4
which,4
would,3
s,3
or,3
what,3
new,3
v,3
vol,3
than,2
p,2
l,2
sir,2
n,2
work,2
not,2
an,2
rather,2
it,2
all,2
for,2
two,2
i,2
book,2
discovery,2
voyage,2
by,2
samuel,2
iv,2
macmillan,2
company,2
thoma,2
edition,2
hakluyt,2
as,2
john,2
type,1
excellent,1
format,1
retain,1
its,1
has,1
scientist,1
course,1
bf,1
spelling,1
today,1
substantial,1
characteristic,1
binding,1
appearance,1
rule,1
accord,1
reach,1
font,1
surest,1
delightful,1
seventeenth,1
modification,1
content,1
piece,1
modern,1
century,1
resemblance,1
too,1
saris,1
david,1
alexander,1
joseph,1
middleton,1
do,1
anthony,1
cock,1
far,1
payton,1
davis,1
edward,1
b,1
roe,1
ad,1
these,1
include,1
adventure,1
tale,1
whose,1
reproduction,1
instanced,1
suggestive,1
copy,1
exact,1
adaptation,1
intelligent,1
one,1
attempt,1
note,1
mad,1
paragraph,1
t,1
tic,1
rare,1
quite,1
relation,1
world,1
observe,1
age,1
although,1
usually,1
distinct,1
with,1
put,1
material,1
com,1
into,1
own,1
styler,1
pilgrimage,1
confound,1
been,1
issue,1
complete,1
york,1
each,1
encourage,1
reception,1
twelve,1
twenty,1
this,1
great,1
collection,1
continuation,1
amplification,1
bear,1
title,1
while,1
tho,1
au,1
door,1
de,1
thee,1
hence,1
lay,1
blessing,1
at,1
who,1
thor,1
preserve,1
inevitably,1
lose,1
make,1
accessible,1
time,1
unresponsive,1
ere,1
wherein,1
could,1
but,1
d,1
debtor,1
him,1
drive,1
persecution,1
remorseless,1
f,1
add,1
unresponsiveness,1
public,1
on,1
hard,1
c,1
