lemma,count
the,25
of,18
and,8
be,8
a,6
in,5
it,4
have,4
f,4
o,4
who,4
tale,3
i,3
good,3
tell,3
th,2
e,2
these,2
at,2
one,2
young,2
prelude,2
east,2
l,2
t,2
by,2
to,2
very,2
land,2
garden,2
roe,1
merely,1
violence,1
k,1
evil,1
two,1
nd,1
dot,1
arabian,1
ff,1
dog,1
eh,1
m,1
les,1
thy,1
or,1
hie,1
h,1
tl,1
sue,1
immediately,1
ed,1
her,1
aid,1
go,1
tress,1
about,1
make,1
sultana,1
punishment,1
so,1
excellent,1
supplanted,1
reader,1
know,1
kind,1
pleasant,1
neither,1
nor,1
mis,1
servant,1
beast,1
maiden,1
he,1
q,1
beautiful,1
ad,1
sing,1
st,1
release,1
b,1
an,1
patient,1
next,1
icy,1
desire,1
again,1
glory,1
cast,1
twin,1
which,1
what,1
name,1
that,1
eastern,1
fairy,1
those,1
modern,1
le,1
woman,1
least,1
american,1
each,1
other,1
as,1
forth,1
set,1
cent,1
main,1
eaton,1
york,1
new,1
pp,1
mo,1
montgomery,1
w,1
mary,1
chandler,1
now,1
until,1
untranslated,1
araby,1
they,1
pass,1
time,1
splendid,1
page,1
title,1
from,1
appear,1
upon,1
spell,1
way,1
eat,1
lotus,1
enough,1
eloquently,1
indicate,1
scheherazade,1
day,1
since,1
idly,1
amusement,1
minor,1
feminine,1
stock,1
telling,1
bridge,1
default,1
where,1
bl,1
arabia,1
somewhere,1
languorous,1
lovely,1
away,1
bad,1
