lemma,count
the,64
of,39
be,36
to,17
a,16
and,15
his,15
that,14
in,12
history,8
have,8
as,7
it,7
volume,7
s,7
this,7
which,6
b,5
monument,5
or,5
but,5
exodus,5
mr,5
not,4
egypt,4
no,4
c,4
for,4
more,4
say,4
book,4
on,4
dynasty,4
l,4
so,3
every,3
great,3
with,3
there,3
before,3
by,3
chronology,3
part,3
curious,3
third,3
list,3
some,3
period,3
story,3
year,3
from,3
at,2
come,2
really,2
lead,2
closely,2
ten,2
very,2
record,2
wonderful,2
together,2
all,2
show,2
depart,2
he,2
only,2
date,2
egyptian,2
write,2
then,2
family,2
official,2
over,2
treat,2
name,2
each,2
may,2
i,2
mention,2
israel,2
us,2
palestine,2
our,2
can,2
king,2
give,2
thousand,2
nineteenth,2
cover,2
reason,2
complete,2
country,2
its,2
t,2
last,2
much,2
ha,2
preface,2
these,2
lr,2
occur,1
libyan,1
song,1
triumph,1
defeat,1
victory,1
libya,1
word,1
devastate,1
predecessor,1
seize,1
people,1
lay,1
waste,1
their,1
crop,1
april,1
form,1
find,1
become,1
long,1
short,1
case,1
inscription,1
relate,1
refer,1
him,1
various,1
metallic,1
reign,1
search,1
vie,1
air,1
officer,1
who,1
die,1
vizier,1
chief,1
archer,1
scribe,1
gold,1
same,1
follow,1
unexpected,1
clearly,1
thirtieth,1
shall,1
bible,1
jews,1
cruelly,1
force,1
finally,1
let,1
them,1
under,1
eye,1
anything,1
we,1
divide,1
believe,1
down,1
when,1
native,1
flee,1
persian,1
abdication,1
old,1
forever,1
civilization,1
allegiance,1
apparently,1
any,1
entry,1
coffin,1
outside,1
literary,1
information,1
belief,1
israelite,1
between,1
go,1
into,1
jacob,1
jericho,1
afr,1
after,1
tie,1
lie,1
note,1
further,1
welcome,1
semitic,1
tribe,1
few,1
ear,1
monumental,1
hieroglyphic,1
tomb,1
necessarily,1
broadly,1
ed,1
somewhat,1
re,1
anywhere,1
fix,1
amount,1
occupy,1
whole,1
effect,1
difficult,1
here,1
suppose,1
they,1
up,1
interval,1
flippant,1
make,1
petrify,1
english,1
author,1
mean,1
state,1
material,1
location,1
ml,1
ms,1
usual,1
least,1
interesting,1
approach,1
speak,1
ere,1
event,1
stanley,1
subject,1
care,1
fresh,1
take,1
get,1
g,1
datum,1
twenty,1
second,1
prof,1
different,1
face,1
put,1
everywhere,1
correct,1
within,1
labor,1
less,1
one,1
indulge,1
descriptive,1
writing,1
content,1
himself,1
retell,1
what,1
tell,1
e,1
ft,1
about,1
figuratively,1
beginning,1
devote,1
wen,1
ar,1
monarch,1
cipher,1
work,1
actually,1
than,1
treatment,1
full,1
n,1
historical,1
abstract,1
reduce,1
term,1
translation,1
certainly,1
know,1
index,1
just,1
modern,1
historian,1
louse,1
rule,1
britain,1
thee,1
other,1
separate,1
chapter,1
tile,1
even,1
require,1
five,1
