lemma,count
the,58
of,53
be,32
and,28
in,14
you,13
s,13
a,11
at,10
to,9
by,8
old,7
which,6
he,6
that,6
it,6
great,6
with,5
firth,5
for,5
dr,5
as,4
mr,4
mary,4
house,4
johnson,4
come,3
who,3
she,3
good,3
church,3
when,3
say,3
seat,3
most,3
hall,3
have,3
about,3
all,3
derbyshire,3
derby,3
not,2
across,2
sir,2
same,2
take,2
garden,2
tell,2
lady,2
very,2
how,2
rector,2
man,2
friend,2
his,2
use,2
then,2
field,2
your,2
while,2
on,2
where,2
scotland,2
author,2
though,2
so,2
new,2
will,2
enjoy,2
family,2
bess,2
y,2
famous,2
book,2
this,2
evan,2
dove,2
from,2
pleasant,2
call,2
father,2
angle,1
time,1
tom,1
drawing,1
d,1
highland,1
own,1
elizabeth,1
guest,1
david,1
walton,1
moore,1
royal,1
izaak,1
more,1
dale,1
familiar,1
footstep,1
iv,1
potter,1
charlie,1
lie,1
lexicographer,1
kinswoman,1
shire,1
her,1
there,1
fact,1
park,1
england,1
charming,1
duke,1
devonshire,1
descendant,1
present,1
their,1
romancer,1
successor,1
plan,1
william,1
survey,1
christopher,1
wren,1
bridge,1
another,1
prison,1
g,1
read,1
hospitality,1
stay,1
fishing,1
schoolmate,1
foot,1
boswell,1
companion,1
can,1
ann,1
bull,1
pride,1
song,1
strawberry,1
impose,1
cream,1
admired,1
doctor,1
eat,1
such,1
celebrated,1
ram,1
quantity,1
region,1
memory,1
george,1
eliot,1
itself,1
adam,1
near,1
also,1
robert,1
bede,1
wheelwright,1
teach,1
taylor,1
warm,1
bath,1
several,1
fat,1
benefice,1
once,1
prince,1
ramble,1
market,1
st,1
porcelain,1
thus,1
margaret,1
westminster,1
between,1
home,1
diligent,1
midway,1
justice,1
peace,1
crown,1
abbey,1
write,1
well,1
wye,1
previous,1
volume,1
series,1
wander,1
valley,1
little,1
stream,1
our,1
british,1
cousin,1
dignify,1
into,1
river,1
amber,1
treat,1
cross,1
footpath,1
alongside,1
hedgerow,1
visit,1
village,1
gentleman,1
ruin,1
lead,1
bleak,1
moor,1
too,1
peak,1
sussex,1
lucas,1
beautiful,1
english,1
byway,1
illustration,1
nelly,1
mo,1
pp,1
york,1
macmillan,1
company,1
admission,1
within,1
arena,1
historic,1
event,1
history,1
ev,1
yet,1
rich,1
enough,1
association,1
make,1
reading,1
thing,1
method,1
sort,1
stroll,1
one,1
different,1
adopt,1
associate,1
people,1
mind,1
jailer,1
walled,1
top,1
hill,1
expose,1
wind,1
heaven,1
highway,1
appear,1
castle,1
place,1
if,1
forget,1
remind,1
earl,1
waiter,1
fourth,1
subservient,1
husband,1
able,1
woman,1
affair,1
three,1
ducal,1
find,1
further,1
l,1
io,1
perhaps,1
prisoner,1
keep,1
bank,1
guide,1
air,1
wonderful,1
lamb,1
whom,1
caroline,1
whose,1
name,1
link,1
byron,1
an,1
early,1
date,1
coke,1
dwelt,1
samuel,1
begin,1
tile,1
everlasting,1
rest,1
whereof,1
now,1
edition,1
rare,1
would,1
rash,1
vogue,1
over,1
part,1
