lemma,count
ill,18
the,16
l,14
i,13
of,12
it,12
s,10
t,8
a,7
be,6
to,6
and,5
n,5
tile,5
his,4
f,3
her,3
in,3
d,3
lady,3
r,3
o,3
its,3
if,3
lind,3
ii,3
by,3
j,2
do,2
th,2
tilt,2
make,2
knight,2
blow,2
ti,2
h,2
lilt,2
ht,2
re,2
iii,2
will,2
st,2
hi,2
el,2
very,2
io,2
winged,2
helmet,2
upon,2
maid,2
steele,1
kind,1
bow,1
model,1
y,1
cl,1
harold,1
sh,1
arid,1
wife,1
ont,1
mimic,1
greenwood,1
uh,1
nil,1
lovely,1
phi,1
author,1
anti,1
illustrate,1
edward,1
xv,1
mo,1
e,1
xi,1
pp,1
us,1
mr,1
ne,1
oven,1
po,1
stiffly,1
es,1
wilt,1
see,1
move,1
drug,1
should,1
as,1
self,1
ry,1
own,1
baser,1
boston,1
ks,1
spirit,1
mention,1
wing,1
nor,1
tinder,1
light,1
just,1
book,1
lb,1
le,1
ste,1
lid,1
page,1
event,1
lil,1
lover,1
ft,1
li,1
red,1
token,1
embroider,1
hand,1
right,1
noble,1
suffer,1
handkerchief,1
but,1
even,1
lord,1
place,1
use,1
france,1
suspect,1
unjustly,1
most,1
reign,1
nobleman,1
jealous,1
francis,1
figure,1
about,1
revolve,1
rt,1
tit,1
only,1
who,1
co,1
sill,1
lip,1
ts,1
willie,1
licit,1
sturdy,1
q,1
site,1
him,1
which,1
silo,1
silt,1
really,1
high,1
girl,1
give,1
this,1
story,1
name,1
at,1
once,1
suggestive,1
hy,1
war,1
magic,1
stage,1
