lemma,count
the,17
to,13
of,12
a,10
be,6
president,6
his,4
in,4
burlesque,3
letter,3
self,3
make,3
s,3
as,2
that,2
regard,2
toward,2
attitude,2
but,2
an,2
no,2
book,2
write,2
roosevelt,2
at,2
executive,2
about,2
tile,2
navy,2
for,2
friend,2
he,2
not,2
by,2
and,2
author,2
or,1
senate,1
then,1
nd,1
v,1
only,1
now,1
go,1
sake,1
so,1
jake,1
fur,1
malice,1
bare,1
male,1
ne,1
part,1
lie,1
him,1
assure,1
serve,1
army,1
modify,1
ha,1
even,1
involve,1
conceal,1
show,1
dim,1
identity,1
cite,1
real,1
already,1
subject,1
person,1
there,1
spice,1
heavy,1
usually,1
rather,1
re,1
speak,1
name,1
oven,1
generally,1
wit,1
statue,1
whose,1
kaiser,1
bay,1
approval,1
entire,1
one,1
mr,1
obvious,1
equally,1
it,1
theodore,1
utterance,1
public,1
career,1
these,1
intend,1
obviously,1
quite,1
company,1
publish,1
york,1
new,1
mo,1
neville,1
j,1
jame,1
way,1
policy,1
importance,1
list,1
clam,1
review,1
assemble,1
th,1
command,1
secretary,1
interest,1
manly,1
take,1
art,1
pug,1
rn,1
luncheon,1
recently,1
entertain,1
have,1
whom,1
color,1
man,1
other,1
among,1
de,1
whole,1
