lemma,count
the,48
of,33
and,24
be,22
a,18
in,16
to,15
i,12
that,8
s,8
with,7
for,6
have,5
by,5
my,5
her,5
poem,5
it,4
nature,4
this,4
child,3
or,3
he,3
world,3
from,3
on,3
there,3
who,3
play,3
its,2
open,2
e,2
against,2
yet,2
little,2
mood,2
life,2
quiet,2
touch,2
no,2
but,2
light,2
so,2
tile,2
know,2
his,2
joy,2
as,2
pale,2
turn,2
finish,2
star,2
rain,2
street,2
town,2
which,2
watch,2
press,2
word,2
part,2
poetic,2
human,2
make,2
form,2
metrically,2
ex,2
heart,2
verse,2
sonnet,2
one,2
tree,2
common,2
bone,1
myself,1
empty,1
o,1
gnaw,1
cold,1
thin,1
flag,1
consider,1
chimney,1
remark,1
when,1
grime,1
shepherd,1
frankly,1
toss,1
conviction,1
languid,1
poet,1
breeze,1
suggest,1
dream,1
blood,1
mountain,1
at,1
do,1
wanderer,1
morbidness,1
example,1
modern,1
complaint,1
save,1
express,1
emotion,1
unrealized,1
sturdiness,1
element,1
aspiration,1
en,1
tonic,1
suggestion,1
give,1
swift,1
psychological,1
reference,1
wilder,1
many,1
nevertheless,1
aspect,1
particular,1
description,1
familiar,1
mrs,1
roaring,1
d,1
best,1
subject,1
naturally,1
mind,1
contemplative,1
utterance,1
standard,1
obviously,1
fitting,1
own,1
author,1
accordance,1
revision,1
direction,1
rigorous,1
more,1
fit,1
neither,1
overburden,1
significance,1
peculiar,1
attain,1
precision,1
technical,1
master,1
she,1
although,1
fortunate,1
number,1
large,1
net,1
son,1
choice,1
various,1
nor,1
cadence,1
spontaneous,1
rhyme,1
snow,1
lie,1
fen,1
starve,1
plain,1
constantly,1
th,1
sun,1
hand,1
future,1
god,1
track,1
sin,1
city,1
profane,1
black,1
through,1
vain,1
distinctly,1
above,1
average,1
art,1
riper,1
promise,1
hold,1
fluent,1
too,1
not,1
expressive,1
time,1
present,1
poetry,1
minor,1
class,1
good,1
even,1
wind,1
bar,1
pose,1
y,1
also,1
fate,1
uncertain,1
sorrow,1
fear,1
wistfulness,1
degree,1
convention,1
possess,1
race,1
daughter,1
expect,1
would,1
what,1
influence,1
wholesome,1
unaffected,1
sentiment,1
reflect,1
somewhat,1
conscious,1
withdrawal,1
lusty,1
interest,1
strike,1
note,1
may,1
call,1
feminine,1
hint,1
inherit,1
quite,1
harper,1
song,1
read,1
fastidiousness,1
taste,1
clear,1
personal,1
vision,1
perfect,1
sincerity,1
quality,1
go,1
far,1
any,1
writing,1
prose,1
agreeable,1
worthy,1
air,1
respect,1
if,1
add,1
them,1
delicate,1
insight,1
into,1
mortal,1
result,1
certain,1
sympathetic,1
use,1
much,1
abused,1
repression,1
ks,1
absence,1
face,1
free,1
rare,1
spirit,1
joyous,1
whitney,1
sunlit,1
silent,1
hem,1
down,1
ring,1
cry,1
hear,1
sweet,1
shrill,1
characteristic,1
except,1
imperfect,1
line,1
rose,1
color,1
two,1
three,1
landscape,1
record,1
n,1
collection,1
close,1
observation,1
love,1
natural,1
delightful,1
till,1
game,1
gladder,1
glad,1
windy,1
patiently,1
toy,1
noise,1
happy,1
way,1
then,1
sigh,1
again,1
storm,1
pane,1
see,1
wistful,1
eye,1
girl,1
happily,1
boy,1
feral,1
beneath,1
unit,1
feel,1
longing,1
sweep,1
gentle,1
brain,1
content,1
stroll,1
fair,1
walled,1
garden,1
charm,1
