lemma,count
the,16
and,9
in,7
be,7
of,7
to,6
a,6
with,5
that,4
her,4
she,4
tile,3
by,3
his,3
life,3
jewish,3
simple,3
esther,2
their,2
jew,2
two,2
because,2
as,2
honest,2
family,2
home,2
have,2
ghetto,2
heart,2
story,2
deal,1
s,1
break,1
he,1
but,1
music,1
honor,1
win,1
young,1
ephraim,1
although,1
betroth,1
come,1
scoundrel,1
fiddler,1
saul,1
flee,1
weak,1
know,1
later,1
follow,1
father,1
dark,1
sister,1
both,1
purity,1
mistake,1
over,1
throw,1
gloom,1
dew,1
shy,1
lift,1
happy,1
while,1
show,1
custom,1
grief,1
cite,1
bluntness,1
amount,1
almost,1
simplicity,1
author,1
tell,1
homo,1
at,1
well,1
into,1
herman,1
bring,1
contrite,1
wife,1
trust,1
honored,1
become,1
should,1
daughter,1
long,1
tale,1
when,1
time,1
pride,1
tragedy,1
forward,1
look,1
synagogue,1
standing,1
high,1
fear,1
god,1
new,1
york,1
company,1
like,1
write,1
mother,1
attention,1
lover,1
faith,1
love,1
bernstein,1
strong,1
whose,1
short,1
it,1
narrowness,1
its,1
stifle,1
find,1
who,1
already,1
convert,1
elope,1
attract,1
man,1
old,1
disappoint,1
first,1
girl,1
