lemma,count
the,109
of,76
be,65
to,63
and,53
a,36
in,35
i,28
have,24
letter,24
that,23
lamb,20
s,19
which,17
for,17
not,16
with,16
it,15
this,15
as,15
from,13
at,13
will,12
you,12
by,11
one,10
volume,10
his,10
my,9
all,8
more,8
so,8
we,7
but,7
he,7
do,7
new,7
write,6
many,6
some,6
who,5
me,5
very,5
two,5
your,5
mr,5
over,5
her,5
these,5
them,5
little,5
name,5
or,5
come,4
brother,4
o,4
book,4
good,4
first,4
give,4
about,4
no,4
lucas,4
other,4
like,3
when,3
than,3
on,3
should,3
say,3
note,3
tale,3
work,3
leave,3
hazlitt,3
l,3
they,3
whole,3
an,3
paper,3
into,3
meet,3
way,3
t,3
include,3
set,3
edition,3
think,3
us,3
now,3
luca,3
least,3
also,3
time,3
any,3
g,3
second,3
tell,3
our,3
wordsworth,3
much,3
india,2
then,2
street,2
already,2
same,2
coleridge,2
just,2
story,2
twenty,2
excellent,2
american,2
view,2
author,2
yet,2
great,2
y,2
number,2
end,2
content,2
where,2
star,2
serve,2
english,2
fact,2
reading,2
series,2
student,2
course,2
may,2
begin,2
old,2
fashion,2
see,2
try,2
upon,2
interest,2
plan,2
count,2
read,2
she,2
cut,2
othello,2
portrait,2
most,2
frontispiece,2
another,2
d,2
rest,2
damn,2
bottom,2
enough,2
put,2
hamlet,2
there,2
affair,2
original,2
would,2
mrs,2
here,2
dear,2
forget,2
commission,2
know,2
speak,2
myself,2
wish,2
out,2
partnership,2
debt,2
hand,2
after,2
family,2
friend,2
along,2
dorothy,2
per,2
quote,2
f,2
entirely,2
rather,2
every,2
year,2
forty,2
down,2
spend,2
money,2
nine,2
find,2
complete,2
up,2
manuscript,2
almost,2
furnish,2
each,2
editor,2
collection,2
mary,2
possess,2
add,2
copy,2
order,2
make,2
seem,2
law,2
day,2
owner,2
if,2
plate,1
baby,1
lad,1
coach,1
choose,1
suppose,1
mischief,1
hint,1
bad,1
principle,1
enact,1
subject,1
choice,1
discretion,1
complication,1
nowhere,1
forgive,1
venice,1
beastly,1
bile,1
produce,1
far,1
reach,1
guess,1
suspect,1
though,1
fanny,1
unexpected,1
swan,1
vulgarity,1
exist,1
grave,1
awkward,1
dig,1
justify,1
authority,1
atom,1
scene,1
neck,1
regret,1
off,1
eloquent,1
sister,1
william,1
curious,1
acquaint,1
bring,1
picture,1
paint,1
operation,1
copyright,1
age,1
thai,1
beautiful,1
persuade,1
scenery,1
mountain,1
bank,1
wander,1
pas,1
month,1
possible,1
correspondence,1
indeed,1
owe,1
pretty,1
iv,1
library,1
dr,1
take,1
e,1
follow,1
addi,1
duly,1
testimony,1
vi,1
reproduce,1
woman,1
state,1
publish,1
