lemma,count
the,137
be,60
of,53
and,41
a,38
to,28
in,28
it,20
with,17
tile,16
on,15
japan,14
tea,14
from,10
as,10
by,10
japanese,10
have,9
book,9
de,9
which,9
that,8
his,8
for,8
not,7
guest,7
their,7
make,7
who,7
at,7
this,6
he,6
author,6
after,6
give,5
christianity,5
an,5
one,5
cup,5
but,5
only,4
then,4
drink,4
three,4
s,4
m,4
there,4
ceremony,4
time,4
t,4
house,4
r,4
host,4
do,4
station,4
interesting,4
room,3
tray,3
pipe,3
date,3
we,3
priest,3
catholic,3
man,3
ash,3
or,3
until,3
into,3
water,3
each,3
th,3
every,3
her,3
country,3
enter,3
before,3
brush,3
like,3
these,3
russian,3
lady,2
return,2
christian,2
ten,2
go,2
some,2
american,2
she,2
read,2
bring,2
during,2
consist,2
work,2
no,2
how,2
mistress,2
creed,2
height,2
wooden,2
about,2
pilgrim,2
else,2
southern,2
powder,2
morning,2
staff,2
far,2
well,2
foot,2
impression,2
rest,2
find,2
may,2
they,2
lay,2
so,2
temple,2
end,2
part,2
mountain,2
wash,2
sh,2
take,2
ante,2
become,2
descriptive,2
than,2
through,2
chapter,2
name,2
will,2
follow,2
honor,2
come,2
must,2
put,2
seem,2
its,2
describe,2
upon,2
herodotus,2
express,2
day,2
our,2
bury,2
person,2
utensil,2
open,2
fact,2
world,2
you,2
account,2
century,2
life,2
i,2
king,2
rule,2
h,2
thing,2
hand,2
remark,2
certain,2
arrange,2
row,1
journey,1
picture,1
wall,1
loose,1
seal,1
pub,1
ibex,1
way,1
mouth,1
long,1
generally,1
n,1
buy,1
presumably,1
admit,1
nari,1
cistern,1
alter,1
hey,1
entrance,1
receive,1
commence,1
flower,1
silence,1
stir,1
bamboo,1
stirrer,1
great,1
inquire,1
except,1
sr,1
forward,1
complete,1
quality,1
round,1
ha,1
same,1
neighbor,1
ass,1
sip,1
seat,1
knee,1
hot,1
poul,1
horse,1
manner,1
leave,1
ascend,1
talk,1
salute,1
aside,1
serve,1
form,1
exquisite,1
lug,1
observation,1
ceremonious,1
finally,1
jar,1
spoon,1
examine,1
few,1
o,1
pertain,1
bend,1
eighth,1
heirloom,1
subject,1
policy,1
foreign,1
internal,1
situation,1
financial,1
economical,1
section,1
arnold,1
edwin,1
sir,1
mikado,1
englishman,1
late,1
build,1
european,1
slide,1
especially,1
easy,1
descent,1
glad,1
very,1
my,1
gale,1
crater,1
appear,1
case,1
top,1
financier,1
decidedly,1
rather,1
responsible,1
publisher,1
however,1
criticism,1
outworn,1
spite,1
militarism,1
unproductive,1
refrain,1
wise,1
view,1
would,1
circumstance,1
under,1
good,1
more,1
charge,1
percentage,1
scarce,1
know,1
omit,1
publication,1
forbid,1
sen,1
family,1
sort,1
unattainable,1
washing,1
freeze,1
wake,1
when,1
night,1
stop,1
high,1
sixth,1
reach,1
meal,1
egg,1
new,1
provide,1
keeper,1
year,1
month,1
where,1
side,1
cave,1
shelter,1
mark,1
divide,1
road,1
luxury,1
tenth,1
stretch,1
penetrate,1
endless,1
shore,1
green,1
right,1
coast,1
steel,1
molten,1
look,1
lake,1
beautiful,1
valley,1
illumine,1
step,1
fog,1
pierce,1
sunlight,1
ray,1
gold,1
pink,1
flame,1
horizon,1
eastern,1
break,1
struggle,1
ad,1
warm,1
pp,1
j,1
f,1
dozen,1
those,1
two,1
back,1
out,1
stamp,1
religion,1
division,1
suspect,1
first,1
original,1
future,1
again,1
door,1
foreigner,1
against,1
closing,1
extirpation,1
own,1
down,1
earl,1
teacher,1
among,1
prince,1
unitarianism,1
tn,1
ill,1
trip,1
deal,1
ii,1
art,1
bad,1
church,1
orthodox,1
war,1
present,1
stool,1
color,1
assimilate,1
hut,1
slowly,1
grow,1
still,1
ground,1
fall,1
apt,1
belief,1
andrew,1
virgin,1
stay,1
people,1
along,1
royal,1
retainer,1
al,1
island,1
course,1
korea,1
believe,1
x,1
lt,1
sketch,1
assume,1
historical,1
short,1
inasmuch,1
impartiality,1
yet,1
any,1
almost,1
impartial,1
write,1
enjoy,1
congratulate,1
descend,1
dedicate,1
often,1
c,1
sixteenth,1
convert,1
western,1
brief,1
u,1
remind,1
l,1
erg,1
forget,1
live,1
custom,1
inst,1
statue,1
idea,1
conceive,1
courtier,1
should,1
wish,1
emperor,1
d,1
last,1
northern,1
outer,1
mine,1
hundred,1
meeting,1
architecture,1
mystery,1
secret,1
drinker,1
school,1
eight,1
par,1
pr,1
movement,1
function,1
distinguish,1
home,1
evening,1
business,1
per,1
p,1
play,1
hart,1
woman,1
daily,1
begin,1
occur,1
simplicity,1
teapot,1
early,1
aether,1
translate,1
sun,1
rise,1
land,1
special,1
garden,1
drawing,1
prefer,1
hour,1
appoint,1
elegance,1
him,1
thank,1
call,1
customary,1
ahead,1
week,1
send,1
solitude,1
rein,1
lion,1
fish,1
tiny,1
wail,1
all,1
noise,1
loudly,1
cough,1
tim,1
bet,1
tap,1
familiar,1
e,1
ho,1
qt,1
empty,1
sea,1
whiff,1
can,1
tirol,1
tin,1
rile,1
tobacco,1
rich,1
re,1
anything,1
terrific,1
if,1
face,1
hibachi,1
wrap,1
boiling,1
kettle,1
place,1
dust,1
servant,1
dress,1
while,1
kimono,1
hip,1
around,1
stuff,1
wipe,1
complicated,1
toilet,1
salve,1
red,1
lip,1
cover,1
lind,1
herself,1
soft,1
q,1
worth,1
