lemma,count
of,28
the,22
be,15
to,14
and,13
his,12
in,12
tile,11
for,9
a,8
s,8
have,7
it,7
john,6
that,5
her,5
high,4
this,4
at,4
he,4
political,3
all,3
politic,3
but,3
clara,3
by,3
with,3
yet,2
president,2
one,2
an,2
their,2
before,2
scorn,2
incident,2
ring,2
them,2
himself,2
same,2
strong,2
place,2
after,2
affair,2
like,2
woman,2
love,2
new,2
story,2
if,2
make,2
philip,2
think,2
honor,2
father,2
last,2
more,2
there,2
as,2
poor,2
since,2
daughter,1
simple,1
past,1
reading,1
hal,1
follow,1
position,1
pay,1
possess,1
thick,1
upon,1
indifferent,1
price,1
term,1
thirty,1
former,1
scarcely,1
need,1
antithesis,1
on,1
care,1
no,1
law,1
else,1
bargain,1
become,1
wish,1
ar,1
improve,1
greatly,1
charm,1
writing,1
few,1
meeting,1
within,1
feeble,1
i,1
hake,1
able,1
strike,1
turn,1
knife,1
triumph,1
him,1
hour,1
when,1
stand,1
chief,1
denounce,1
brained,1
both,1
time,1
sign,1
death,1
warrant,1
future,1
seem,1
rather,1
pitiless,1
fool,1
than,1
man,1
other,1
spot,1
wear,1
almost,1
breathless,1
eagerness,1
nd,1
rs,1
tool,1
hand,1
thereby,1
arouse,1
sleeping,1
tiger,1
also,1
fury,1
character,1
heedlessly,1
several,1
end,1
marc,1
brilliant,1
imperious,1
magnate,1
corruption,1
st,1
personal,1
fairly,1
chair,1
ian,1
rudderless,1
ship,1
absolutely,1
corruptible,1
senator,1
determine,1
expos,1
tire,1
blackness,1
vile,1
encircle,1
r,1
washington,1
soon,1
find,1
shelve,1
because,1
non,1
support,1
draw,1
fang,1
again,1
current,1
seething,1
about,1
toss,1
ultimate,1
passion,1
mo,1
york,1
harper,1
brother,1
mr,1
who,1
will,1
remember,1
author,1
jim,1
baby,1
go,1
far,1
afield,1
war,1
between,1
power,1
wage,1
fiercely,1
seek,1
public,1
favor,1
may,1
own,1
method,1
wherewith,1
fight,1
snare,1
besides,1
overmaster,1
ambition,1
implant,1
deep,1
nature,1
which,1
thought,1
presidency,1
send,1
blood,1
dance,1
madly,1
through,1
vein,1
figurehead,1
learn,1
minion,1
not,1
mighty,1
record,1
five,1
year,1
stainless,1
therefore,1
insidiously,1
begin,1
undercurrent,1
gossip,1
hint,1
name,1
nomination,1
chicago,1
convention,1
still,1
ideal,1
faith,1
believe,1
league,1
devil,1
case,1
knave,1
