lemma,count
the,38
of,23
be,13
a,9
and,8
or,8
to,7
his,7
that,7
with,5
slavery,5
not,5
do,5
he,4
it,4
we,4
i,4
ill,4
all,4
lincoln,3
have,3
may,3
as,3
by,3
in,3
s,3
an,3
doctrine,3
clay,2
how,2
out,2
exist,2
take,2
should,2
webster,2
know,2
could,2
no,2
moral,2
for,2
ever,2
question,2
would,2
whether,2
suffer,2
republican,2
life,2
stephen,2
tile,2
patriot,2
gardner,2
w,2
reformer,2
on,2
n,2
from,2
oh,1
belong,1
sumner,1
y,1
than,1
meat,1
more,1
action,1
seward,1
advocacy,1
who,1
es,1
into,1
shock,1
sentiment,1
political,1
challenger,1
voice,1
express,1
debate,1
generation,1
past,1
statesman,1
reality,1
certainly,1
this,1
union,1
blot,1
inalienable,1
white,1
negro,1
fugitive,1
come,1
slave,1
state,1
early,1
fault,1
still,1
vast,1
throw,1
side,1
l,1
every,1
mast,1
against,1
law,1
can,1
e,1
neutral,1
war,1
traitor,1
rn,1
rail,1
grasp,1
problem,1
inward,1
lr,1
us,1
make,1
th,1
share,1
mistake,1
ila,1
fail,1
see,1
compromise,1
settle,1
lied,1
final,1
clash,1
without,1
him,1
but,1
here,1
nd,1
at,1
close,1
hie,1
bring,1
master,1
time,1
estimate,1
down,1
history,1
read,1
deal,1
standpoint,1
likely,1
form,1
rather,1
low,1
lay,1
ethic,1
violent,1
hand,1
upon,1
popularize,1
if,1
ha,1
invent,1
popular,1
sovereignty,1
up,1
vote,1
va,1
care,1
opponent,1
william,1
boston,1
press,1
few,1
devoted,1
so,1
much,1
criticism,1
posterity,1
great,1
issue,1
occupy,1
position,1
midway,1
between,1
jefferson,1
party,1
wrong,1
which,1
mean,1
territorial,1
presidency,1
ear,1
giant,1
undisputed,1
arty,1
following,1
popularity,1
comparable,1
jackson,1
mr,1
something,1
toward,1
solve,1
riddle,1
preacher,1
crusade,1
lie,1
ready,1
c,1
accept,1
yet,1
secure,1
alone,1
r,1
decide,1
territory,1
work,1
plain,1
follow,1
our,1
historical,1
guide,1
conclude,1
doug,1
las,1
vulgar,1
minded,1
shallow,1
fellow,1
whose,1
only,1
real,1
purpose,1
teat,1
