lemma,count
the,128
of,109
be,85
and,69
a,67
to,64
her,56
in,52
she,39
i,35
as,32
have,32
that,23
his,23
lady,21
s,21
by,18
woman,18
with,17
for,17
mary,15
tile,14
so,13
on,13
not,12
it,12
or,12
he,12
we,11
but,11
man,11
do,11
life,10
which,10
letter,8
from,8
well,8
part,8
this,8
more,8
much,7
love,7
him,7
know,7
they,7
one,7
any,6
their,6
find,6
at,6
wit,6
only,6
if,6
world,6
nor,6
pope,6
new,6
where,6
book,6
can,6
an,6
get,6
very,5
no,5
nd,5
you,5
court,5
two,5
write,5
there,5
century,5
year,5
character,5
time,5
tell,5
up,5
never,5
look,4
our,4
many,4
say,4
lord,4
out,4
after,4
turn,4
son,4
here,4
before,4
george,4
every,4
french,4
into,4
friend,4
husband,4
all,4
speak,4
show,4
passion,4
x,4
over,4
who,4
lover,4
then,4
us,4
seem,3
expect,3
devotion,3
herself,3
both,3
t,3
most,3
may,3
while,3
own,3
young,3
first,3
great,3
beauty,3
h,3
force,3
when,3
good,3
study,3
london,3
e,3
last,3
live,3
mind,3
upon,3
such,3
me,3
home,3
fall,3
succeed,3
interesting,3
than,3
learning,3
during,3
end,3
country,3
between,3
eye,3
follow,3
take,3
day,3
age,3
birth,3
appreciate,2
some,2
real,2
relative,2
direct,2
instance,2
could,2
how,2
remarkable,2
affair,2
thoroughly,2
admiration,2
come,2
cover,2
wind,2
make,2
presently,2
english,2
finally,2
war,2
other,2
quality,2
poor,2
ridicule,2
mean,2
lack,2
question,2
until,2
against,2
indeed,2
m,2
ever,2
y,2
fit,2
later,2
attitude,2
compliment,2
temper,2
news,2
go,2
severe,2
child,2
its,2
die,2
yet,2
them,2
far,2
what,2
memoir,2
whether,2
expression,2
feeling,2
hear,2
will,2
through,2
long,2
correspondence,2
author,2
thing,2
would,2
n,2
toward,2
large,2
silly,2
bear,2
sir,2
l,2
scandal,2
horace,2
shall,2
friendship,2
fool,2
esteem,2
leave,2
sit,2
marriage,2
marry,2
heart,2
just,2
early,2
notion,2
possess,2
put,2
again,2
father,2
full,2
possession,2
regard,2
short,2
eighteenth,2
york,2
play,2
o,2
incapable,2
dull,2
england,2
rough,2
form,2
fill,2
see,2
trouble,2
lead,2
neither,2
ms,2
even,2
death,2
soon,2
criminal,2
ignorance,1
cast,1
rich,1
mingle,1
knowledge,1
now,1
head,1
upward,1
newton,1
sigh,1
isaac,1
deep,1
effendi,1
rather,1
fetch,1
possible,1
dean,1
pious,1
value,1
rt,1
figure,1
meek,1
capacity,1
strength,1
mild,1
aspect,1
dram,1
silver,1
lock,1
distant,1
rumble,1
tl,1
overshadow,1
heed,1
black,1
velvet,1
credit,1
let,1
dislike,1
cap,1
famous,1
brother,1
axe,1
almost,1
hate,1
silently,1
idea,1
vice,1
manage,1
hope,1
mishap,1
hap,1
interested,1
human,1
quiet,1
type,1
deal,1
sick,1
solitary,1
goad,1
confinement,1
guinea,1
getting,1
plain,1
sure,1
term,1
fondness,1
tact,1
back,1
invariably,1
gossip,1
certain,1
tongue,1
begin,1
sharp,1
literary,1
keen,1
lind,1
circle,1
am,1
porte,1
act,1
accompany,1
beseech,1
plea,1
leaven,1
shrewd,1
pardon,1
divide,1
profane,1
beneficial,1
animal,1
language,1
weak,1
condemn,1
lived,1
existence,1
scheme,1
turk,1
praise,1
recall,1
durst,1
return,1
reluctance,1
