lemma,count
the,109
of,81
be,47
to,41
and,37
a,29
in,27
he,27
s,24
his,16
for,13
that,13
as,12
it,10
with,9
or,9
not,9
i,9
but,9
mr,9
one,9
play,9
all,8
actor,7
life,7
by,7
this,7
who,7
stage,7
an,6
on,6
modern,6
rhetorical,5
we,5
book,5
r,5
do,5
say,5
which,5
write,5
n,5
l,5
them,4
have,4
criticism,4
go,4
work,4
old,4
can,4
audience,4
most,4
no,4
drama,4
speech,4
greek,4
when,4
london,4
dramatic,4
h,4
dramatist,4
you,3
other,3
many,3
so,3
critic,3
ancient,3
humor,3
illusion,3
appreciation,3
new,3
post,3
thing,3
ad,3
him,3
between,3
set,3
from,3
husband,2
personality,2
few,2
morbidity,2
about,2
some,2
theatrical,2
author,2
b,2
they,2
art,2
whimsical,2
much,2
people,2
realism,2
prove,2
statement,2
w,2
first,2
hugo,2
belong,2
more,2
day,2
too,2
cry,2
o,2
over,2
d,2
address,2
lr,2
folk,2
course,2
here,2
difference,2
would,2
until,2
may,2
contemporary,2
find,2
long,2
frequently,2
acting,2
philistine,2
only,2
at,2
pleasure,2
call,2
t,2
joke,2
if,2
fail,2
else,2
york,2
bold,2
fellow,2
nothing,2
le,2
must,2
g,2
washington,2
u,2
c,2
man,2
chapter,2
its,2
any,2
ab,2
time,2
instance,2
will,2
also,2
forget,2
worker,1
fictitious,1
excess,1
endless,1
hue,1
william,1
destroy,1
woe,1
cf,1
shad,1
chang,1
advertisement,1
quote,1
exactly,1
imitate,1
briefly,1
stupid,1
again,1
our,1
dawn,1
gr,1
arty,1
quite,1
feel,1
contradict,1
tradition,1
symbolism,1
mimic,1
himself,1
table,1
scene,1
tab,1
vii,1
el,1
philosophical,1
detach,1
what,1
galatea,1
rn,1
pygmalion,1
pinafore,1
me,1
er,1
physician,1
tragedy,1
comedy,1
gilbert,1
duse,1
clarice,1
space,1
tomb,1
carlo,1
denise,1
despise,1
ave,1
hem,1
joy,1
jes,1
tm,1
nether,1
nd,1
laugh,1
spite,1
john,1
rel,1
ls,1
ion,1
story,1
obtain,1
shake,1
rhetoric,1
spear,1
speak,1
further,1
right,1
pass,1
humorously,1
olivia,1
dona,1
act,1
romantic,1
delicately,1
evil,1
gloat,1
terry,1
situation,1
character,1
sprinkle,1
intelligence,1
ned,1
idea,1
henrietta,1
novelty,1
literary,1
seek,1
maria,1
irving,1
type,1
bug,1
conversational,1
lover,1
commission,1
whom,1
cat,1
divorce,1
has,1
heroine,1
mature,1
notice,1
moment,1
pseudo,1
favorable,1
account,1
tho,1
p,1
see,1
shock,1
lore,1
forever,1
jr,1
review,1
abide,1
sad,1
value,1
attention,1
little,1
pay,1
passage,1
everywhere,1
save,1
clearly,1
count,1
page,1
intensely,1
aristotle,1
daughter,1
separate,1
impossibility,1
clear,1
bee,1
combine,1
suit,1
then,1
branch,1
cromwell,1
bear,1
entomology,1
v,1
pa,1
keen,1
us,1
m,1
down,1
trunk,1
discreetly,1
z,1
impression,1
important,1
om,1
least,1
player,1
rule,1
put,1
ht,1
everybody,1
without,1
hopelessly,1
bu,1
reading,1
dry,1
pretty,1
renowned,1
study,1
collect,1
charm,1
piece,1
cockney,1
collected,1
shin,1
attribute,1
delightful,1
ca,1
make,1
effect,1
percussive,1
proper,1
stace,1
devour,1
alike,1
remain,1
term,1
chronicler,1
honest,1
revivified,1
genius,1
expression,1
share,1
small,1
possible,1
human,1
lend,1
lot,1
calling,1
leader,1
praise,1
writer,1
ask,1
utterance,1
cold,1
enthusiasm,1
arouse,1
regard,1
journalist,1
humorist,1
paris,1
parisian,1
veritable,1
briton,1
conventional,1
respect,1
self,1
student,1
methodical,1
band,1
servant,1
civil,1
competent,1
versatile,1
sided,1
bingham,1
arthur,1
perverse,1
discourse,1
try,1
measure,1
reckon,1
humorous,1
esteem,1
highly,1
army,1
grand,1
famous,1
sousa,1
well,1
perfectly,1
know,1
newspaper,1
lively,1
dan,1
american,1
think,1
pretend,1
mood,1
droll,1
lose,1
side,1
moderation,1
person,1
point,1
stand,1
appropriate,1
her,1
talk,1
rea,1
is,1
bit,1
mat,1
rama,1
orator,1
overhear,1
picture,1
finn,1
convert,1
whose,1
fr,1
like,1
e,1
admirably,1
nat,1
hour,1
action,1
gesture,1
good,1
today,1
revel,1
fairly,1
startling,1
kind,1
classicist,1
lt,1
rom,1
victor,1
dead,1
assurance,1
scandal,1
school,1
century,1
last,1
forty,1
forward,1
far,1
antique,1
bring,1
accurate,1
ed,1
interested,1
foot,1
expect,1
rank,1
next,1
now,1
gentleman,1
rind,1
note,1
take,1
fender,1
their,1
form,1
home,1
sit,1
dad,1
both,1
blackmailer,1
either,1
false,1
condemn,1
naught,1
express,1
definite,1
view,1
ber,1
plat,1
vast,1
volume,1
present,1
beginning,1
enjoyment,1
huge,1
derive,1
english,1
french,1
master,1
equivalent,1
among,1
wander,1
soul,1
permit,1
argument,1
conceal,1
mind,1
ar,1
