lemma,count
the,36
and,21
be,17
of,12
to,11
that,9
her,8
with,8
in,8
but,7
a,6
woman,5
it,5
they,5
she,4
or,4
mrs,4
from,4
not,4
story,3
dinner,3
who,3
commuter,3
set,3
by,3
cut,3
make,3
wife,3
his,3
suburban,3
there,2
american,2
s,2
than,2
fill,2
less,2
whirl,2
more,2
town,2
attend,2
after,2
do,2
out,2
rather,2
one,2
these,2
young,2
if,2
lady,2
pleasure,2
which,2
life,2
come,2
important,2
book,2
husband,2
cleverly,2
quite,2
on,2
too,2
for,2
possess,1
tongue,1
unconsciously,1
practical,1
feel,1
capable,1
all,1
indiscreet,1
approve,1
common,1
because,1
sense,1
descendant,1
much,1
knowledge,1
bind,1
as,1
social,1
entitle,1
vivacious,1
pattern,1
family,1
tile,1
provide,1
different,1
coloring,1
member,1
wardrobe,1
mostly,1
really,1
youngish,1
fond,1
limelight,1
dress,1
foot,1
hand,1
self,1
idea,1
may,1
intentionally,1
unconscious,1
art,1
homo,1
same,1
faithfully,1
depict,1
author,1
know,1
ha,1
away,1
forth,1
hurry,1
very,1
universal,1
char,1
whose,1
either,1
grow,1
permit,1
wear,1
assertiveness,1
would,1
raiment,1
move,1
possibly,1
fault,1
sameness,1
type,1
evolve,1
gorgeous,1
two,1
specimen,1
interesting,1
most,1
entertaining,1
truth,1
whisper,1
prescription,1
shall,1
have,1
ms,1
upon,1
him,1
little,1
short,1
company,1
although,1
whom,1
pen,1
busy,1
he,1
indeed,1
background,1
along,1
evening,1
morning,1
shadow,1
while,1
through,1
day,1
pounce,1
has,1
often,1
himself,1
suburb,1
package,1
rush,1
train,1
picturesque,1
person,1
able,1
hide,1
eager,1
vivaciously,1
eye,1
writer,1
search,1
subject,1
stewart,1
cutting,1
always,1
write,1
call,1
go,1
shop,1
deep,1
tell,1
measure,1
wherein,1
insist,1
give,1
up,1
certain,1
touch,1
note,1
well,1
lightness,1
deftness,1
hardly,1
suggestion,1
similarity,1
about,1
them,1
seem,1
work,1
slight,1
tea,1
its,1
bridge,1
party,1
reception,1
sometimes,1
look,1
house,1
child,1
take,1
title,1
three,1
initial,1
over,1
half,1
volume,1
far,1
good,1
collection,1
other,1
general,1
