lemma,count
the,89
of,52
and,29
to,28
be,26
in,25
his,20
have,14
that,13
with,11
by,10
he,9
at,9
as,8
it,8
a,8
which,7
i,5
louis,5
from,5
or,5
on,5
we,5
into,4
royalist,4
their,4
s,4
who,3
not,3
for,3
de,3
austria,3
here,3
they,3
feel,3
these,3
him,3
event,3
no,3
more,3
xviii,3
slight,3
place,3
those,3
jacobin,3
bonaparte,3
out,3
other,2
but,2
time,2
minority,2
l,2
able,2
soon,2
because,2
paris,2
great,2
where,2
prince,2
m,2
author,2
force,2
p,2
thus,2
almost,2
die,2
only,2
due,2
d,2
interest,2
g,2
e,2
intrigue,2
narrative,2
obscure,2
history,2
enter,2
well,2
even,2
see,2
lead,2
very,2
seem,2
want,2
rightly,2
point,2
an,2
may,2
so,2
triumph,2
fellow,2
young,2
ma,2
constitutional,2
france,2
order,2
this,2
effort,2
charge,1
open,1
fate,1
betrothal,1
proportion,1
marne,1
dismiss,1
few,1
sage,1
however,1
portion,1
later,1
crisis,1
party,1
day,1
use,1
ca,1
dark,1
solely,1
capable,1
never,1
lie,1
leader,1
when,1
guidance,1
quality,1
readily,1
crush,1
departure,1
fortune,1
occasionally,1
gasp,1
research,1
advantage,1
cut,1
down,1
self,1
rea,1
confidence,1
labyrinth,1
reader,1
apt,1
lose,1
impossible,1
bear,1
way,1
such,1
connection,1
main,1
renew,1
course,1
last,1
sufficiently,1
emphasize,1
perhaps,1
advise,1
concentrate,1
its,1
attention,1
restraint,1
sojourn,1
thereby,1
undoubtedly,1
year,1
right,1
appropriate,1
terrorist,1
credit,1
one,1
misfortune,1
invincible,1
purpose,1
letter,1
adopt,1
rend,1
after,1
dash,1
afflict,1
than,1
rhine,1
oral,1
surprised,1
always,1
rogue,1
r,1
profit,1
awake,1
good,1
once,1
people,1
guard,1
hop,1
poland,1
nearer,1
v,1
themselves,1
te,1
stroke,1
kingly,1
world,1
case,1
probable,1
dominion,1
leave,1
ancient,1
dynasty,1
would,1
something,1
czar,1
there,1
recall,1
jacobite,1
decide,1
method,1
act,1
means,1
majority,1
pendant,1
li,1
judgment,1
et,1
read,1
thee,1
receive,1
gen,1
t,1
january,1
sobriety,1
surveillance,1
elsewhere,1
know,1
pitt,1
forth,1
put,1
peace,1
breakdown,1
observe,1
go,1
persecution,1
petty,1
exile,1
side,1
assure,1
ostensibly,1
though,1
really,1
now,1
sincere,1
think,1
diplomatic,1
everywhere,1
border,1
across,1
remain,1
influence,1
untoward,1
full,1
b,1
isolation,1
britain,1
secondary,1
reduce,1
october,1
treaty,1
consequent,1
general,1
doing,1
egotistical,1
condone,1
give,1
trend,1
military,1
strong,1
italy,1
northern,1
laurel,1
harvest,1
cull,1
london,1
arrangement,1
revolution,1
during,1
noble,1
flight,1
politic,1
perpetuate,1
coup,1
interior,1
power,1
raise,1
swashbucklers,1
shed,1
cry,1
decisively,1
reaction,1
carry,1
arena,1
lord,1
thereafter,1
chief,1
lieutenant,1
drastically,1
neglect,1
openly,1
flout,1
reside,1
none,1
control,1
them,1
pretension,1
peevishness,1
french,1
measure,1
some,1
subject,1
british,1
state,1
ace,1
youth,1
petulance,1
all,1
intend,1
work,1
already,1
aim,1
jan,1
catastrophe,1
up,1
detail,1
confess,1
must,1
wide,1
introduce,1
description,1
move,1
agent,1
loyalist,1
genera,1
student,1
exhibit,1
comte,1
fain,1
fatuity,1
monarchy,1
close,1
ii,1
henchman,1
francis,1
weak,1
policy,1
balance,1
under,1
sum,1
borden,1
army,1
little,1
discourage,1
take,1
find,1
determine,1
champion,1
field,1
illustrate,1
serve,1
seas,1
minister,1
courage,1
inspire,1
spain,1
continent,1
prussia,1
bring,1
seek,1
duchy,1
tile,1
retreat,1
volume,1
