lemma,count
the,308
of,206
be,148
and,113
to,100
in,98
a,71
his,69
have,52
he,45
that,45
it,42
schiller,36
s,36
for,34
with,31
german,25
poet,25
on,24
which,24
at,23
from,21
as,19
not,19
goethe,19
by,17
all,16
one,15
even,14
but,14
year,13
who,13
so,13
drama,12
germany,12
world,12
any,12
life,12
him,11
i,11
they,10
an,10
its,10
most,10
these,9
more,9
man,9
great,9
l,8
other,8
duke,8
give,8
poetry,8
when,8
write,8
first,8
history,8
time,8
play,7
come,7
do,7
revolt,7
e,7
against,7
t,7
both,7
or,7
their,7
period,7
influence,7
like,6
appeal,6
than,6
no,6
deal,6
last,6
side,6
much,6
produce,6
four,6
o,6
some,6
himself,6
enough,6
make,6
spirit,6
yon,5
don,5
english,5
g,5
obtain,5
find,5
th,5
true,5
philosophic,5
poetical,5
ideal,5
itself,5
dramatic,5
real,5
into,5
abstract,5
human,5
know,5
die,5
love,5
work,5
just,4
very,4
h,4
only,4
early,4
while,4
out,4
ballad,4
where,4
think,4
show,4
feeling,4
historic,4
art,4
force,4
lyric,4
if,4
say,4
action,4
appear,4
this,4
stage,4
upon,4
away,4
almost,4
tendency,4
military,4
french,4
yet,4
u,4
somewhat,4
direct,4
seem,4
d,4
part,4
however,4
we,4
would,4
liberty,4
struggle,4
heine,3
here,3
expression,3
student,3
something,3
point,3
robber,3
still,3
formula,3
attract,3
tyranny,3
word,3
contemporary,3
rate,3
poem,3
production,3
then,3
take,3
those,3
head,3
bad,3
philosophy,3
new,3
whole,3
once,3
modern,3
father,3
before,3
study,3
observe,3
heart,3
red,3
present,3
ill,3
professorship,3
leave,3
receive,3
about,3
two,3
carry,3
friendship,3
france,3
good,3
age,3
friend,3
each,3
lead,3
effect,3
century,3
england,3
line,3
mainly,3
ever,3
such,3
appreciate,3
will,3
n,3
hand,3
attempt,3
perhaps,3
carlo,3
can,3
well,3
c,3
fine,3
nd,3
less,3
except,3
rank,3
poetic,3
lie,3
voice,3
under,3
become,3
three,3
same,3
activity,3
due,3
see,3
sense,3
false,2
always,2
utterance,2
plot,2
could,2
piece,2
audience,2
height,2
claim,2
scarcely,2
rather,2
original,2
compare,2
republic,2
young,2
express,2
form,2
academy,2
high,2
revolution,2
tn,2
day,2
mary,2
another,2
second,2
tell,2
centenary,2
condition,2
either,2
william,2
best,2
es,2
italy,2
few,2
passionate,2
necessary,2
gain,2
breadth,2
dramas,2
want,2
during,2
them,2
prize,2
meet,2
increase,2
magic,2
representation,2
verse,2
unfortunately,2
between,2
treatment,2
toward,2
choose,2
foreign,2
matter,2
hope,2
soil,2
quite,2
protestantism,2
imagination,2
keep,2
catholicism,2
european,2
duty,2
tyrant,2
nation,2
type,2
five,2
though,2
simple,2
american,2
natural,2
couple,2
contrast,2
bring,2
up,2
need,2
bell,2
through,2
speak,2
extent,2
didactic,2
result,2
throughout,2
ire,2
already,2
adapt,2
mind,2
after,2
characteristic,2
half,2
fairy,2
chief,2
woman,2
jean,2
tale,2
carlyle,2
product,2
oh,2
idealism,2
whether,2
literary,2
should,2
far,2
movement,2
turn,2
may,2
europe,2
own,2
ha,2
wonder,2
declare,2
benevolent,2
surgeon,2
oil,2
quality,2
thing,2
fancy,2
precede,2
personal,2
song,2
representative,2
promise,2
hold,2
sturm,2
chiller,2
wear,2
soul,2
destine,2
measure,2
re,2
romantic,2
explain,2
rise,2
karl,2
there,2
army,2
since,2
book,2
rich,2
especially,2
ta,2
co,2
career,2
above,2
naturally,1
rouse,1
obtaining,1
care,1
egoism,1
together,1
professed,1
cool,1
never,1
supply,1
create,1
mislead,1
therefore,1
said,1
lain,1
closer,1
x,1
lang,1
pal,1
romance,1
mud,1
undoubtedly,1
off,1
way,1
end,1
bite,1
q,1
tempera,1
bitter,1
coo,1
reference,1
perpetual,1
irony,1
readable,1
version,1
concern,1
tribute,1
least,1
epigram,1
snob,1
none,1
fellow,1
abstraction,1
colorless,1
fire,1
light,1
mediate,1
ts,1
air,1
conventionally,1
beneficial,1
exaltation,1
determine,1
what,1
laureate,1
intrepid,1
dandified,1
herman,1
bureaucrat,1
grown,1
regard,1
value,1
detail,1
writer,1
herbert,1
spencer,1
artistic,1
ruskin,1
successful,1
morris,1
develop,1
thought,1
latter,1
curious,1
recondite,1
afar,1
conception,1
feel,1
poorly,1
found,1
religion,1
morality,1
business,1
rational,1
basis,1
soldier,1
absence,1
imaginative,1
philosopher,1
attraction,1
compact,1
insight,1
anticipate,1
pay,1
psychology,1
striking,1
law,1
disruption,1
biological,1
science,1
equal,1
yield,1
language,1
enthusiasm,1
emotion,1
fide,1
tier,1
pulse,1
literature,1
er,1
fir,1
de,1
land,1
bat,1
repel,1
haired,1
freckled,1
allen,1
homer,1
du,1
thoroughly,1
anticipation,1
darwinism,1
rife,1
simultaneously,1
call,1
answer,1
interest,1
glimpse,1
chapman,1
hell,1
distinction,1
transform,1
la,1
competitor,1
distinctively,1
hellenism,1
among,1
fight,1
poetaster,1
root,1
week,1
reek,1
nemesis,1
desist,1
again,1
ear,1
alive,1
finally,1
theme,1
favorite,1
indomitable,1
topic,1
nominally,1
switzerland,1
disease,1
fell,1
sheer,1
maid,1
commence,1
elizabeth,1
scale,1
rasp,1
master,1
question,1
stuart,1
convince,1
queen,1
reader,1
strength,1
lose,1
background,1
go,1
ms,1
beginning,1
power,1
involve,1
being,1
setter,1
spar,1
me,1
superstition,1
set,1
naught,1
orderly,1
reward,1
reap,1
gratify,1
cognition,1
popularity,1
strict,1
russia,1
self,1
fol,1
enormous,1
le,1
amount,1
fury,1
hi,1
reverence,1
plead,1
place,1
germanic,1
merit,1
iron,1
m,1
row,1
lover,1
base,1
fool,1
order,1
walk,1
imbue,1
teuton,1
inside,1
happen,1
generation,1
better,1
grand,1
contempt,1
effort,1
kantian,1
professor,1
atlantic,1
summer,1
follow,1
deep,1
doubt,1
require,1
weak,1
faith,1
rule,1
versify,1
nineteenth,1
culminate,1
poe,1
marvelous,1
bl,1
pledge,1
solemn,1
strange,1
coleridge,1
attention,1
scotland,1
vogue,1
spread,1
translation,1
taste,1
pedantic,1
diver,1
unlike,1
utterly,1
perfect,1
macbeth,1
dragon,1
crane,1
style,1
fugue,1
ponderous,1
patriotism,1
thirty,1
win,1
forty,1
wallenstein,1
trilogy,1
tragic,1
tile,1
tragedy,1
purely,1
arise,1
conflict,1
powerful,1
faust,1
act,1
fifth,1
nothing,1
ambition,1
event,1
fame,1
north,1
fundamentally,1
witchery,1
verbal,1
april,1
music,1
wolf,1
mr,1
my,1
principle,1
count,1
masterpiece,1
must,1
sensuous,1
enrich,1
you,1
hundred,1
desire,1
seine,1
broaden,1
fetter,1
p,1
den,1
sacrifice,1
et,1
ced,1
v,1
was,1
offense,1
blue,1
fa,1
plush,1
white,1
waistcoat,1
shoe,1
lt,1
ht,1
slice,1
powder,1
hair,1
roll,1
winch,1
lady,1
her,1
little,1
ben,1
fr,1
rt,1
bavarian,1
hussar,1
migrate,1
notice,1
eugen,1
te,1
culture,1
xiv,1
frederick,1
ix,1
encouragement,1
provide,1
theirs,1
di,1
pee,1
tight,1
partly,1
blood,1
julius,1
contemporaneous,1
america,1
close,1
subsequent,1
put,1
thai,1
soon,1
rome,1
sparta,1
nunnery,1
dread,1
wrath,1
prison,1
predecessor,1
sentiment,1
les,1
violent,1
flee,1
servitude,1
idea,1
capture,1
novel,1
barn,1
rent,1
repressed,1
rant,1
notion,1
characterization,1
fail,1
reach,1
honor,1
nowadays,1
individual,1
epoch,1
making,1
free,1
classical,1
rea,1
k,1
abnormal,1
exaggerated,1
lind,1
draw,1
escape,1
obscure,1
represent,1
bureaucratic,1
domesticity,1
sentimentality,1
y,1
formalism,1
figure,1
quarter,1
eighteenth,1
foremost,1
fighter,1
emancipate,1
shackle,1
enmesh,1
forerunner,1
term,1
rival,1
crowd,1
stag,1
core,1
tip,1
finger,1
memoriam,1
dramatist,1
later,1
york,1
review,1
joseph,1
jacob,1
author,1
tennyson,1
celtic,1
indifferent,1
par,1
excellence,1
respect,1
significance,1
outside,1
pure,1
universally,1
distinctly,1
gent,1
try,1
r,1
evoke,1
spiritual,1
reign,1
semi,1
sane,1
swiss,1
rousseau,1
tend,1
subvert,1
hide,1
bind,1
court,1
impression,1
stress,1
martinet,1
discipline,1
rebel,1
pie,1
originally,1
barb,1
look,1
revolutionist,1
hailer,1
utter,1
school,1
too,1
prove,1
also,1
help,1
apply,1
bib,1
clime,1
intellect,1
nourishment,1
third,1
possibly,1
prone,1
occupy,1
theology,1
lil,1
apart,1
depend,1
enter,1
mannheim,1
release,1
august,1
nearly,1
exhaust,1
possible,1
profit,1
drug,1
market,1
assistance,1
baron,1
director,1
lot,1
indeed,1
unenviable,1
worldly,1
seven,1
intervene,1
needless,1
depth,1
get,1
engage,1
expense,1
thawing,1
entitle,1
prose,1
polity,1
rel,1
ons,1
indicate,1
blank,1
el,1
instead,1
bald,1
earlier,1
page,1
compose,1
how,1
manage,1
live,1
difficult,1
bean,1
munificent,1
sixteen,1
aspirant,1
noble,1
tho,1
visit,1
immortal,1
classic,1
cheat,1
voltaire,1
familiar,1
letter,1
hose,1
catch,1
particular,1
virtue,1
clearness,1
outline,1
definiteness,1
statement,1
labor,1
genius,1
faint,1
engrossed,1
critical,1
research,1
devote,1
begin,1
divert,1
b,1
italian,1
journey,1
strangely,1
stuttgart,1
raw,1
bone,1
commendation,1
fragment,1
marriage,1
opportunity,1
return,1
afford,1
assurance,1
bare,1
livelihood,1
remainder,1
acceptance,1
current,1
spoil,1
earn,1
intensely,1
nature,1
elapse,1
wm,1
further,1
beat,1
round,1
crudity,1
formation,1
remarkable,1
youth,1
practically,1
monastery,1
mistress,1
obvious,1
intrigue,1
episode,1
inspire,1
supreme,1
qualification,1
full,1
grasp,1
firm,1
awe,1
living,1
hack,1
black,1
employ,1
prosecute,1
conduct,1
practical,1
desertion,1
stand,1
chance,1
remain,1
several,1
w,1
dresden,1
direction,1
crudely,1
subject,1
suggest,1
gift,1
susceptible,1
quiz,1
sex,1
stay,1
outlook,1
next,1
absent,1
inexcusably,1
clash,1
lon,1
political,1
f,1
om,1
hero,1
tat,1
god,1
judgment,1
worm,1
der,1
sin,1
introduce,1
conviction,1
change,1
oven,1
fact,1
hie,1
crude,1
over,1
li,1
reputation,1
congenial,1
circle,1
manifest,1
pot,1
lyrical,1
net,1
outburst,1
