lemma,count
the,93
of,64
and,39
be,38
to,29
he,24
a,21
jesus,16
have,15
that,14
him,13
in,12
s,10
not,9
his,9
it,8
roman,8
pilate,7
which,7
an,7
as,6
prisoner,6
or,6
sanhedrin,5
one,5
on,5
tile,5
by,5
for,5
they,5
no,5
at,5
will,4
charge,4
with,4
who,4
before,4
trial,4
law,4
signor,4
without,4
from,4
upon,3
free,3
hebrew,3
time,3
should,3
after,3
may,3
fact,3
book,3
this,3
hold,3
great,3
however,3
most,3
l,3
single,3
even,3
what,3
take,3
jerusalem,3
many,3
set,3
against,3
work,2
source,2
court,2
blasphemy,2
first,2
we,2
proof,2
sedition,2
king,2
confession,2
conduct,2
if,2
rome,2
form,2
herod,2
over,2
all,2
shirk,2
show,2
i,2
do,2
ask,2
refusal,2
right,2
choice,2
when,2
refuse,2
sentence,2
release,2
now,2
them,2
judge,2
place,2
lucius,2
arrest,2
jurist,2
but,2
some,2
out,2
people,2
seek,2
nazarene,2
day,2
italian,2
knowledge,2
consider,2
life,2
last,2
accord,2
since,1
allege,1
unanimous,1
distinction,1
friend,1
execute,1
declare,1
himself,1
impertinent,1
aid,1
traitor,1
caesar,1
following,1
superfluous,1
ida,1
id,1
m,1
hi,1
f,1
ir,1
b,1
z,1
try,1
let,1
giovanni,1
miracle,1
look,1
isolation,1
utter,1
c,1
tad,1
boldly,1
than,1
subterfuge,1
mighty,1
return,1
toga,1
white,1
clothe,1
irony,1
sense,1
keen,1
turn,1
attend,1
happen,1
antipas,1
perfectly,1
subject,1
jurisdiction,1
criminal,1
representative,1
task,1
own,1
passover,1
rebuke,1
criticism,1
dream,1
wife,1
account,1
earful,1
less,1
latter,1
press,1
christ,1
call,1
murderer,1
rioter,1
offer,1
select,1
io,1
pleading,1
word,1
symbol,1
make,1
both,1
contemporary,1
limit,1
degeneration,1
reprobation,1
eternal,1
falsehood,1
evidence,1
civil,1
cupidity,1
summit,1
crowning,1
forever,1
fix,1
stand,1
yield,1
their,1
judgment,1
opinion,1
seem,1
seriously,1
regard,1
american,1
english,1
good,1
doubt,1
equity,1
light,1
critic,1
testament,1
hew,1
german,1
well,1
evangelist,1
martyrdom,1
statement,1
x,1
mankind,1
teacher,1
childhood,1
city,1
foundation,1
century,1
eight,1
date,1
tribunal,1
study,1
forget,1
conviction,1
person,1
observe,1
hand,1
weigh,1
civilized,1
imagine,1
result,1
present,1
enforce,1
then,1
procedure,1
cite,1
n,1
justice,1
miscarriage,1
monstrous,1
order,1
ritual,1
grotesque,1
nice,1
slight,1
throne,1
primitive,1
reverent,1
skill,1
case,1
guilt,1
independent,1
never,1
could,1
use,1
entry,1
although,1
into,1
emphasize,1
proper,1
point,1
la,1
accuse,1
precede,1
second,1
sunday,1
exclusive,1
triumphant,1
ascribe,1
resolution,1
hearken,1
man,1
whom,1
apostle,1
execution,1
acquit,1
fanatic,1
either,1
illegal,1
namely,1
factious,1
confront,1
dilemma,1
nature,1
explain,1
default,1
priest,1
abandon,1
elimination,1
h,1
t,1
des,1
put,1
illegally,1
though,1
whose,1
decide,1
finally,1
favor,1
get,1
mean,1
discuss,1
enjoy,1
oil,1
fear,1
seize,1
age,1
violation,1
elder,1
proceed,1
convict,1
flagrant,1
bring,1
argue,1
two,1
deduct,1
illuminate,1
endeavor,1
these,1
succeed,1
biblical,1
rather,1
calendar,1
judicial,1
responsibility,1
say,1
warrant,1
know,1
you,1
carry,1
hath,1
evil,1
again,1
righteous,1
cell,1
innocence,1
convince,1
cowardly,1
ah,1
innocent,1
authority,1
think,1
find,1
review,1
o,1
spirit,1
much,1
how,1
wednesday,1
cunning,1
inspiration,1
serve,1
galilee,1
preach,1
begin,1
cross,1
send,1
yet,1
feel,1
fault,1
cost,1
fount,1
duty,1
absolute,1
those,1
among,1
undergo,1
later,1
inflict,1
stone,1
would,1
condemn,1
judicially,1
conclude,1
slither,1
crime,1
bear,1
v,1
scriptural,1
able,1
apply,1
author,1
only,1
rest,1
effect,1
ease,1
night,1
gift,1
between,1
thursday,1
give,1
follow,1
up,1
sum,1
friday,1
sketch,1
biographical,1
purpose,1
