lemma,count
the,30
be,20
of,19
to,15
have,12
lawson,11
that,10
his,9
a,9
not,8
and,8
in,8
as,6
it,5
louis,5
s,4
he,4
do,4
mr,3
say,3
france,3
book,3
or,3
declare,3
rev,3
xvii,3
hanson,3
treat,3
i,3
for,3
by,3
v,3
william,3
who,2
prison,2
real,2
so,2
however,2
intend,2
fact,2
attempt,2
what,2
evidence,2
quite,2
make,2
with,2
much,2
death,2
d,2
but,2
prince,2
publish,2
merely,2
brave,2
dauphin,2
mystery,2
creole,2
write,2
one,2
starve,2
history,2
will,1
argument,1
interesting,1
mrs,1
remember,1
carroll,1
novel,1
grace,1
bellman,1
suggest,1
hunting,1
insist,1
worthy,1
can,1
on,1
subject,1
earlier,1
too,1
carelessly,1
print,1
good,1
character,1
certain,1
vastly,1
actually,1
acceptance,1
you,1
general,1
tell,1
solve,1
three,1
historian,1
source,1
tile,1
man,1
iron,1
until,1
average,1
contrary,1
fa,1
notwithstanding,1
still,1
an,1
go,1
pen,1
question,1
work,1
yet,1
time,1
air,1
true,1
century,1
even,1
prejudice,1
us,1
against,1
identify,1
at,1
repetition,1
hand,1
third,1
second,1
him,1
matter,1
student,1
prepare,1
person,1
old,1
ill,1
temple,1
paris,1
first,1
espouse,1
because,1
missionary,1
really,1
indians,1
john,1
l,1
generally,1
call,1
undertake,1
whom,1
eleazar,1
well,1
illustration,1
author,1
capt,1
de,1
family,1
genealogy,1
portrait,1
volume,1
late,1
pp,1
cloth,1
george,1
company,1
lawyer,1
prove,1
other,1
try,1
authority,1
brief,1
article,1
nit,1
fall,1
enthusiastic,1
has,1
marshal,1
hedge,1
read,1
podge,1
statement,1
unsubstantiated,1
reference,1
way,1
refer,1
hundred,1
case,1
verified,1
story,1
complete,1
biography,1
lost,1
little,1
uncrowned,1
thrilling,1
seem,1
continent,1
almost,1
unreal,1
enough,1
romance,1
sad,1
two,1
reading,1
