lemma,count
of,27
t,23
i,21
and,19
the,17
a,16
s,15
it,13
to,13
h,12
l,10
in,9
be,8
ill,8
not,7
all,7
will,6
as,6
d,6
n,6
she,5
r,5
y,5
girl,4
tile,4
old,4
m,4
her,4
have,4
lind,3
on,3
e,3
x,3
red,3
at,3
f,3
look,3
heir,3
like,3
book,3
anti,3
for,3
ii,3
o,3
tilt,3
do,3
mrs,3
b,2
ire,2
silo,2
or,2
marry,2
hr,2
that,2
his,2
with,2
th,2
well,2
lilt,2
q,2
tl,2
only,2
but,2
hilt,2
you,2
evangeline,2
lo,2
if,2
they,2
up,2
its,2
al,2
hi,2
brother,2
down,2
no,2
ll,2
say,2
oil,2
this,2
last,2
g,2
glyn,2
he,2
very,2
lad,1
ambassador,1
gm,1
bl,1
play,1
hod,1
mostly,1
k,1
j,1
use,1
mad,1
sh,1
so,1
four,1
is,1
what,1
jot,1
pl,1
tightest,1
ct,1
year,1
pi,1
hell,1
id,1
ad,1
irony,1
little,1
cry,1
ridiculous,1
ar,1
love,1
midst,1
io,1
fill,1
ed,1
make,1
ir,1
ila,1
jed,1
ltd,1
share,1
sir,1
jew,1
mn,1
full,1
rest,1
toni,1
manner,1
gas,1
ira,1
dov,1
light,1
lit,1
land,1
begin,1
respectful,1
less,1
ft,1
exit,1
god,1
thing,1
may,1
them,1
whose,1
boon,1
doll,1
pt,1
drill,1
prop,1
frown,1
tie,1
ivy,1
our,1
ti,1
jilt,1
who,1
w,1
egotism,1
boil,1
get,1
doubt,1
one,1
autobiographic,1
heroine,1
though,1
without,1
serene,1
lively,1
young,1
youth,1
mighty,1
good,1
company,1
hair,1
whole,1
appearance,1
suggest,1
gentleman,1
woman,1
date,1
till,1
mo,1
haired,1
vicissitude,1
novel,1
by,1
elinor,1
author,1
visit,1
elizabeth,1
reflection,1
pp,1
feminine,1
new,1
york,1
harper,1
pretty,1
audacity,1
dozen,1
clever,1
beautiful,1
distractingly,1
vast,1
experience,1
ditto,1
lawful,1
forget,1
bring,1
bx,1
ind,1
we,1
st,1
design,1
gil,1
about,1
lt,1
lady,1
ante,1
li,1
la,1
tn,1
tm,1
liv,1
pb,1
tithe,1
demise,1
ts,1
whelm,1
rea,1
family,1
exciting,1
unconventional,1
possibility,1
vhf,1
cripple,1
v,1
general,1
joel,1
devil,1
man,1
aversion,1
distrust,1
tell,1
many,1
air,1
mother,1
vs,1
p,1
lon,1
end,1
