lemma,count
the,26
and,19
be,17
of,17
a,15
to,10
in,7
lady,6
as,5
it,4
that,4
comedy,4
there,4
have,4
but,4
with,3
his,3
amusing,3
s,3
her,3
delightful,3
at,3
play,3
two,2
on,2
michael,2
do,2
each,2
love,2
begin,2
she,2
than,2
bill,2
we,2
not,2
would,2
together,2
clare,2
young,2
much,2
subtle,2
wholly,2
cream,2
rudolph,2
puff,2
act,2
trifle,2
patricia,2
fine,1
stage,1
affair,1
languish,1
pair,1
poseur,1
crudely,1
somewhat,1
their,1
flung,1
ordinary,1
successful,1
refuse,1
lose,1
poise,1
little,1
conclusion,1
read,1
intent,1
him,1
passionate,1
undying,1
ardor,1
slight,1
hint,1
infidelity,1
l,1
part,1
kill,1
bet,1
same,1
attitude,1
toward,1
finally,1
arrive,1
natural,1
under,1
rise,1
great,1
work,1
more,1
sensibly,1
respond,1
reading,1
i,1
good,1
see,1
else,1
keenly,1
character,1
very,1
draw,1
display,1
quality,1
clearness,1
all,1
r,1
so,1
which,1
convince,1
perhaps,1
window,1
h,1
too,1
south,1
transept,1
our,1
pew,1
now,1
many,1
tun,1
purple,1
amber,1
novel,1
light,1
shaft,1
shall,1
sit,1
couple,1
for,1
no,1
humor,1
husband,1
pose,1
ideal,1
wedded,1
lover,1
unfortunately,1
affection,1
ph,1
imago,1
nice,1
clean,1
lad,1
whose,1
taste,1
normally,1
run,1
sense,1
consequently,1
cricket,1
line,1
drama,1
modern,1
life,1
three,1
by,1
co,1
charming,1
bit,1
airy,1
about,1
consequential,1
particularly,1
delicious,1
must,1
add,1
burne,1
jone,1
polo,1
rather,1
heart,1
devotion,1
complication,1
action,1
first,1
take,1
place,1
n,1
platform,1
summer,1
an,1
oak,1
tree,1
endeavor,1
wife,1
from,1
other,1
philandering,1
yearn,1
old,1
express,1
gently,1
poetically,1
decadent,1
immaculate,1
feel,1
he,1
meet,1
destiny,1
person,1
lesley,1
breezy,1
normal,1
girl,1
opening,1
find,1
already,1
youngster,1
tire,1
intense,1
joy,1
