lemma,count
of,109
the,108
and,73
be,71
a,52
in,48
to,43
he,35
his,35
which,24
that,22
s,18
with,18
it,18
by,17
him,16
as,15
at,15
have,14
poet,13
for,13
verlaine,12
an,11
i,11
who,10
friend,10
tile,10
this,10
one,9
m,8
there,8
first,7
not,7
life,7
but,7
they,6
upon,6
on,6
when,6
e,6
from,6
or,6
these,6
than,6
more,6
new,6
himself,6
become,5
l,5
know,5
literary,5
my,5
take,5
old,4
her,4
those,4
all,4
n,4
make,4
may,4
me,4
rather,4
such,4
no,4
young,4
will,4
them,4
t,4
day,4
seem,4
write,4
any,4
some,4
d,3
accept,3
prison,3
wholly,3
o,3
because,3
de,3
legend,3
r,3
x,3
aspect,3
out,3
ill,3
us,3
last,3
attempt,3
poetry,3
like,3
own,3
before,3
hold,3
les,3
work,3
play,3
here,3
what,3
lose,3
give,3
into,3
expression,3
edmond,3
their,3
too,3
she,3
brilliant,3
seek,2
occur,2
b,2
margaret,2
letter,2
themselves,2
man,2
pass,2
cowper,2
show,2
under,2
its,2
re,2
part,2
certain,2
appear,2
suggest,2
cold,2
collection,2
partly,2
period,2
story,2
feel,2
do,2
introduce,2
only,2
through,2
hope,2
position,2
while,2
whose,2
long,2
world,2
family,2
perversity,2
scene,2
serious,2
otherwise,2
then,2
retire,2
er,2
much,2
seclusion,2
contribute,2
just,2
deep,2
sometimes,2
eye,2
admiration,2
side,2
villon,2
point,2
imagination,2
col,2
find,2
lack,2
throw,2
indeed,2
hospital,2
personality,2
come,2
most,2
utter,2
perhaps,2
spite,2
ad,2
author,2
our,2
two,2
over,2
able,2
genius,2
we,2
french,2
render,2
france,2
imply,2
year,2
task,2
evil,2
mother,2
rimbaud,2
great,2
latin,2
defend,2
both,2
p,2
reputation,2
once,2
contrary,2
even,2
anatole,2
where,2
so,2
influence,2
pariah,2
paul,2
verse,2
leave,2
attract,2
now,2
vein,1
cell,1
age,1
tn,1
whence,1
soul,1
monk,1
especially,1
why,1
order,1
street,1
middle,1
nearly,1
war,1
ere,1
would,1
several,1
hallucination,1
lo,1
false,1
aversion,1
emerge,1
never,1
confine,1
freedom,1
home,1
sentiment,1
real,1
claim,1
excitement,1
love,1
pavement,1
very,1
j,1
mean,1
since,1
futile,1
agricultural,1
fop,1
unfitted,1
experiment,1
paris,1
sigh,1
return,1
lure,1
result,1
separate,1
assault,1
experience,1
back,1
sp,1
transform,1
acquisition,1
superficial,1
merely,1
poison,1
regain,1
physically,1
almost,1
assume,1
increase,1
frequency,1
soon,1
titan,1
clear,1
hay,1
extraordinary,1
rely,1
precipitate,1
final,1
vicious,1
silo,1
sickly,1
companion,1
memory,1
wife,1
resemble,1
reality,1
v,1
longer,1
fix,1
income,1
enable,1
independent,1
enforce,1
shelter,1
idleness,1
foster,1
h,1
bit,1
dissipation,1
force,1
london,1
land,1
length,1
convert,1
release,1
without,1
verla,1
ne,1
serve,1
sentence,1
body,1
belgian,1
mentally,1
hi,1
rebellion,1
complaint,1
serum,1
conscious,1
ob,1
ewer,1
fa,1
against,1
wind,1
suspect,1
conclusively,1
prove,1
ever,1
document,1
after,1
detail,1
clearly,1
let,1
tell,1
episode,1
termination,1
degradation,1
search,1
saul,1
repel,1
whitewash,1
pleasant,1
note,1
purity,1
mind,1
instinctively,1
gross,1
health,1
impurity,1
other,1
brush,1
aside,1
various,1
easily,1
deliberately,1
moral,1
cynicism,1
possible,1
dread,1
die,1
bed,1
acceptable,1
whole,1
view,1
sole,1
bill,1
basis,1
human,1
poetic,1
many,1
respect,1
clean,1
dude,1
yet,1
mon,1
hotel,1
chester,1
awakening,1
dramatization,1
savoy,1
read,1
core,1
dee,1
reading,1
housekeeping,1
hill,1
ben,1
watt,1
ht,1
damage,1
poland,1
lory,1
disconcert,1
faun,1
weight,1
evidence,1
conclusive,1
reader,1
strain,1
divine,1
failure,1
involve,1
fully,1
perceive,1
constitute,1
defect,1
admirable,1
g,1
charity,1
public,1
past,1
proclivity,1
sinner,1
outcast,1
weakness,1
discouragement,1
positive,1
antisocial,1
social,1
attack,1
instinct,1
strong,1
until,1
frustrate,1
reinstate,1
official,1
destroy,1
live,1
pauper,1
crisis,1
well,1
need,1
lightly,1
latter,1
bradley,1
sojourn,1
squalor,1
report,1
william,1
relief,1
color,1
popular,1
conception,1
create,1
assert,1
relaxed,1
schoolfellow,1
pierrot,1
value,1
thing,1
nothing,1
profoundly,1
tragic,1
way,1
cling,1
sinister,1
remnant,1
forfeit,1
respectability,1
fierceness,1
pride,1
refuse,1
bourgeois,1
bottom,1
pose,1
travesty,1
distinction,1
diabolic,1
craving,1
case,1
abasement,1
remorseful,1
fern,1
mystic,1
inspire,1
whether,1
indulge,1
company,1
self,1
ho,1
mathilde,1
capital,1
ignorant,1
sparkle,1
refinement,1
ringlet,1
credit,1
despite,1
vice,1
talent,1
effect,1
already,1
insist,1
sign,1
properly,1
appreciate,1
turn,1
dawn,1
c,1
dale,1
mme,1
semi,1
least,1
background,1
distinguished,1
association,1
salon,1
student,1
statement,1
assiduous,1
introduction,1
rough,1
head,1
whoso,1
appearance,1
evening,1
thin,1
place,1
sententious,1
serene,1
poem,1
tranquil,1
small,1
nose,1
somewhat,1
speech,1
youth,1
regard,1
prudent,1
handshake,1
deliver,1
sonnet,1
something,1
class,1
sen,1
blow,1
var,1
seat,1
freshly,1
inscrutable,1
whom,1
present,1
clerk,1
office,1
congratulate,1
recite,1
newcomer,1
rapidly,1
yon,1
change,1
friendship,1
picturesque,1
subject,1
include,1
temperamental,1
classical,1
together,1
ally,1
group,1
exhibit,1
exotic,1
collectively,1
lind,1
history,1
literature,1
tradition,1
title,1
rooted,1
important,1
politician,1
journalist,1
entertaining,1
precision,1
sensuous,1
perception,1
sooner,1
graduate,1
poignant,1
degree,1
clarity,1
better,1
quality,1
embark,1
sea,1
parisian,1
culture,1
although,1
deeply,1
movement,1
contention,1
sense,1
afford,1
epithet,1
originally,1
apply,1
thus,1
derisory,1
hostile,1
impetus,1
critic,1
defiantly,1
k,1
account,1
rhetoric,1
highly,1
proof,1
