lemma,count
the,28
and,18
of,17
be,14
in,14
a,13
to,12
one,9
i,7
s,7
her,6
or,6
an,5
from,5
at,4
for,4
he,3
can,3
with,3
j,3
art,3
princess,3
it,3
remarkable,3
by,3
color,3
not,3
young,3
intrigue,2
which,2
count,2
enough,2
place,2
snow,2
serge,2
grand,2
his,2
fire,2
so,2
on,2
mission,2
marriage,2
then,2
hold,2
l,2
e,2
every,2
f,2
aunt,2
czar,2
woman,2
new,2
u,2
petersburg,2
court,2
st,2
secret,2
equally,2
this,2
author,2
book,2
de,1
empress,1
podge,1
sentimentality,1
description,1
that,1
caucasus,1
work,1
doc,1
martyrdom,1
stage,1
reader,1
interest,1
absurd,1
many,1
other,1
viola,1
lead,1
while,1
manage,1
soldier,1
about,1
fortune,1
forget,1
hear,1
dire,1
news,1
flee,1
marquis,1
between,1
versatile,1
come,1
interrupted,1
ho,1
duel,1
writer,1
quick,1
curtain,1
thing,1
reformation,1
fact,1
rut,1
crude,1
novel,1
picture,1
festivity,1
two,1
intimate,1
czarina,1
whole,1
affair,1
like,1
crest,1
appear,1
very,1
water,1
drawing,1
less,1
suffer,1
same,1
defect,1
w,1
own,1
highly,1
treat,1
we,1
another,1
sheer,1
force,1
us,1
audacity,1
absorb,1
end,1
want,1
know,1
what,1
happen,1
full,1
title,1
person,1
save,1
faithful,1
servitor,1
bear,1
o,1
sort,1
y,1
muscovite,1
off,1
russia,1
net,1
tate,1
verses,1
melodrama,1
surprisingly,1
subtle,1
humor,1
scene,1
lay,1
expose,1
send,1
most,1
part,1
character,1
russian,1
penning,1
whether,1
herself,1
officer,1
chevalier,1
brother,1
harper,1
daring,1
insouciant,1
unknown,1
illustrate,1
greenland,1
paint,1
icy,1
mountain,1
india,1
coral,1
strand,1
chapter,1
heading,1
she,1
will,1
dare,1
essay,1
only,1
stand,1
awe,1
admiration,1
regiment,1
have,1
quote,1
as,1
love,1
beautiful,1
widow,1
course,1
possess,1
untold,1
gold,1
royal,1
r,1
no,1
mood,1
lose,1
favorite,1
who,1
repute,1
handsome,1
man,1
imagine,1
army,1
fall,1
foolish,1
paper,1
home,1
cover,1
some,1
confident,1
time,1
engage,1
ease,1
york,1
duchess,1
daria,1
great,1
beauty,1
though,1
old,1
mother,1
poor,1
entangle,1
thus,1
paris,1
la,1
way,1
