lemma,count
the,119
of,83
and,53
in,33
a,31
be,25
to,17
for,11
his,11
have,10
s,9
with,9
as,9
their,8
more,8
that,7
or,7
than,6
not,6
he,6
an,6
at,5
court,5
errant,5
these,5
history,5
e,5
d,5
europe,4
so,4
narrative,4
one,4
page,4
life,4
duke,4
i,4
they,4
day,4
chronicle,4
rather,3
modern,3
reader,3
diversion,3
even,3
offer,3
which,3
merely,3
familiar,3
r,3
renaissance,3
palatine,3
it,3
some,3
low,3
tale,3
england,3
fact,3
war,3
become,3
t,3
historian,3
knight,3
henry,3
story,3
by,3
too,3
would,3
century,3
what,3
fifteenth,3
such,3
this,3
age,3
after,3
year,3
do,3
gentleman,3
mention,2
upon,2
high,2
blood,2
on,2
she,2
princely,2
spain,2
through,2
again,2
event,2
ii,2
country,2
another,2
princess,2
may,2
like,2
france,2
think,2
terror,2
because,2
exploit,2
bankruptcy,2
map,2
note,2
rule,2
between,2
character,2
divert,2
commonplace,2
ludicrous,2
rebellion,2
nd,2
interest,2
but,2
wander,2
love,2
example,2
religious,2
worship,2
chivalry,2
beggar,2
intrigue,2
most,2
good,2
those,2
denmark,2
each,2
english,2
all,2
o,2
man,2
l,2
baron,2
fail,2
ana,2
thee,2
great,2
boswell,2
two,2
light,2
end,2
n,2
frederick,2
nor,2
call,2
when,2
who,2
spirit,2
fill,2
mrs,2
chronicler,2
sixteenth,2
head,2
four,2
tl,2
silesia,2
adventure,2
best,1
government,1
sea,1
six,1
elector,1
defer,1
mer,1
know,1
crick,1
dog,1
pursue,1
house,1
ike,1
bat,1
wherewith,1
courtship,1
star,1
ill,1
could,1
persistent,1
size,1
comedy,1
significance,1
men,1
renew,1
fr,1
space,1
impression,1
ox,1
drama,1
lr,1
popular,1
beginning,1
cl,1
monster,1
aside,1
yet,1
mold,1
maximilian,1
no,1
under,1
soldier,1
dot,1
shore,1
corn,1
phantom,1
pa,1
du,1
j,1
hungary,1
burg,1
master,1
starred,1
rd,1
significant,1
peace,1
th,1
first,1
voyage,1
columbus,1
fred,1
lander,1
accompaniment,1
finis,1
pageantry,1
te,1
fa,1
rm,1
sweat,1
cramp,1
obligate,1
atlantic,1
rack,1
gall,1
cod,1
tour,1
come,1
han,1
truly,1
renegade,1
figure,1
central,1
its,1
debt,1
epic,1
aptly,1
mater,1
troubled,1
yon,1
candor,1
rank,1
delightful,1
show,1
mean,1
finally,1
condition,1
y,1
reality,1
feat,1
heroic,1
thar,1
wife,1
birthright,1
license,1
smile,1
delay,1
prague,1
ca,1
room,1
upper,1
condemn,1
feudalism,1
chapter,1
final,1
prophetic,1
almost,1
indeed,1
orig,1
plunder,1
heinrich,1
crime,1
calendar,1
word,1
ugly,1
short,1
there,1
mendicant,1
creditor,1
de,1
none,1
rich,1
mouth,1
hungry,1
feel,1
prevarication,1
chivalrous,1
seem,1
admirable,1
institution,1
ceremony,1
holiday,1
tradition,1
how,1
reformation,1
thrill,1
turn,1
force,1
german,1
mary,1
make,1
effort,1
majesty,1
give,1
happily,1
if,1
from,1
marriage,1
reply,1
treachery,1
pervade,1
civic,1
heart,1
empty,1
often,1
larder,1
castle,1
purse,1
go,1
occupation,1
mercenary,1
fall,1
decay,1
reason,1
run,1
them,1
barrier,1
lance,1
deal,1
death,1
reed,1
fragile,1
warrior,1
list,1
while,1
people,1
wing,1
early,1
tong,1
sinew,1
piety,1
pomp,1
pride,1
kingly,1
pageant,1
animate,1
across,1
move,1
until,1
red,1
flesh,1
sb,1
add,1
past,1
skeleton,1
recognize,1
due,1
credit,1
writer,1
measure,1
lack,1
es,1
ambassador,1
wonder,1
dancing,1
fighting,1
painful,1
average,1
teach,1
school,1
much,1
lie,1
table,1
chronological,1
descriptive,1
nearly,1
cover,1
find,1
comparison,1
suggest,1
curious,1
read,1
tm,1
amusement,1
abundance,1
tho,1
ever,1
halt,1
machiavelli,1
mysterious,1
captain,1
rn,1
id,1
volume,1
present,1
odyssey,1
true,1
especially,1
fortunate,1
must,1
industry,1
whether,1
cellini,1
limitation,1
book,1
least,1
material,1
contain,1
every,1
remark,1
entertainingly,1
write,1
ancient,1
dist,1
neither,1
us,1
importance,1
abandon,1
possess,1
few,1
plod,1
arm,1
companion,1
train,1
carry,1
drake,1
ejector,1
iv,1
buccaneer,1
hakluyt,1
voyager,1
m,1
swell,1
pr,1
cat,1
doe,1
value,1
grant,1
gap,1
lapse,1
fork,1
aston,1
bath,1
formal,1
both,1
co,1
f,1
work,1
pp,1
during,1
tn,1
journey,1
legend,1
ride,1
fantastical,1
strange,1
marvelous,1
untiring,1
conquest,1
prayer,1
shrine,1
pilgrimage,1
suite,1
bohemia,1
wit,1
bather,1
hag,1
hey,1
er,1
beyond,1
don,1
addle,1
dragon,1
saw,1
stir,1
cleft,1
whereby,1
gull,1
rain,1
saintly,1
martyr,1
relic,1
looked,1
canterbury,1
thoma,1
st,1
laden,1
jewel,1
pray,1
lev,1
superstition,1
render,1
naturalist,1
praise,1
regard,1
should,1
well,1
itself,1
chasm,1
bridge,1
microscope,1
impale,1
beetle,1
memory,1
credulity,1
isolate,1
linger,1
outline,1
magnify,1
novelist,1
imagination,1
biased,1
fancy,1
mingle,1
confusing,1
element,1
less,1
dependent,1
other,1
childlike,1
builder,1
cathedral,1
fervor,1
appreciation,1
keener,1
ono,1
build,1
society,1
decadence,1
illuminate,1
quaint,1
flash,1
el,1
ruin,1
seek,1
fourth,1
imperial,1
third,1
fight,1
wanderer,1
prisoner,1
