lemma,count
the,98
of,32
in,29
be,28
and,22
a,19
star,17
to,16
have,11
as,11
bear,11
by,11
this,10
with,9
an,9
it,9
which,9
his,8
he,7
s,7
seven,6
legend,6
constellation,6
for,6
know,5
three,5
hunter,5
wagon,5
but,5
on,4
concern,4
take,4
all,4
they,4
that,4
lore,4
name,3
not,3
dipper,3
him,3
pursue,3
who,3
label,3
tail,3
from,3
around,3
account,3
group,3
or,3
sky,3
famous,3
year,3
will,3
make,2
prof,2
may,2
autumn,2
one,2
long,2
regard,2
second,2
bow,2
indian,2
these,2
call,2
north,2
represent,2
first,2
hear,2
only,2
folk,2
do,2
direction,2
now,2
l,2
great,2
hi,2
so,2
story,2
photograph,2
show,2
meaning,2
book,2
author,2
peasant,2
also,2
valuable,2
material,2
instance,2
william,2
say,2
age,2
reference,2
contain,2
i,2
their,2
major,2
ursa,2
weave,2
stellar,2
twenty,2
give,2
chariot,2
peter,1
archangel,1
symbolical,1
figure,1
four,1
return,1
out,1
germany,1
heavenly,1
midnight,1
before,1
schiller,1
sheepfold,1
journey,1
skiff,1
believe,1
start,1
stand,1
home,1
there,1
another,1
ask,1
if,1
offer,1
kindness,1
reward,1
ride,1
permit,1
galilee,1
shore,1
request,1
grant,1
drive,1
near,1
saviour,1
our,1
meet,1
east,1
west,1
heaven,1
continue,1
relate,1
hour,1
sphere,1
later,1
turn,1
dance,1
lens,1
photographic,1
small,1
bailey,1
b,1
way,1
milky,1
observatory,1
telescope,1
bruce,1
inch,1
attention,1
hook,1
adorn,1
elihu,1
redder,1
serve,1
lover,1
its,1
within,1
new,1
eek,1
poet,1
artist,1
attractive,1
illustration,1
at,1
aim,1
standard,1
high,1
idea,1
legendary,1
e,1
tl,1
de,1
feb,1
hog,1
urea,1
runaway,1
te,1
interweave,1
facts,1
mortal,1
mile,1
lucky,1
bo,1
cud,1
urge,1
noise,1
round,1
estimate,1
pace,1
present,1
across,1
longer,1
no,1
hence,1
almost,1
two,1
five,1
move,1
cry,1
proctor,1
motion,1
flight,1
connection,1
dr,1
entire,1
consider,1
when,1
elia,1
them,1
treasure,1
trove,1
like,1
museum,1
carefully,1
specimen,1
valueless,1
save,1
each,1
explain,1
tell,1
entertaining,1
manner,1
about,1
ear,1
some,1
diagram,1
lead,1
outline,1
picture,1
el,1
phenomenally,1
most,1
easily,1
recognize,1
widely,1
ancient,1
universally,1
bank,1
ago,1
mine,1
veritable,1
reality,1
although,1
interesting,1
various,1
myth,1
imaginative,1
people,1
tyler,1
putnam,1
son,1
glance,1
over,1
list,1
cull,1
choice,1
selection,1
skill,1
use,1
allen,1
well,1
volume,1
subject,1
entitle,1
exhaustive,1
work,1
though,1
value,1
scholar,1
appeal,1
popular,1
taste,1
indians,1
america,1
algonquin,1
hit,1
wound,1
ting,1
foliage,1
receive,1
individual,1
variously,1
wain,1
england,1
ladle,1
china,1
car,1
boote,1
italy,1
saucepan,1
france,1
reindeer,1
lapland,1
wise,1
man,1
greece,1
sleeper,1
ephesus,1
champion,1
butcher,1
cleaver,1
big,1
brood,1
screw,1
middle,1
bloodstain,1
slay,1
evidently,1
fire,1
sensible,1
incongruity,1
attribute,1
conspicuously,1
animal,1
none,1
consequently,1
ms,1
beast,1
iroquois,1
following,1
party,1
attack,1
monster,1
stone,1
giant,1
destroy,1
together,1
carry,1
up,1
invisible,1
hand,1
still,1
cal,1
kettle,1
cook,1
aloof,1
third,1
light,1
page,1
