lemma,count
and,18
the,15
of,15
be,13
to,12
in,10
a,9
have,9
their,7
it,6
with,5
home,5
book,5
furnishing,5
great,4
which,4
than,4
salem,4
or,3
this,3
will,3
give,3
its,3
picture,3
thing,3
these,3
colonial,3
her,3
by,3
new,3
h,2
person,2
rule,2
house,2
would,2
for,2
charming,2
mary,2
more,2
many,2
them,2
pewter,2
silverware,2
author,2
china,2
beautiful,2
room,2
old,2
whose,2
other,2
under,2
there,2
no,2
england,2
set,2
extraordinary,1
contain,1
view,1
can,1
mansion,1
garden,1
exterior,1
opportunity,1
afford,1
duplicate,1
not,1
family,1
say,1
most,1
some,1
she,1
choice,1
interior,1
treasure,1
doorway,1
i,1
make,1
strong,1
appeal,1
examine,1
unique,1
pick,1
piece,1
sideboard,1
an,1
assortment,1
decanter,1
glass,1
along,1
shelf,1
weight,1
down,1
beauty,1
joy,1
like,1
dream,1
think,1
completely,1
furnished,1
equip,1
table,1
furniture,1
tea,1
glassware,1
cloak,1
doubtless,1
enter,1
th,1
mind,1
that,1
delight,1
full,1
from,1
cherish,1
drawing,1
bedroom,1
dining,1
even,1
satisfactory,1
descriptive,1
unusually,1
illustrated,1
pass,1
country,1
artistic,1
refined,1
englander,1
live,1
we,1
day,1
quite,1
content,1
imitate,1
pay,1
big,1
price,1
household,1
unable,1
american,1
generation,1
portsmouth,1
numerous,1
illustration,1
little,1
brown,1
co,1
newburyport,1
folk,1
later,1
dwelling,1
deal,1
entitle,1
seem,1
mark,1
beyond,1
belonging,1
hook,1
department,1
publish,1
come,1
although,1
merit,1
description,1
ca,1
l,1
well,1
judge,1
lt,1
result,1
remarkably,1
intelligent,1
comprehensive,1
photographic,1
pictorial,1
notice,1
doubt,1
text,1
every,1
last,1
few,1
ear,1
attempt,1
exhibit,1
charm,1
one,1
rather,1
pleasure,1
those,1
into,1
hand,1
as,1
interest,1
such,1
