lemma,count
the,53
be,35
and,33
of,32
to,19
in,19
a,16
it,16
as,15
he,15
that,15
his,13
not,13
with,12
we,8
webster,8
do,7
s,6
all,6
which,6
for,5
can,5
by,5
see,5
an,4
true,4
this,4
one,4
so,4
have,4
our,4
fisher,4
impression,3
but,3
if,3
lie,3
any,3
support,3
seem,3
form,3
life,3
slavery,3
some,3
more,3
moral,3
or,3
feel,3
make,3
truth,2
its,2
shock,2
after,2
follow,2
most,2
who,2
slave,2
us,2
country,2
because,2
union,2
very,2
way,2
injustice,2
there,2
compromise,2
answer,2
hardly,2
author,2
picture,2
present,2
production,2
purpose,2
generation,2
character,2
chief,2
here,2
figure,2
service,2
say,2
daniel,2
no,2
side,2
could,2
express,2
orator,2
pass,2
clear,2
paint,2
trace,1
reality,1
keenly,1
hideous,1
demoralizing,1
thing,1
biographer,1
imperfect,1
attractive,1
sadly,1
less,1
instance,1
lincoln,1
interesting,1
defective,1
temperance,1
practical,1
wisdom,1
especially,1
readiness,1
buy,1
honorable,1
essentially,1
economic,1
delicate,1
understanding,1
wholly,1
sound,1
emotional,1
severe,1
close,1
sense,1
try,1
through,1
civil,1
war,1
decade,1
cloud,1
tremendous,1
struggle,1
run,1
attractiveness,1
tel,1
really,1
secret,1
splendid,1
n,1
obscure,1
extent,1
tot,1
nature,1
tragic,1
poetic,1
ital,1
well,1
significance,1
lowell,1
leave,1
certainly,1
helpless,1
child,1
play,1
intemperance,1
legend,1
think,1
personality,1
require,1
star,1
rightly,1
pal,1
complex,1
much,1
somewhat,1
lawyer,1
diplomatist,1
statesman,1
former,1
out,1
excellent,1
good,1
case,1
give,1
jr,1
finger,1
without,1
de,1
gory,1
latter,1
sensitively,1
famish,1
self,1
many,1
leader,1
desert,1
blind,1
bright,1
day,1
great,1
private,1
grope,1
tim,1
consider,1
yet,1
region,1
miserable,1
prey,1
pause,1
question,1
ne,1
shall,1
guide,1
her,1
monster,1
least,1
disunion,1
sitter,1
possibly,1
find,1
hope,1
approximately,1
fairly,1
diligently,1
near,1
enough,1
right,1
honestly,1
decency,1
into,1
gallery,1
history,1
entirely,1
comply,1
requirement,1
modest,1
may,1
labor,1
carefully,1
r,1
small,1
skill,1
feature,1
book,1
valuable,1
reader,1
creditable,1
himself,1
include,1
political,1
between,1
sydney,1
george,1
handicapped,1
like,1
series,1
late,1
slightly,1
absurd,1
title,1
draw,1
absolutely,1
portrait,1
far,1
beyond,1
reach,1
writer,1
painter,1
artist,1
defectively,1
faultily,1
what,1
tie,1
convey,1
own,1
fully,1
certainty,1
would,1
agree,1
else,1
painstaking,1
social,1
threat,1
spirit,1
them,1
contradict,1
dominant,1
idea,1
time,1
strange,1
whim,1
fate,1
whose,1
professed,1
undoubtedly,1
sincere,1
preservation,1
come,1
look,1
on,1
apologist,1
ally,1
power,1
enemy,1
brilliant,1
eloquent,1
efficient,1
powerful,1
champion,1
indivisible,1
constitution,1
advocate,1
under,1
pursue,1
washington,1
condition,1
aim,1
amid,1
work,1
reputation,1
achieve,1
unconcealed,1
sympathy,1
effect,1
favorable,1
light,1
impressive,1
possible,1
degree,1
probably,1
inconsistent,1
start,1
assumption,1
such,1
feasible,1
free,1
gratitude,1
genuine,1
render,1
direction,1
note,1
almost,1
respect,1
indeed,1
even,1
nothing,1
reasoning,1
