lemma,count
the,44
be,28
of,27
a,25
and,23
to,15
in,10
that,8
not,7
with,7
it,7
s,7
who,6
for,6
but,5
have,5
life,5
only,5
there,5
woman,5
her,5
or,4
his,4
story,4
baby,4
herself,4
do,4
by,4
one,4
at,4
those,3
mother,3
what,3
make,3
more,3
little,3
care,3
human,3
she,3
from,3
this,3
they,3
other,3
cot,2
consider,2
reader,2
keep,2
appeal,2
some,2
father,2
own,2
worth,2
while,2
must,2
too,2
accomplish,2
evolution,2
page,2
miss,2
book,2
part,2
even,2
outlying,2
on,2
martha,2
fine,2
ever,2
now,2
which,2
take,2
o,2
grocer,2
world,2
him,2
look,2
an,2
view,2
as,2
many,2
through,2
author,2
assume,2
call,2
year,2
about,2
labor,1
self,1
term,1
relate,1
artistic,1
undercurrent,1
temperament,1
under,1
triviality,1
mean,1
good,1
serious,1
ordinary,1
bringing,1
special,1
fate,1
choosing,1
how,1
uncomfortable,1
people,1
nature,1
light,1
vein,1
coddle,1
will,1
particularly,1
like,1
thin,1
pain,1
its,1
bat,1
crooked,1
moment,1
clara,1
lady,1
color,1
choice,1
language,1
besides,1
felicitous,1
way,1
hit,1
off,1
character,1
situation,1
chuckle,1
first,1
though,1
generally,1
up,1
high,1
inevitable,1
enhance,1
me,1
rant,1
art,1
ft,1
trouble,1
read,1
any,1
cr,1
probable,1
f,1
certainly,1
pleasure,1
illustration,1
charm,1
win,1
survive,1
p,1
trifle,1
handicap,1
y,1
bo,1
enjoy,1
dodge,1
publishing,1
omit,1
so,1
child,1
hard,1
funny,1
birth,1
understanding,1
touch,1
pathos,1
true,1
development,1
without,1
growth,1
lesson,1
was,1
learn,1
wish,1
i,1
eminently,1
learning,1
ethel,1
leave,1
son,1
go,1
amount,1
something,1
can,1
help,1
third,1
condition,1
very,1
average,1
deep,1
woo,1
when,1
yield,1
all,1
most,1
shocking,1
much,1
talk,1
revelation,1
inability,1
both,1
form,1
understand,1
meddle,1
n,1
affair,1
eye,1
concern,1
back,1
properly,1
himself,1
actually,1
wise,1
fresh,1
still,1
widow,1
recently,1
characterization,1
marriage,1
between,1
cousin,1
convention,1
rich,1
wholesale,1
entertaining,1
furnish,1
material,1
lot,1
fan,1
expense,1
bourgeois,1
excitement,1
disapprobation,1
scandalize,1
aunt,1
pace,1
female,1
relative,1
amusing,1
cleverly,1
providence,1
spite,1
frantic,1
feeling,1
large,1
possibly,1
family,1
may,1
la,1
peripatetic,1
order,1
concession,1
new,1
western,1
town,1
mining,1
camp,1
pursue,1
wisp,1
fortune,1
shadow,1
slight,1
wing,1
struggle,1
assumption,1
caustic,1
servant,1
loom,1
desire,1
age,1
whim,1
persist,1
bend,1
american,1
helpless,1
person,1
their,1
petty,1
talent,1
ambition,1
infinitely,1
value,1
than,1
anything,1
else,1
trig,1
barely,1
indicate,1
point,1
place,1
naturally,1
during,1
early,1
tho,1
co,1
