lemma,count
the,26
of,24
and,20
be,13
in,13
a,11
have,8
to,8
it,8
his,7
tile,6
with,6
s,5
all,5
historical,4
as,4
its,3
event,3
this,3
story,3
love,3
romantic,3
famous,3
author,3
russia,3
by,3
himself,3
him,2
cyrus,2
most,2
nobleman,2
who,2
but,2
novel,2
romance,2
on,2
much,2
brother,2
army,2
officer,2
that,2
handle,2
opportunity,2
many,2
give,2
account,2
r,2
for,2
an,2
after,1
receive,1
fill,1
russian,1
main,1
merely,1
those,1
fortune,1
favorite,1
ill,1
join,1
evolution,1
background,1
day,1
feature,1
book,1
since,1
resident,1
prominently,1
their,1
action,1
french,1
betroth,1
long,1
one,1
polish,1
concern,1
attention,1
general,1
appear,1
napoleon,1
young,1
furnish,1
complicated,1
full,1
exciting,1
adventure,1
tragedy,1
fr,1
brady,1
always,1
skillful,1
tn,1
development,1
plot,1
utilize,1
so,1
well,1
must,1
among,1
ample,1
affection,1
remain,1
family,1
france,1
fall,1
wit,1
t,1
her,1
two,1
oppose,1
each,1
other,1
alexander,1
both,1
war,1
yet,1
bind,1
closely,1
together,1
tie,1
ell,1
behind,1
also,1
very,1
deal,1
axe,1
manner,1
would,1
not,1
likely,1
carry,1
name,1
townsend,1
if,1
otherwise,1
interest,1
set,1
character,1
involve,1
keep,1
air,1
which,1
form,1
course,1
dr,1
d,1
kn,1
illustrate,1
rees,1
york,1
co,1
ev,1
rest,1
great,1
from,1
frequent,1
ad,1
nth,1
power,1
busy,1
tale,1
pen,1
near,1
presentation,1
earth,1
dead,1
there,1
rare,1
eloquent,1
scene,1
make,1
thorough,1
study,1
subject,1
picturesque,1
vivid,1
dramatic,1
incident,1
modern,1
history,1
glowing,1
realistic,1
leave,1
o,1
go,1
start,1
than,1
usual,1
practice,1
open,1
l,1
man,1
emperor,1
june,1
bank,1
upon,1
through,1
march,1
back,1
again,1
bitterness,1
defeat,1
good,1
