lemma,count
the,31
of,25
and,10
in,8
it,6
to,6
s,5
with,5
newspaper,4
have,4
be,4
for,4
a,4
california,3
by,3
history,3
influence,2
story,2
also,2
prominent,2
development,2
this,2
chronicle,2
many,2
activity,2
journalism,2
other,2
write,2
i,2
t,2
young,2
san,2
appear,2
its,2
present,1
view,1
mr,1
method,1
three,1
office,1
change,1
part,1
quarter,1
appearance,1
thread,1
early,1
through,1
keep,1
time,1
first,1
y,1
catie,1
especially,1
their,1
importance,1
man,1
biography,1
page,1
hundred,1
ore,1
include,1
recent,1
connection,1
exposition,1
chapter,1
another,1
add,1
ms,1
account,1
journalistic,1
ha,1
as,1
from,1
region,1
economic,1
social,1
much,1
but,1
point,1
put,1
coast,1
growth,1
people,1
or,1
measure,1
comprehend,1
must,1
ion,1
re,1
extent,1
ad,1
f,1
birth,1
pacific,1
effect,1
title,1
than,1
wide,1
volume,1
comp,1
francisco,1
fully,1
john,1
r,1
lr,1
work,1
which,1
he,1
united,1
make,1
value,1
because,1
nd,1
school,1
head,1
response,1
form,1
book,1
into,1
since,1
de,1
h,1
m,1
paper,1
that,1
foundation,1
fiftieth,1
si,1
editor,1
pa,1
