lemma,count
the,37
of,26
and,22
a,14
to,12
his,12
in,9
be,7
with,6
automobile,6
who,5
he,5
him,5
car,4
build,4
for,4
will,3
factory,3
an,3
it,3
racing,3
big,3
man,3
have,3
speed,3
take,2
american,2
that,2
broad,2
there,2
company,2
engine,2
much,2
which,2
humor,2
young,2
road,2
tale,2
make,2
own,2
win,2
find,2
up,2
get,2
them,1
possession,1
even,1
prove,1
hand,1
determination,1
overcome,1
fright,1
several,1
drawing,1
reprisal,1
girl,1
employer,1
at,1
bet,1
training,1
as,1
ability,1
extended,1
hard,1
tell,1
woman,1
nice,1
regard,1
worthy,1
work,1
himself,1
about,1
climb,1
into,1
slang,1
incident,1
condition,1
motor,1
tactile,1
interior,1
give,1
plenty,1
localized,1
color,1
finally,1
long,1
graphic,1
contest,1
foreign,1
battle,1
hi,1
knowledge,1
against,1
by,1
underhanded,1
sky,1
curl,1
over,1
fall,1
on,1
also,1
tortuous,1
machination,1
winning,1
consent,1
let,1
racine,1
enter,1
cosmopolitan,1
but,1
plan,1
effort,1
quickly,1
through,1
adventure,1
live,1
among,1
idea,1
theory,1
technical,1
college,1
laboratory,1
just,1
out,1
model,1
valveless,1
capable,1
wonderful,1
sure,1
mark,1
inventor,1
concern,1
along,1
building,1
th,1
william,1
winter,1
those,1
enjoy,1
intoxication,1
burn,1
speedy,1
cr,1
story,1
after,1
their,1
heart,1
this,1
world,1
step,1
advance,1
making,1
eager,1
winner,1
t,1
entire,1
establishment,1
because,1
turn,1
white,1
crumple,1
seat,1
when,1
driver,1
spin,1
around,1
track,1
hurry,1
ill,1
nerve,1
instability,1
account,1
manufacturer,1
value,1
invention,1
allow,1
cur,1
contain,1
experience,1
boy,1
contemptuous,1
from,1
president,1
down,1
odd,1
chore,1
prize,1
