lemma,count
the,186
of,94
be,61
to,49
and,47
in,42
a,36
his,26
have,22
it,21
as,20
for,19
s,19
by,18
crown,16
with,16
jewel,15
i,15
that,14
which,13
blood,13
this,12
on,11
he,10
an,9
tower,8
king,8
they,8
at,8
when,8
who,7
one,7
sir,7
from,7
not,6
mr,6
take,6
england,6
their,6
shah,6
into,6
most,6
first,5
keeper,5
f,5
so,5
may,5
find,5
our,5
diamond,5
out,5
present,5
history,5
pass,5
day,5
upon,5
parson,5
l,5
make,5
give,5
old,5
n,4
but,4
honor,4
place,4
her,4
wife,4
set,4
royal,4
prince,4
black,4
nadir,4
until,4
ruby,4
great,4
serve,4
steal,4
gem,4
man,4
later,4
stone,4
some,4
time,4
t,4
then,4
year,4
state,4
them,4
nd,3
reign,3
many,3
edward,3
house,3
wear,3
h,3
chamber,3
ho,3
de,3
queen,3
here,3
bring,3
friendship,3
or,3
attempt,3
soldier,3
m,3
suggest,3
ii,3
spoil,3
there,3
flee,3
its,3
punjab,3
famous,3
lie,3
him,3
go,3
escape,3
c,3
earth,3
orb,2
piece,2
wrap,2
son,2
small,2
if,2
fortune,2
decide,2
thief,2
john,2
tar,2
native,2
get,2
army,2
dead,2
whom,2
become,2
account,2
victoria,2
head,2
all,2
emblem,2
royalty,2
write,2
ring,2
nephew,2
symbol,2
these,2
recover,2
fight,2
gratitude,2
la,2
talbot,2
edwards,2
where,2
two,2
spirit,2
leave,2
colonel,2
three,2
door,2
english,2
open,2
custody,2
knock,2
conspirator,2
pocket,2
without,2
hit,2
do,2
office,2
london,2
fully,2
under,2
treasure,2
tho,2
such,2
companion,2
gen,2
half,2
scene,2
w,2
romance,2
henry,2
another,2
could,2
what,2
order,2
white,2
ago,2
v,2
hat,2
would,2
guest,2
during,2
conceal,2
world,2
late,2
name,2
e,2
discover,2
lay,2
pedro,2
o,2
armed,2
delhi,2
don,2
among,2
priceless,2
bunt,2
murder,2
enemy,2
up,2
sentiment,1
ed,1
arrange,1
match,1
ward,1
clown,1
finally,1
visitor,1
lu,1
between,1
expression,1
thus,1
familiar,1
te,1
sentry,1
entirely,1
strange,1
use,1
himself,1
crowning,1
amid,1
lour,1
appoint,1
fie,1
meeting,1
die,1
choose,1
hour,1
seven,1
tie,1
destruction,1
sale,1
future,1
unknown,1
fictitious,1
person,1
j,1
daughter,1
how,1
again,1
enigma,1
glove,1
oat,1
pair,1
four,1
invalid,1
necessity,1
procure,1
hastily,1
roan,1
distressed,1
call,1
tone,1
martin,1
paint,1
qualm,1
mrs,1
view,1
while,1
public,1
exhibit,1
duke,1
ac,1
woman,1
look,1
respectable,1
accompany,1
wellington,1
dress,1
assist,1
herself,1
able,1
upstairs,1
strike,1
gluon,1
assistance,1
shrine,1
express,1
few,1
underling,1
plate,1
return,1
cement,1
aged,1
gold,1
wish,1
welt,1
wedge,1
salt,1
enter,1
successfully,1
incident,1
bed,1
recuperation,1
down,1
apartment,1
thu,1
commonwealth,1
cordially,1
friend,1
welcome,1
tit,1
home,1
laden,1
stir,1
moment,1
crucial,1
just,1
away,1
wagon,1
dismount,1
accident,1
flatten,1
coincidence,1
wan,1
loot,1
extraordinary,1
except,1
purpose,1
setting,1
file,1
portable,1
raider,1
cut,1
abandon,1
bag,1
appear,1
unexpectedly,1
quick,1
accomplice,1
alarm,1
barrier,1
see,1
try,1
way,1
liberty,1
treason,1
shriek,1
overpower,1
end,1
saw,1
manage,1
horse,1
rush,1
gate,1
floor,1
dreg,1
against,1
haste,1
stick,1
auspicious,1
oft,1
ma,1
whore,1
capture,1
bush,1
unsuspecting,1
monarch,1
exactly,1
richard,1
hunchback,1
unlock,1
defeat,1
hen,1
suggestion,1
consent,1
y,1
readily,1
tudor,1
large,1
fill,1
rub,1
interval,1
before,1
battle,1
panic,1
lady,1
rival,1
await,1
field,1
hide,1
situation,1
tc,1
reappear,1
isolated,1
cram,1
bird,1
egg,1
mallet,1
belong,1
grenada,1
slaughter,1
further,1
waste,1
cold,1
contest,1
unequal,1
carry,1
victor,1
ether,1
nearly,1
off,1
loan,1
unarmed,1
feeble,1
tatter,1
side,1
troop,1
seize,1
europe,1
resourceful,1
sportsman,1
acceptance,1
coarse,1
no,1
compliment,1
consider,1
via,1
potentate,1
offer,1
ungracious,1
luckless,1
exchange,1
should,1
same,1
token,1
sign,1
eternal,1
swear,1
valor,1
extol,1
speech,1
gracious,1
guileful,1
inner,1
course,1
prepare,1
rt,1
appropriate,1
us,1
bodyguard,1
afghan,1
lion,1
import,1
mind,1
matter,1
d,1
disposition,1
care,1
lawrence,1
part,1
power,1
military,1
vaunted,1
dust,1
ne,1
land,1
maharajah,1
hospitality,1
buy,1
lahore,1
cl,1
depose,1
succession,1
right,1
mar,1
third,1
dynasty,1
founder,1
poison,1
much,1
daring,1
too,1
emperor,1
traveler,1
french,1
show,1
european,1
en,1
whose,1
log,1
hand,1
rd,1
formation,1
ton,1
immeasurable,1
pressure,1
heat,1
light,1
mountain,1
east,1
century,1
throughout,1
know,1
come,1
carbon,1
bit,1
mother,1
travail,1
after,1
u,1
own,1
pith,1
bright,1
knowledge,1
turban,1
fold,1
night,1
price,1
keep,1
lord,1
former,1
divulge,1
host,1
conquer,1
knight,1
me,1
remain,1
affection,1
op,1
ex,1
vicar,1
prize,1
p,1
eon,1
van,1
foot,1
iris,1
through,1
persia,1
paper,1
put,1
about,1
six,1
reproduce,1
story,1
romantic,1
souse,1
gilbert,1
dictation,1
manuscript,1
single,1
vivid,1
theft,1
cage,1
ia,1
lose,1
worth,1
mere,1
toe,1
sell,1
corruptly,1
ware,1
commit,1
hundred,1
bury,1
shop,1
broker,1
inglorious,1
historic,1
fiercest,1
ft,1
paraphrase,1
although,1
utter,1
pt,1
cir,1
propitious,1
span,1
allotted,1
past,1
well,1
sole,1
era,1
cromwellian,1
civil,1
horror,1
rejoice,1
gray,1
sovereign,1
beloved,1
dream,1
nobody,1
merry,1
truly,1
country,1
thirty,1
casket,1
casing,1
outer,1
watt,1
midst,1
adorn,1
sword,1
you,1
duly,1
guard,1
special,1
prom,1
travel,1
lax,1
box,1
your,1
top,1
servant,1
answer,1
poor,1
dal,1
brooch,1
glass,1
my,1
week,1
valet,1
gallop,1
was,1
listened,1
fin,1
announce,1
general,1
gov,1
letter,1
long,1
now,1
orbs,1
fascinating,1
around,1
almost,1
monarchy,1
imagination,1
both,1
appeal,1
inanimate,1
begin,1
since,1
ever,1
book,1
reading,1
equally,1
front,1
realm,1
ancient,1
within,1
author,1
picturesque,1
dramatic,1
dozen,1
regalia,1
connect,1
george,1
major,1
relate,1
cutting,1
