lemma,count
and,26
the,23
be,22
of,16
a,10
have,9
horse,8
who,7
race,6
in,6
to,6
s,5
it,5
love,4
but,4
wildfire,4
him,4
for,4
not,4
n,3
even,3
lucy,3
an,3
as,3
she,3
at,3
indeed,3
his,3
sage,3
old,3
only,2
know,2
girl,2
own,2
very,2
ford,2
each,2
though,2
good,2
reader,2
by,2
all,2
once,2
than,2
animal,2
course,2
many,2
them,2
that,2
both,2
rescue,2
lose,2
one,2
early,2
lin,2
first,2
do,2
those,2
stone,2
day,2
brother,1
arc,1
pretty,1
welt,1
wear,1
nick,1
time,1
destruction,1
wicked,1
forest,1
compose,1
seldom,1
interest,1
while,1
average,1
fire,1
wonderful,1
which,1
deeply,1
e,1
new,1
story,1
net,1
zane,1
grey,1
fa,1
slow,1
get,1
start,1
fairly,1
oft,1
moderately,1
swift,1
movement,1
illustrate,1
lessen,1
most,1
then,1
interesting,1
human,1
energetic,1
heroine,1
likable,1
hero,1
l,1
rather,1
however,1
halt,1
enjoy,1
author,1
quite,1
sure,1
moro,1
affection,1
us,1
any,1
see,1
yet,1
h,1
use,1
ute,1
book,1
mean,1
place,1
icing,1
faithful,1
crop,1
its,1
run,1
close,1
th,1
hint,1
easily,1
little,1
bear,1
saddle,1
what,1
he,1
about,1
racer,1
loyal,1
wild,1
tho,1
man,1
break,1
they,1
spirited,1
her,1
prize,1
hunter,1
will,1
tulle,1
this,1
chase,1
life,1
well,1
last,1
snore,1
hundred,1
when,1
five,1
win,1
glad,1
settle,1
abie,1
tame,1
after,1
proud,1
bout,1
lift,1
there,1
accident,1
no,1
true,1
red,1
second,1
beat,1
freedom,1
two,1
x,1
on,1
these,1
may,1
ft,1
killer,1
other,1
monarch,1
against,1
king,1
daughter,1
adored,1
wee,1
valley,1
so,1
dearer,1
heart,1
highland,1
hy,1
cannon,1
range,1
such,1
like,1
