lemma,count
the,128
of,106
be,70
and,62
to,51
a,42
he,40
have,39
in,37
i,35
as,26
his,23
it,22
by,21
that,21
book,15
which,13
for,12
these,11
us,10
with,10
my,9
so,9
from,9
an,9
stage,8
age,8
not,8
history,7
only,7
may,7
two,7
this,7
reviewer,7
all,7
author,6
professor,6
review,6
or,6
s,6
if,6
what,6
but,6
friend,5
volume,5
shakespeare,5
n,5
play,5
they,5
since,5
before,5
at,5
do,5
henry,5
them,5
after,5
more,5
odell,5
e,4
always,4
will,4
me,4
himself,4
fact,4
one,4
successive,4
never,4
any,4
can,4
w,4
enemy,4
manager,4
kean,4
those,4
give,4
good,4
own,4
year,3
call,3
set,3
no,3
their,3
under,3
task,3
o,3
picture,3
step,3
refrain,3
work,3
show,3
now,3
illustration,3
original,3
portrait,3
human,3
costume,3
when,3
scene,3
know,3
myself,3
many,3
think,3
actor,3
century,3
who,3
character,3
even,3
make,3
both,3
say,3
its,3
act,3
merely,3
irving,3
down,2
report,2
tho,2
reader,2
manner,2
tell,2
here,2
ingeniously,2
sir,2
restore,2
mean,2
stunt,2
bare,2
rather,2
great,2
whether,2
interesting,2
actress,2
present,2
tragedy,2
dress,2
demand,2
detail,2
bring,2
accuracy,2
proportion,2
historic,2
collection,2
richard,2
most,2
propriety,2
accomplish,2
undertake,2
three,2
themselves,2
attain,2
tree,2
account,2
irv,2
sense,2
humor,2
painter,2
we,2
discovery,2
chronological,2
necessary,2
our,2
change,2
attempt,2
speak,2
again,2
finally,2
progress,2
about,2
page,2
tar,2
duty,2
first,2
ask,2
shall,2
how,2
therefore,2
must,2
ht,2
reporter,2
deal,2
allow,2
would,2
thing,2
over,2
dedicate,2
once,2
ellen,2
stag,2
terry,2
praise,2
teat,1
little,1
evolution,1
mary,1
superb,1
almost,1
supply,1
also,1
london,1
painting,1
desire,1
extent,1
certain,1
glue,1
ideal,1
dose,1
iv,1
wish,1
g,1
art,1
proper,1
forth,1
z,1
garb,1
record,1
coriolanus,1
warmly,1
correspond,1
much,1
support,1
academy,1
royal,1
election,1
honor,1
anderson,1
win,1
outstanding,1
possess,1
recommend,1
panoramas,1
de,1
device,1
leaderless,1
garrick,1
cut,1
moment,1
clarity,1
identical,1
ever,1
dream,1
could,1
ag,1
engage,1
shakespearean,1
king,1
continue,1
public,1
tate,1
lamentably,1
curb,1
t,1
sad,1
rearrange,1
essay,1
tempt,1
beerbohm,1
tels,1
characterize,1
firm,1
style,1
eight,1
light,1
control,1
mn,1
artistic,1
daly,1
property,1
often,1
tragedian,1
iii,1
scenery,1
shape,1
several,1
building,1
modification,1
plain,1
part,1
sumptuous,1
godfrey,1
expensive,1
consider,1
forward,1
carry,1
setting,1
series,1
few,1
turn,1
narrative,1
accompany,1
order,1
way,1
twin,1
purpose,1
distinct,1
understate,1
modestly,1
lovely,1
gifted,1
attire,1
impersonate,1
case,1
last,1
advance,1
overstate,1
photograph,1
serve,1
histrionic,1
eye,1
hang,1
frontispiece,1
include,1
furthermore,1
mounting,1
excellent,1
beautiful,1
least,1
artistically,1
old,1
ada,1
restoration,1
thirdly,1
pretentiously,1
highly,1
seep,1
ix,1
able,1
allure,1
there,1
laughter,1
into,1
score,1
respectful,1
attention,1
introduction,1
reproduction,1
abundant,1
text,1
eighteenth,1
head,1
form,1
inappropriate,1
absurdly,1
arc,1
gallery,1
incongruous,1
female,1
specie,1
degree,1
slow,1
embellish,1
out,1
se,1
likely,1
glorious,1
retrain,1
lt,1
reconstruct,1
materially,1
sure,1
acute,1
alert,1
debt,1
solace,1
sang,1
accumulation,1
take,1
number,1
than,1
reproduce,1
break,1
novelty,1
impress,1
select,1
sometimes,1
anecdote,1
put,1
favor,1
course,1
seana,1
add,1
eloquence,1
tile,1
easily,1
l,1
eulogy,1
xi,1
gentle,1
permit,1
strong,1
hamlet,1
confession,1
frank,1
yet,1
appraise,1
opportunity,1
surrender,1
decide,1
con,1
impartial,1
ho,1
remark,1
bind,1
adjective,1
either,1
laudatory,1
various,1
sketchy,1
wood,1
miss,1
hitherto,1
romance,1
dramatic,1
comedy,1
word,1
other,1
possible,1
far,1
tee,1
traverse,1
r,1
opening,1
half,1
wherein,1
remove,1
find,1
then,1
well,1
condemnatory,1
circumstance,1
dispassionately,1
regard,1
delight,1
ry,1
write,1
refuse,1
practice,1
theory,1
deduce,1
crook,1
incarnate,1
fiend,1
him,1
gently,1
chide,1
whom,1
some,1
being,1
f,1
pp,1
son,1
york,1
d,1
c,1
matthew,1
brander,1
court,1
pretender,1
declare,1
excoriate,1
openly,1
talk,1
sage,1
colleague,1
lo,1
ought,1
specific,1
let,1
solely,1
resort,1
awkward,1
person,1
third,1
pleasure,1
intimate,1
gratify,1
reputation,1
safeguard,1
thus,1
print,1
bite,1
bitter,1
indeed,1
performance,1
vast,1
progressive,1
enough,1
curtail,1
vet,1
beat,1
al,1
exactly,1
bet,1
aware,1
language,1
playhouse,1
popular,1
surprise,1
natural,1
infinitude,1
thin,1
error,1
ancient,1
explode,1
ba,1
satisfaction,1
glow,1
proud,1
la,1
display,1
scholar,1
wife,1
err,1
producer,1
worst,1
noticeably,1
tendency,1
management,1
period,1
especially,1
time,1
edmund,1
dart,1
adapter,1
anonymous,1
decade,1
dryden,1
john,1
extend,1
list,1
verse,1
polish,1
fondly,1
new,1
plot,1
rewrote,1
simply,1
considerably,1
gentleman,1
controversy,1
acrimony,1
love,1
burden,1
cheerful,1
remain,1
ail,1
adjustment,1
skill,1
result,1
endurance,1
courage,1
enterprise,1
on,1
enter,1
newspaper,1
magazine,1
go,1
dead,1
aorta,1
survive,1
adaptation,1
criticism,1
biography,1
research,1
patient,1
labor,1
joyously,1
spar,1
obscure,1
blunder,1
correct,1
although,1
comment,1
genial,1
quotation,1
fashion,1
apt,1
abound,1
proffer,1
readable,1
share,1
load,1
groan,1
evident,1
might,1
toil,1
dust,1
dry,1
end,1
keep,1
forest,1
vision,1
juliet,1
