lemma,count
the,41
of,34
and,26
in,22
to,20
a,16
be,13
t,12
i,10
our,9
n,9
one,8
as,7
that,7
it,7
l,6
have,6
c,6
them,5
u,5
not,5
us,5
r,5
an,4
from,4
m,4
its,4
his,4
for,4
life,4
but,4
no,3
f,3
s,3
so,3
ho,3
chekhov,3
e,3
story,3
into,3
would,3
we,3
with,3
man,3
ix,2
re,2
tire,2
should,2
do,2
tl,2
may,2
ad,2
late,2
all,2
within,2
ennui,2
without,2
endure,2
yet,2
part,2
which,2
artificial,2
who,2
see,2
soul,2
tell,2
tile,2
about,2
too,2
social,2
retreat,2
at,2
o,2
coast,2
gown,2
result,2
novelist,2
great,2
by,2
little,2
keep,2
russia,2
thin,2
tar,2
her,2
rte,2
envy,2
simply,1
et,1
lave,1
far,1
he,1
than,1
acutely,1
more,1
riot,1
preacher,1
nothing,1
interest,1
sentimentalist,1
tn,1
unite,1
staten,1
race,1
increasingly,1
truth,1
poisonous,1
slow,1
henry,1
lame,1
analyze,1
can,1
america,1
soon,1
bat,1
icy,1
infinite,1
whom,1
show,1
how,1
instinct,1
comfort,1
physical,1
mental,1
rout,1
could,1
overlook,1
or,1
ha,1
find,1
afford,1
outside,1
turn,1
world,1
make,1
profit,1
out,1
trim,1
premeditation,1
savor,1
rescue,1
ugly,1
indeed,1
depict,1
illusion,1
prick,1
sharp,1
need,1
moral,1
certain,1
shat,1
hut,1
aid,1
fir,1
romance,1
cony,1
lady,1
shirt,1
if,1
discover,1
she,1
right,1
spiritual,1
cart,1
pattern,1
hair,1
mediocrity,1
dullness,1
color,1
level,1
reduce,1
close,1
encounter,1
duty,1
author,1
state,1
another,1
finely,1
allusively,1
tic,1
lift,1
put,1
hat,1
keen,1
come,1
source,1
slice,1
audience,1
pseudo,1
hostile,1
constitute,1
determine,1
public,1
barrier,1
bear,1
their,1
bout,1
dwell,1
fife,1
dress,1
sentiment,1
rite,1
sincere,1
toward,1
theta,1
merely,1
am,1
mal,1
di,1
ti,1
amt,1
vast,1
x,1
uncover,1
cynic,1
lac,1
mar,1
note,1
ct,1
this,1
cl,1
ia,1
love,1
hint,1
early,1
lo,1
ca,1
ur,1
ace,1
sown,1
harm,1
ir,1
battle,1
spin,1
girl,1
like,1
b,1
itself,1
fiction,1
always,1
when,1
read,1
only,1
possession,1
psychologist,1
national,1
temperament,1
suffer,1
him,1
gladly,1
submit,1
analysis,1
pride,1
delight,1
doc,1
y,1
vt,1
v,1
mr,1
fl,1
lots,1
non,1
civic,1
tad,1
gilt,1
wit,1
d,1
callousness,1
bad,1
on,1
natural,1
work,1
emotion,1
unreal,1
fantastic,1
both,1
incidentally,1
ira,1
before,1
sensitive,1
spirit,1
shrink,1
dressing,1
saint,1
unable,1
harsh,1
contact,1
seer,1
refuge,1
other,1
suicide,1
happen,1
novel,1
suspect,1
woman,1
letter,1
showing,1
sell,1
they,1
until,1
cynicism,1
mantle,1
sir,1
cort,1
fur,1
call,1
pt,1
youth,1
ii,1
ax,1
yin,1
rcpt,1
lit,1
crow,1
fat,1
ly,1
lira,1
wrap,1
retire,1
ra,1
cocoon,1
nun,1
many,1
most,1
powerful,1
talc,1
whole,1
croup,1
old,1
j,1
official,1
write,1
