lemma,count
the,54
be,43
of,42
to,27
a,27
it,23
and,22
that,20
he,19
in,18
have,14
with,12
not,12
his,11
for,10
as,9
an,8
ireland,8
this,7
if,6
must,6
but,5
s,5
at,5
such,4
t,4
on,4
by,4
write,4
present,4
after,4
who,4
no,3
any,3
which,3
there,3
one,3
man,3
though,3
irish,3
or,3
principle,3
us,3
look,3
work,3
indeed,3
m,3
ix,3
freedom,3
they,2
its,2
seriousness,2
fluff,2
soul,2
hut,2
series,2
ac,2
them,2
some,2
these,2
close,2
make,2
irishman,2
i,2
create,2
fact,2
c,2
other,2
can,2
party,2
too,2
lip,2
say,2
unnatural,2
rt,2
terence,2
catholic,2
l,2
rise,2
while,2
book,2
together,2
north,2
do,2
may,2
hand,2
without,2
war,2
would,2
depress,2
criticism,2
only,2
o,2
much,2
out,2
x,2
more,2
r,2
independent,2
you,2
ideal,2
whom,2
very,2
favor,1
than,1
author,1
fear,1
confess,1
manage,1
strike,1
everything,1
sharp,1
blow,1
pure,1
papa,1
ever,1
tire,1
animate,1
literally,1
true,1
deal,1
thing,1
mention,1
anon,1
where,1
tear,1
vehement,1
stand,1
victim,1
recognize,1
union,1
easily,1
heart,1
th,1
dis,1
power,1
trouble,1
certainty,1
practically,1
orange,1
sincere,1
join,1
ancient,1
order,1
accept,1
lifetime,1
spread,1
during,1
straight,1
republicanism,1
virtually,1
lust,1
small,1
orate,1
atmosphere,1
sectarian,1
find,1
rivalry,1
remarkable,1
go,1
all,1
eat,1
rec,1
chat,1
name,1
about,1
troy,1
full,1
hard,1
run,1
illustration,1
reasoning,1
ht,1
quote,1
high,1
approval,1
so,1
permit,1
virtuous,1
re,1
comment,1
every,1
op,1
revolt,1
islam,1
nothing,1
what,1
over,1
prose,1
subject,1
heel,1
revolution,1
rose,1
water,1
h,1
specific,1
n,1
nation,1
result,1
case,1
hopefulness,1
literary,1
might,1
lie,1
resemblance,1
intense,1
crook,1
reviewer,1
is,1
lard,1
clot,1
genius,1
denunciation,1
become,1
reversed,1
possible,1
edit,1
word,1
local,1
mind,1
guess,1
lime,1
point,1
reader,1
es,1
lire,1
political,1
through,1
e,1
effect,1
funny,1
impart,1
waste,1
syllable,1
shaw,1
john,1
island,1
me,1
late,1
dom,1
f,1
andrew,1
black,1
fiction,1
ly,1
deadly,1
think,1
even,1
cold,1
earnest,1
up,1
hear,1
lo,1
bring,1
paper,1
last,1
set,1
haul,1
interrupt,1
revision,1
generation,1
time,1
main,1
praise,1
allusion,1
vein,1
meet,1
strong,1
description,1
mast,1
also,1
fashion,1
drop,1
exactly,1
into,1
poetry,1
then,1
familiar,1
anecdote,1
your,1
sos,1
serious,1
soft,1
sad,1
te,1
know,1
shakespearean,1
p,1
young,1
b,1
unhappy,1
drive,1
house,1
york,1
fare,1
ls,1
amazing,1
lord,1
south,1
posthumous,1
stanch,1
cs,1
live,1
term,1
idea,1
hate,1
abhorrent,1
tm,1
glance,1
compute,1
sec,1
knightly,1
fut,1
dept,1
him,1
comedy,1
deep,1
old,1
way,1
when,1
standard,1
first,1
raise,1
arid,1
protestant,1
unite,1
muse,1
belfast,1
home,1
frequently,1
love,1
meed,1
anxious,1
po,1
philosophic,1
essay,1
rightful,1
conduct,1
special,1
reference,1
chesterfield,1
vision,1
whole,1
son,1
anxiety,1
y,1
explain,1
care,1
take,1
often,1
get,1
deprive,1
always,1
glorious,1
faith,1
end,1
will,1
never,1
doubt,1
second,1
evident,1
length,1
flute,1
cubit,1
