lemma,count
of,17
tile,12
the,11
a,10
and,8
to,5
be,4
l,3
for,3
story,3
s,3
by,3
law,2
delay,2
lawyer,2
with,2
old,2
book,2
new,2
hope,1
dead,1
lie,1
g,1
b,1
th,1
ion,1
generally,1
prove,1
consider,1
man,1
mr,1
dot,1
bit,1
do,1
stick,1
against,1
proceeding,1
still,1
wile,1
professional,1
feeble,1
startle,1
his,1
climax,1
i,1
fact,1
reader,1
he,1
know,1
thor,1
impressively,1
home,1
drive,1
that,1
into,1
fut,1
case,1
vigorously,1
swiftly,1
move,1
mind,1
keen,1
duel,1
in,1
rebuff,1
every,1
through,1
ease,1
famous,1
when,1
engage,1
juror,1
frederick,1
theme,1
judiciary,1
influence,1
politically,1
evil,1
justice,1
end,1
quibble,1
technicality,1
advantage,1
take,1
who,1
chicanery,1
indictment,1
penetrate,1
j,1
company,1
century,1
ito,1
york,1
trevor,1
k,1
thirteenth,1
not,1
supply,1
merely,1
exhaust,1
have,1
at,1
shirt,1
all,1
prolong,1
wall,1
son,1
force,1
wealthy,1
war,1
trade,1
bitter,1
result,1
as,1
wit,1
will,1
conflict,1
vital,1
but,1
court,1
reform,1
propaganda,1
attention,1
