lemma,count
the,133
of,67
in,67
be,61
and,41
a,39
to,38
i,37
he,32
it,30
t,26
have,20
l,20
that,17
o,15
mr,15
for,14
which,13
not,13
h,12
this,12
vote,12
his,12
south,12
n,12
than,11
by,11
or,10
as,10
an,10
e,10
from,10
j,10
state,9
no,8
total,8
r,8
one,8
but,7
more,7
there,7
do,7
on,7
f,7
negro,6
their,6
all,6
may,6
solid,6
x,6
white,5
m,5
tate,5
lt,5
s,5
population,5
ii,5
lr,5
eleven,5
southern,5
part,5
ill,4
race,4
election,4
new,4
less,4
if,4
them,4
th,4
hy,4
know,4
other,4
hut,4
ha,4
with,4
lie,4
who,4
about,4
say,3
purpose,3
well,3
can,3
high,3
ex,3
fr,3
political,3
carolina,3
despotic,3
live,3
louisiana,3
could,3
ticket,3
oligarchy,3
ir,3
virginia,3
against,3
w,3
al,3
you,3
po,3
hold,3
try,3
what,3
condition,3
too,3
good,3
tile,3
north,3
should,3
chicago,3
these,3
section,3
mi,3
both,3
cent,3
per,3
bad,3
large,3
titan,2
book,2
another,2
statement,2
present,2
nd,2
people,2
con,2
any,2
make,2
seem,2
war,2
place,2
would,2
plurality,2
secede,2
its,2
city,2
three,2
now,2
immigration,2
ska,2
thesis,2
world,2
find,2
citizen,2
ratio,2
protection,2
like,2
tone,2
crime,2
lead,2
hatfield,2
p,2
fl,2
ls,2
will,2
northern,2
voter,2
explain,2
go,2
oath,2
quote,2
where,2
el,2
er,2
elector,2
take,2
riot,2
georgia,2
worth,2
tribune,2
call,2
ar,2
so,2
ion,2
british,2
re,2
criminal,2
social,2
wt,2
rig,2
thai,2
country,2
light,2
problem,2
tl,2
we,2
rule,2
li,2
doe,2
out,2
our,2
u,2
owe,2
little,2
attribute,2
ll,2
they,2
work,2
question,2
american,2
indictment,2
line,2
tell,2
some,2
york,2
few,2
unmixed,1
william,1
lather,1
promise,1
attract,1
think,1
force,1
remain,1
wage,1
area,1
look,1
coddling,1
talk,1
civilized,1
extraction,1
old,1
decline,1
evidence,1
striking,1
such,1
behalf,1
silent,1
preface,1
though,1
sentence,1
press,1
pit,1
mass,1
louis,1
frost,1
none,1
oklahoma,1
into,1
ten,1
rural,1
merely,1
turn,1
india,1
indeed,1
racial,1
manifestation,1
aristocracy,1
inheritance,1
legacy,1
voluminous,1
library,1
wag,1
deal,1
voting,1
freedom,1
rive,1
lat,1
signal,1
permit,1
wrong,1
opinion,1
observe,1
until,1
pronounce,1
shift,1
alabama,1
send,1
tr,1
chapter,1
pp,1
fourth,1
adair,1
toward,1
whole,1
movement,1
company,1
course,1
actually,1
blame,1
cry,1
wholly,1
pace,1
gradual,1
loudly,1
final,1
semblance,1
person,1
fro,1
lind,1
rate,1
hare,1
interest,1
rte,1
ks,1
author,1
tue,1
is,1
lint,1
property,1
debt,1
trier,1
during,1
default,1
d,1
rn,1
west,1
much,1
dis,1
extreme,1
difficult,1
ape,1
belief,1
imperishable,1
en,1
leave,1
eat,1
temper,1
praiseworthy,1
statistic,1
wide,1
ht,1
kat,1
hen,1
ts,1
rex,1
space,1
factor,1
ire,1
narrow,1
lad,1
pei,1
ix,1
italic,1
vow,1
inveigh,1
real,1
absence,1
deg,1
life,1
public,1
honor,1
purity,1
ab,1
review,1
china,1
lust,1
provide,1
silas,1
government,1
subject,1
bent,1
appeal,1
right,1
civic,1
come,1
adhere,1
rid,1
mayor,1
lion,1
let,1
former,1
republic,1
os,1
moreover,1
alabaman,1
om,1
record,1
appalling,1
most,1
kentucky,1
feud,1
list,1
count,1
ease,1
wanders,1
second,1
eminence,1
free,1
body,1
regard,1
tilt,1
archy,1
tory,1
succeed,1
lave,1
day,1
since,1
way,1
hill,1
secession,1
rot,1
hr,1
two,1
wonder,1
probably,1
how,1
di,1
true,1
q,1
mind,1
rim,1
va,1
lawlessness,1
consider,1
england,1
random,1
contrast,1
mean,1
really,1
select,1
familiar,1
texas,1
dial,1
off,1
number,1
november,1
c,1
design,1
woodcut,1
village,1
grind,1
oil,1
ta,1
patriotic,1
owner,1
performance,1
ca,1
pt,1
bet,1
turncoat,1
ia,1
ale,1
talladega,1
town,1
native,1
de,1
thrice,1
serve,1
internationalism,1
disregard,1
deep,1
ministration,1
ad,1
anti,1
sedition,1
filial,1
undertake,1
lot,1
favor,1
civil,1
mother,1
use,1
lo,1
when,1
hurt,1
him,1
ave,1
hook,1
prior,1
fact,1
us,1
first,1
candid,1
paint,1
must,1
ne,1
provincial,1
rod,1
birth,1
indiana,1
tenant,1
woman,1
quarter,1
precede,1
year,1
together,1
peonage,1
ether,1
choose,1
prison,1
ever,1
generally,1
z,1
outside,1
tat,1
peculiar,1
vole,1
east,1
nearly,1
determine,1
borough,1
small,1
suffrage,1
iowa,1
labor,1
farming,1
single,1
result,1
general,1
crop,1
trash,1
add,1
alien,1
national,1
disproportionate,1
value,1
electoral,1
illiteracy,1
tennessee,1
child,1
opposition,1
io,1
presidential,1
len,1
pocket,1
cast,1
over,1
exhibit,1
away,1
economic,1
cause,1
nor,1
australia,1
florid,1
different,1
italy,1
rear,1
otherwise,1
ala,1
same,1
till,1
selection,1
island,1
ohio,1
nebraska,1
minnesota,1
maine,1
difference,1
psychological,1
deeper,1
id,1
point,1
at,1
disfranchisement,1
due,1
measure,1
elsewhere,1
tenth,1
le,1
closely,1
wield,1
residential,1
related,1
nation,1
somewhat,1
name,1
fairly,1
lionel,1
certain,1
wise,1
