lemma,count
the,30
be,26
of,18
and,16
to,10
s,7
a,7
her,7
but,5
it,5
for,5
with,5
there,4
woman,4
as,4
who,4
mrs,4
in,4
will,3
not,3
we,3
those,3
tile,3
well,3
his,3
want,3
that,3
by,3
feminist,3
hale,3
modern,2
or,2
more,2
book,2
if,2
between,2
view,2
ill,2
sincere,2
our,2
american,2
o,2
re,2
point,2
any,2
i,2
suffrage,2
l,2
condemn,2
what,2
some,2
so,2
them,2
than,2
poetry,2
these,2
new,2
anything,2
voice,2
many,2
good,2
symphony,2
have,2
grind,1
sober,1
rather,1
reason,1
underlying,1
air,1
clear,1
thought,1
earnest,1
balanced,1
ton,1
light,1
need,1
evolution,1
sum,1
though,1
emotion,1
its,1
virtue,1
world,1
progress,1
each,1
oil,1
knowledge,1
perhaps,1
feature,1
persuade,1
excellent,1
bitterness,1
either,1
sex,1
prejudice,1
effort,1
overstatement,1
pretentious,1
much,1
paragraph,1
after,1
failure,1
p,1
empty,1
growth,1
cry,1
use,1
appetite,1
pity,1
ls,1
further,1
creature,1
beyond,1
deep,1
should,1
earth,1
dale,1
v,1
wealthy,1
spill,1
broken,1
poor,1
tenement,1
whom,1
only,1
sweat,1
headline,1
shriek,1
worker,1
oratory,1
america,1
lord,1
thunder,1
utterly,1
outcast,1
from,1
against,1
n,1
war,1
ell,1
t,1
england,1
q,1
almost,1
religious,1
inspiration,1
inform,1
sharp,1
vehement,1
file,1
combination,1
allow,1
steer,1
scylla,1
leave,1
militancy,1
describe,1
free,1
love,1
explain,1
one,1
less,1
an,1
tone,1
quiet,1
play,1
beatrice,1
robertson,1
york,1
frederick,1
stoke,1
company,1
difficulty,1
all,1
at,1
modulate,1
once,1
result,1
fit,1
into,1
second,1
movement,1
prefer,1
listen,1
however,1
expression,1
connect,1
nits,1
interesting,1
even,1
reader,1
ed,1
literature,1
cont,1
ninth,1
discussion,1
relation,1
husband,1
wife,1
ever,1
thea,1
visitor,1
search,1
clever,1
ire,1
several,1
year,1
fresh,1
prove,1
idealism,1
on,1
presentation,1
case,1
before,1
court,1
civilization,1
tame,1
occupy,1
place,1
fence,1
vigorous,1
she,1
hold,1
sane,1
middle,1
ground,1
without,1
sacrifice,1
distinctly,1
wisely,1
