lemma,count
the,187
of,113
and,66
be,49
a,33
to,25
in,24
by,19
which,14
have,14
with,12
as,11
their,11
from,11
it,10
italian,10
people,10
that,10
history,9
s,8
but,8
or,8
i,7
not,7
italy,7
an,6
author,6
then,6
on,6
invasion,5
these,5
peninsula,5
at,5
individual,5
there,5
o,5
influence,5
war,5
for,5
whether,4
under,4
rome,4
make,4
event,4
his,4
development,4
come,4
period,4
its,4
what,4
may,4
because,4
trevelyan,4
barbarian,4
first,4
who,4
story,4
venice,4
great,4
give,3
into,3
nothing,3
do,3
unification,3
iii,3
different,3
civic,3
austrian,3
one,3
year,3
french,3
savoy,3
when,3
family,3
rise,3
certain,3
napoleon,3
whose,3
community,3
city,3
after,3
fact,3
use,3
all,3
no,3
leave,3
subject,3
century,3
we,3
narrative,3
attempt,3
method,3
sad,3
more,3
inspiration,2
r,2
they,2
begin,2
never,2
t,2
long,2
victor,2
other,2
series,2
same,2
king,2
re,2
he,2
work,2
element,2
thousand,2
garibaldi,2
short,2
against,2
can,2
only,2
ambition,2
set,2
possibly,2
two,2
social,2
about,2
dramatic,2
finally,2
l,2
lose,2
move,2
n,2
end,2
important,2
like,2
change,2
old,2
florence,2
become,2
relief,2
go,2
seat,2
attila,2
name,2
ethnological,2
day,2
genoa,2
pope,2
life,2
each,2
state,2
tuscany,2
succession,2
middle,2
time,2
designation,2
revolution,2
aid,2
due,2
encyclopedic,2
kingdom,2
quite,2
without,2
tell,2
follow,2
lombardy,2
destine,2
material,2
france,2
proper,2
austria,2
domination,2
any,2
still,2
documentary,2
such,2
good,2
republic,2
than,2
political,2
ed,2
result,2
popular,2
doubt,2
taste,1
vatican,1
emerge,1
term,1
woodcut,1
power,1
martyr,1
permanency,1
unite,1
merely,1
collection,1
gene,1
say,1
ignore,1
ii,1
staff,1
absorption,1
inspire,1
memory,1
rarely,1
liberty,1
even,1
meeting,1
overthrew,1
th,1
limit,1
conquest,1
fatal,1
repercussion,1
complete,1
imperfect,1
bad,1
reaction,1
papal,1
bonaparte,1
general,1
army,1
release,1
bring,1
house,1
store,1
rhea,1
particularly,1
forty,1
willingly,1
d,1
comparative,1
again,1
peace,1
union,1
bf,1
advantage,1
understand,1
spiritual,1
awakening,1
lead,1
self,1
measure,1
line,1
surrender,1
soul,1
sass,1
realization,1
consul,1
govern,1
order,1
petty,1
sicily,1
ideal,1
island,1
freedom,1
sardinia,1
behind,1
up,1
pane,1
forget,1
gain,1
sovereign,1
matter,1
legend,1
confirm,1
moral,1
significance,1
true,1
overlook,1
nor,1
remove,1
slight,1
importance,1
heart,1
straight,1
aim,1
intellectual,1
dagger,1
unredeemed,1
describe,1
part,1
prussia,1
tad,1
betrayal,1
rehabilitate,1
personal,1
brie,1
piedmont,1
rebellion,1
extremely,1
nevertheless,1
whom,1
england,1
alto,1
asylum,1
historical,1
tradition,1
within,1
curious,1
sent,1
interpolate,1
transformation,1
article,1
expand,1
nat,1
see,1
deduction,1
thus,1
will,1
warship,1
age,1
obliterate,1
er,1
however,1
blot,1
betray,1
personages,1
some,1
government,1
tut,1
perceptible,1
known,1
lawgiver,1
through,1
original,1
sight,1
manner,1
genesis,1
forth,1
clearly,1
she,1
observation,1
contrast,1
chronicle,1
many,1
difficulty,1
chronology,1
head,1
thing,1
logic,1
coherent,1
sequence,1
here,1
reach,1
del,1
k,1
reader,1
surely,1
must,1
slap,1
while,1
less,1
miss,1
free,1
present,1
intrigue,1
abortive,1
cavour,1
emmanuel,1
idly,1
w,1
descent,1
dynasty,1
dom,1
shirt,1
red,1
mazzini,1
possible,1
expression,1
ev,1
think,1
among,1
manta,1
sip,1
strangely,1
emilia,1
plebiscite,1
local,1
intelligent,1
book,1
robbery,1
very,1
talented,1
her,1
air,1
trev,1
fame,1
expansion,1
contraction,1
decline,1
treatment,1
invite,1
nature,1
characterization,1
devote,1
sufficient,1
connect,1
page,1
nearly,1
cram,1
number,1
amazing,1
unequaled,1
probably,1
capital,1
place,1
husband,1
bibliography,1
modern,1
remembering,1
crowning,1
byzantine,1
lombard,1
tie,1
regime,1
alien,1
vestige,1
last,1
romaine,1
reign,1
throughout,1
worth,1
include,1
picture,1
tout,1
would,1
put,1
could,1
experience,1
knowledge,1
tho,1
believe,1
title,1
over,1
achieve,1
down,1
northern,1
third,1
often,1
later,1
son,1
putnam,1
p,1
g,1
london,1
york,1
new,1
map,1
ad,1
toward,1
dismay,1
diocletian,1
em,1
reorganization,1
regard,1
walter,1
review,1
unity,1
national,1
triumph,1
drama,1
epic,1
prove,1
achievement,1
tn,1
weaving,1
george,1
circumstance,1
ia,1
analysis,1
co,1
selection,1
proportional,1
defy,1
almost,1
staggering,1
motif,1
intricate,1
editor,1
maze,1
complicated,1
person,1
employ,1
successfully,1
wonderfully,1
ala,1
view,1
point,1
physical,1
both,1
leo,1
tribe,1
purpose,1
fail,1
western,1
battleground,1
future,1
permanently,1
entertaining,1
extract,1
write,1
hypothesis,1
utilize,1
rather,1
grasp,1
simply,1
thirteenth,1
accord,1
symbolic,1
hardly,1
painter,1
architect,1
raphael,1
angelo,1
michael,1
giotto,1
treasure,1
dante,1
europe,1
until,1
mrs,1
another,1
purely,1
spain,1
front,1
second,1
inevitable,1
culture,1
those,1
establish,1
foreign,1
meanwhile,1
save,1
prince,1
v,1
themselves,1
difference,1
vast,1
build,1
ultimately,1
upon,1
foundation,1
en,1
sixteenth,1
ca,1
nd,1
mark,1
learn,1
mere,1
grad,1
envy,1
world,1
admiration,1
remain,1
phase,1
varied,1
artistic,1
nodal,1
isolate,1
way,1
st,1
fight,1
pie,1
res,1
lord,1
turn,1
fetter,1
norman,1
medium,1
signpost,1
theta,1
unless,1
ethnic,1
symbol,1
foreigner,1
institution,1
eternal,1
feudal,1
church,1
necessary,1
medici,1
them,1
add,1
merchant,1
art,1
patron,1
descendant,1
milan,1
stain,1
treat,1
relation,1
anti,1
rural,1
between,1
conflict,1
ix,1
reservation,1
also,1
so,1
style,1
dispose,1
race,1
painting,1
