lemma,count
of,55
the,42
be,25
love,24
in,21
to,20
and,20
a,18
i,16
that,15
s,14
le,11
for,11
it,8
mr,8
one,8
have,8
her,7
lover,7
with,7
which,6
without,6
story,6
such,6
old,5
little,5
most,5
this,5
as,5
no,4
on,4
he,4
there,4
two,4
genius,4
make,4
man,4
shelley,3
his,3
give,3
when,3
so,3
woman,3
all,3
would,3
life,3
them,3
poet,3
do,3
romance,3
after,3
v,3
retold,3
its,3
dante,3
author,2
contrast,2
condemn,2
him,2
abe,2
though,2
only,2
happy,2
co,2
both,2
more,2
heine,2
j,2
could,2
these,2
let,2
kind,2
e,2
well,2
an,2
de,2
o,2
marriage,2
ad,2
world,2
laurel,2
l,2
b,2
but,2
write,2
y,2
any,2
whom,2
elle,2
beatrice,2
est,2
spiritual,2
into,2
interesting,2
tragic,2
imagination,2
d,2
poetic,2
sense,2
famous,2
good,2
name,2
richard,2
by,2
retire,1
enjoyable,1
telling,1
likable,1
re,1
highly,1
great,1
collection,1
outcry,1
es,1
ornate,1
tc,1
style,1
ho,1
sympathetic,1
t,1
recantation,1
further,1
smooth,1
liar,1
need,1
robert,1
browning,1
know,1
recover,1
ne,1
sacrifice,1
q,1
possess,1
worthy,1
happily,1
faithful,1
adoration,1
attack,1
cation,1
live,1
equally,1
seem,1
x,1
trifle,1
romantic,1
challenge,1
grace,1
stand,1
history,1
few,1
parallel,1
hear,1
herself,1
my,1
quiet,1
turn,1
mad,1
bout,1
inc,1
new,1
stuart,1
stage,1
angelo,1
sand,1
z,1
gift,1
motherly,1
care,1
chopin,1
invariable,1
comet,1
during,1
deserve,1
their,1
instead,1
subsequent,1
unhappiness,1
renowned,1
passion,1
vittoria,1
claim,1
too,1
call,1
high,1
god,1
seek,1
together,1
m,1
suitor,1
pierre,1
spend,1
choose,1
worship,1
champion,1
irrelevance,1
absurd,1
extra,1
vision,1
monument,1
immortal,1
bliss,1
earth,1
communion,1
what,1
itself,1
lack,1
fire,1
rossetti,1
nothing,1
elizabeth,1
cinderella,1
certainly,1
march,1
bonnet,1
vendor,1
leicester,1
finish,1
who,1
tale,1
run,1
course,1
flippant,1
lent,1
soul,1
frederic,1
obviously,1
mathilde,1
hysterical,1
can,1
w,1
nd,1
bright,1
burn,1
talent,1
note,1
also,1
austere,1
justify,1
up,1
talented,1
radical,1
philosopher,1
cupid,1
aid,1
myth,1
book,1
include,1
because,1
ha,1
tile,1
child,1
sir,1
philip,1
stella,1
not,1
fortunate,1
audi,1
mean,1
parent,1
intervene,1
lr,1
survive,1
whose,1
arc,1
out,1
chronicle,1
london,1
john,1
lane,1
head,1
bring,1
reality,1
figure,1
abelard,1
lose,1
cling,1
flesh,1
blood,1
creature,1
frail,1
portray,1
ghost,1
deadly,1
reconstruction,1
time,1
custom,1
literary,1
accomplishment,1
merit,1
succeed,1
us,1
revival,1
some,1
person,1
significant,1
quick,1
assert,1
cow,1
memoir,1
red,1
she,1
act,1
death,1
year,1
ten,1
sue,1
face,1
response,1
fanny,1
read,1
applaud,1
c,1
inherit,1
forever,1
obscurity,1
send,1
virgil,1
assist,1
hell,1
conception,1
inferno,1
similar,1
lock,1
kindly,1
slit,1
discover,1
wile,1
even,1
understand,1
than,1
vance,1
grow,1
calf,1
enough,1
adverse,1
public,1
opinion,1
harriet,1
ill,1
mated,1
sympathy,1
find,1
self,1
married,1
at,1
early,1
age,1
terrible,1
mistake,1
infatuation,1
begin,1
nature,1
r,1
tragedy,1
serious,1
hat,1
elope,1
mary,1
godwin,1
anny,1
browne,1
suburban,1
miss,1
patience,1
ever,1
