lemma,count
the,21
of,11
and,8
a,7
in,6
be,6
to,4
it,4
that,3
have,3
two,2
story,2
as,2
his,2
through,2
say,2
with,2
right,2
do,2
save,2
especial,1
fa,1
tale,1
exercise,1
little,1
chapter,1
their,1
final,1
own,1
happy,1
rich,1
love,1
talent,1
villain,1
one,1
exception,1
everybody,1
complication,1
her,1
sugary,1
romantic,1
three,1
necessary,1
add,1
somewhat,1
tl,1
quality,1
but,1
s,1
reader,1
hold,1
enable,1
which,1
twist,1
dexterous,1
some,1
plot,1
end,1
character,1
rather,1
clerk,1
grocery,1
martin,1
sammy,1
fault,1
no,1
la,1
whole,1
superabundance,1
nicety,1
work,1
he,1
must,1
different,1
justice,1
way,1
making,1
very,1
they,1
may,1
board,1
on,1
see,1
not,1
who,1
those,1
benefit,1
for,1
novel,1
form,1
present,1
here,1
turn,1
call,1
e,1
john,1
smith,1
winchell,1
by,1
play,1
successful,1
net,1
co,1
ry,1
well,1
tell,1
how,1
bascom,1
so,1
them,1
she,1
jam,1
peach,1
skill,1
rare,1
virtue,1
compact,1
woman,1
country,1
tic,1
crook,1
saintly,1
influence,1
unconscious,1
transform,1
reform,1
breaker,1
safe,1
famous,1
pickpocket,1
expert,1
an,1
interest,1
