lemma,count
the,163
be,100
to,88
of,77
and,74
a,44
in,44
that,39
her,32
i,29
not,25
it,24
you,24
one,20
he,19
for,19
do,18
she,17
have,17
they,17
but,15
o,15
letter,15
czar,15
so,14
there,14
his,13
him,13
at,12
as,12
when,11
all,11
with,11
s,11
an,10
them,10
we,9
by,9
know,9
me,9
can,9
write,9
more,9
these,8
great,8
from,8
czarina,8
our,8
rasputin,8
only,8
must,7
will,7
no,7
too,7
empress,7
russian,7
good,7
other,7
on,7
go,7
its,6
war,6
god,6
thing,6
english,6
say,6
over,6
take,6
their,6
first,6
call,6
officer,6
prisoner,6
through,5
any,5
give,5
make,5
own,5
wound,5
speak,5
same,5
now,5
man,5
than,5
well,5
army,5
most,5
heart,5
or,5
reference,5
change,4
order,4
would,4
j,4
yet,4
seem,4
read,4
time,4
every,4
word,4
always,4
very,4
la,4
nothing,4
my,4
then,4
end,4
this,4
friend,4
peace,4
want,4
soul,4
help,4
against,4
let,4
remain,4
writer,3
indeed,3
etc,3
day,3
act,3
much,3
paper,3
prayer,3
german,3
woman,3
your,3
also,3
concern,3
course,3
though,3
opinion,3
need,3
e,3
again,3
ask,3
true,3
hear,3
away,3
gregory,3
those,3
affection,3
right,3
who,3
lie,3
few,3
after,3
once,3
allow,3
life,3
find,3
long,3
such,3
correspondence,3
minister,3
see,3
what,3
print,3
begin,3
feel,3
world,3
how,3
think,3
may,3
rest,3
during,3
importance,3
old,3
some,3
child,3
advice,3
out,3
place,3
love,3
show,3
t,3
forgive,3
priest,2
another,2
sometimes,2
bring,2
grand,2
point,2
chief,2
worse,2
wait,2
himself,2
should,2
room,2
beg,2
holy,2
strong,2
yon,2
underwood,2
trial,2
real,2
charm,2
page,2
sure,2
could,2
suffer,2
separate,2
keep,2
operation,2
perfectly,2
poor,2
send,2
fr,2
devil,2
receive,2
far,2
instead,2
shock,2
last,2
people,2
cruel,2
study,2
k,2
continue,2
everywhere,2
believe,2
church,2
tell,2
attitude,2
extract,2
follow,2
clear,2
relation,2
certain,2
party,2
forget,2
because,2
better,2
remember,2
dangerous,2
hut,2
alone,2
red,2
horror,2
religious,2
anoint,2
n,2
tho,2
answer,2
family,2
two,2
kitchener,2
troop,2
if,2
usually,2
report,2
beginning,2
present,2
volume,2
into,2
note,2
explain,2
become,2
many,2
leader,2
reader,2
turn,2
express,2
subject,2
deal,2
personal,2
intimate,2
curious,2
adviser,2
governor,2
warm,2
evidence,2
treat,2
period,2
never,2
upon,2
simple,2
translation,2
voice,2
ii,2
direct,2
humble,2
difference,1
yonder,1
conversation,1
something,1
propose,1
ray,1
politic,1
enemy,1
bo,1
fathomed,1
secret,1
yours,1
parting,1
overtake,1
moment,1
boil,1
awe,1
happy,1
feeling,1
lord,1
instrument,1
care,1
dear,1
stupidity,1
visit,1
initiative,1
georgie,1
qualified,1
besides,1
unction,1
tool,1
therefore,1
malign,1
cruelly,1
guidance,1
awfully,1
force,1
torment,1
name,1
win,1
headquarters,1
misery,1
x,1
repeat,1
thought,1
contented,1
ia,1
considerably,1
example,1
mystery,1
king,1
george,1
about,1
tea,1
lust,1
fight,1
die,1
camphor,1
fail,1
enjoy,1
health,1
sore,1
quite,1
plain,1
com,1
bless,1
sleep,1
here,1
isa,1
around,1
appearance,1
heavenly,1
peacefully,1
console,1
ones,1
prized,1
rapidly,1
aunt,1
difficult,1
father,1
imperial,1
pair,1
territory,1
mortal,1
small,1
sooner,1
doing,1
person,1
departure,1
personage,1
human,1
birth,1
mar,1
crazy,1
mischief,1
oh,1
loud,1
often,1
master,1
wish,1
impression,1
hesitation,1
attack,1
gentle,1
opponent,1
fiercely,1
writing,1
kind,1
ore,1
previous,1
instance,1
high,1
counterbalance,1
use,1
june,1
deary,1
horrid,1
president,1
nonsense,1
prime,1
whether,1
sovereign,1
gift,1
ct,1
weigh,1
highly,1
style,1
ought,1
commander,1
duke,1
experience,1
brain,1
hold,1
single,1
bore,1
tour,1
sees,1
wonder,1
dearer,1
front,1
brine,1
agree,1
hot,1
yourself,1
sweetheart,1
decided,1
look,1
humility,1
severe,1
together,1
judge,1
quickly,1
loyal,1
collection,1
deserve,1
known,1
history,1
fool,1
gain,1
blotch,1
synod,1
procurator,1
part,1
rotten,1
wont,1
work,1
ignorant,1
rise,1
military,1
self,1
ir,1
hurt,1
horrify,1
tie,1
mess,1
devoted,1
succeed,1
mend,1
being,1
punishment,1
accident,1
m,1
please,1
deeply,1
business,1
discuss,1
discontent,1
scholar,1
assure,1
former,1
occasion,1
arise,1
september,1
conservative,1
head,1
feather,1
reform,1
afterward,1
delegate,1
beyond,1
abdicate,1
devote,1
intend,1
deputation,1
oriental,1
railway,1
above,1
themselves,1
swallow,1
message,1
recommendation,1
attach,1
detect,1
bun,1
request,1
disregard,1
official,1
almost,1
daily,1
consider,1
appear,1
hy,1
cover,1
toward,1
