lemma,count
the,133
be,96
a,77
of,63
and,59
to,42
in,39
he,32
his,27
as,26
i,25
it,24
s,24
that,23
not,23
have,23
on,20
an,16
miner,16
with,15
for,14
one,14
but,14
this,14
we,13
all,13
by,12
do,11
e,10
like,10
no,9
my,9
which,8
man,8
would,8
their,8
who,8
you,8
there,7
l,7
so,7
from,7
down,7
they,7
say,7
mine,7
then,6
roger,6
too,6
take,5
good,5
will,5
get,5
j,5
what,5
day,5
me,5
can,5
may,5
at,5
pit,5
when,5
after,5
about,5
know,5
out,5
mind,5
here,5
go,5
life,5
water,4
light,4
much,4
way,4
own,4
more,4
shaft,4
work,4
tell,4
let,4
if,4
or,4
every,4
less,4
book,4
page,3
jump,3
write,3
t,3
hear,3
due,3
h,3
sir,3
pain,3
british,3
under,3
reason,3
night,3
darkness,3
shift,3
far,3
read,3
such,3
wife,3
detailer,3
pony,3
only,3
nor,3
whose,3
yet,3
friend,3
mining,3
him,3
along,3
them,3
dark,3
labor,3
could,3
er,3
once,3
place,3
its,3
word,3
pitman,3
us,3
home,3
oh,3
school,3
still,3
hand,3
our,3
describe,3
sunday,3
than,3
find,3
lt,2
horse,2
experience,2
symptom,2
strain,2
into,2
these,2
v,2
upon,2
yes,2
danger,2
material,2
how,2
honest,2
dig,2
first,2
flash,2
moor,2
lead,2
joseph,2
other,2
morning,2
art,2
drip,2
sing,2
talk,2
dear,2
human,2
document,2
come,2
crack,2
praise,2
answer,2
o,2
some,2
aye,2
hell,2
wilson,2
back,2
eternal,2
tom,2
stop,2
tile,2
press,2
lie,2
moment,2
choke,2
wheel,2
bit,2
make,2
piece,2
between,2
song,2
town,2
enjoy,2
try,2
any,2
detonator,2
give,2
point,2
put,2
child,2
even,2
follow,2
himself,2
part,2
state,2
together,2
transcript,2
seem,2
miller,2
treat,2
vivid,2
neck,2
must,2
around,2
industry,2
notebook,2
old,2
thursday,2
itself,2
realism,2
inspector,2
reveal,2
suit,2
ill,2
right,2
time,2
very,2
lay,2
off,2
drop,2
coal,2
community,2
quite,2
nearer,2
tuesday,2
nearly,2
father,2
wrong,2
lunatic,2
el,2
cottage,1
form,1
u,1
beyond,1
di,1
statesmanship,1
themselves,1
matter,1
involve,1
exceptional,1
open,1
hoy,1
plea,1
verdict,1
each,1
bad,1
question,1
effect,1
ho,1
generation,1
cate,1
hereditary,1
strict,1
ra,1
ed,1
y,1
tb,1
keep,1
tar,1
call,1
sight,1
lunacy,1
ole,1
medical,1
oscillation,1
headache,1
neurotic,1
never,1
opening,1
edge,1
vise,1
tight,1
fat,1
madman,1
chat,1
nice,1
compare,1
war,1
soldier,1
habitual,1
tho,1
dim,1
both,1
whisper,1
lamp,1
occasionally,1
inert,1
lose,1
sudden,1
arm,1
throw,1
see,1
just,1
ever,1
comrade,1
among,1
civilization,1
en,1
mean,1
bel,1
should,1
council,1
gandhi,1
program,1
nervous,1
