lemma,count
the,119
of,80
and,71
in,55
be,54
to,39
a,39
her,34
have,33
he,30
s,24
it,21
his,21
that,20
daniel,19
she,17
him,17
but,15
for,15
love,15
i,14
not,14
as,13
by,13
with,13
you,12
which,11
belle,11
man,11
at,10
like,9
t,9
novel,9
out,9
its,8
their,8
marriage,8
on,8
do,8
go,8
one,8
from,8
e,7
know,7
find,7
kaye,7
smith,7
they,7
there,7
can,7
life,7
crown,6
want,6
only,6
father,6
would,6
all,6
miss,5
good,5
marry,5
them,5
island,5
back,5
old,5
george,5
if,5
then,5
new,4
o,4
when,4
age,4
away,4
sheather,4
this,4
more,4
le,4
sussex,4
end,4
take,4
down,4
tile,4
h,4
people,4
give,4
other,4
into,4
yourself,3
woman,3
family,3
mean,3
break,3
ever,3
re,3
really,3
whom,3
day,3
though,3
than,3
girl,3
come,3
no,3
beauty,3
what,3
who,3
so,3
l,3
house,3
where,3
mother,3
child,3
me,3
each,3
wife,3
now,3
seek,3
few,3
expect,3
year,3
sheila,3
or,3
tell,3
before,3
place,3
english,3
deep,3
work,3
heart,3
time,3
nor,2
fine,2
donald,2
kitty,2
thoma,2
upon,2
son,2
both,2
two,2
voice,2
help,2
flame,2
friend,2
little,2
boat,2
hearth,2
refuge,2
set,2
way,2
perfect,2
war,2
lea,2
j,2
human,2
glad,2
shake,2
farmer,2
see,2
eye,2
forgive,2
will,2
much,2
type,2
wild,2
think,2
n,2
own,2
indifferent,2
fiction,2
still,2
r,2
high,2
sure,2
thing,2
fall,2
again,2
while,2
my,2
together,2
serve,2
stand,2
doorway,2
ill,2
hold,2
over,2
look,2
up,2
must,2
always,2
lie,2
rock,2
channel,2
current,2
definitely,2
england,2
mi,2
turn,2
sea,2
cry,2
equally,2
point,2
say,2
kind,2
too,2
because,2
portrait,2
get,2
novelist,2
land,2
pity,2
wide,2
mote,2
beyond,2
birth,2
room,2
through,2
south,2
use,2
those,2
york,2
country,2
leave,2
hay,1
bitterly,1
slide,1
arm,1
husband,1
iv,1
swell,1
lodge,1
trumpet,1
lanie,1
bat,1
make,1
outside,1
argue,1
yet,1
listen,1
cliff,1
fog,1
mix,1
sit,1
level,1
bray,1
judgment,1
murmur,1
spoil,1
stair,1
divorce,1
oh,1
astray,1
anti,1
ito,1
food,1
upstairs,1
roar,1
bill,1
devour,1
tonight,1
stick,1
unhappy,1
different,1
hut,1
put,1
wound,1
hi,1
pain,1
cave,1
olly,1
rio,1
thai,1
cook,1
wait,1
echo,1
completely,1
here,1
less,1
pour,1
shall,1
burn,1
dead,1
realize,1
character,1
triumph,1
every,1
till,1
most,1
hour,1
fight,1
alone,1
last,1
enemy,1
why,1
sight,1
hand,1
sort,1
shop,1
glimpse,1
etched,1
fa,1
value,1
pictorial,1
humanity,1
background,1
eternal,1
physical,1
moan,1
blanchard,1
feeling,1
village,1
taste,1
finery,1
thunder,1
cheap,1
platte,1
dread,1
dace,1
under,1
d,1
sunbonnet,1
ed,1
once,1
slow,1
previous,1
add,1
score,1
hum,1
tho,1
white,1
smell,1
continual,1
x,1
plain,1
sink,1
green,1
temple,1
broken,1
clammy,1
salt,1
pierre,1
notre,1
dodo,1
sense,1
water,1
drink,1
beast,1
sound,1
foghorn,1
horn,1
some,1
du,1
rocky,1
fiercer,1
dinner,1
seem,1
flux,1
situation,1
watch,1
drone,1
fix,1
mosquito,1
variety,1
touch,1
coast,1
british,1
poses,1
advantage,1
hearing,1
ten,1
nobody,1
lad,1
hie,1
io,1
belong,1
happy,1
vision,1
yon,1
jut,1
u,1
fruit,1
mo,1
change,1
alter,1
ho,1
live,1
v,1
furniture,1
modern,1
crowd,1
wing,1
va,1
untenanted,1
heir,1
part,1
farm,1
ark,1
tenant,1
robert,1
inland,1
mere,1
boggy,1
arable,1
acre,1
tn,1
holding,1
wan,1
farmhouse,1
manor,1
hall,1
hz,1
movie,1
learn,1
return,1
central,1
promising,1
we,1
bus,1
conductor,1
boatman,1
parish,1
clergyman,1
handy,1
inn,1
barman,1
figure,1
emotion,1
ave,1
interplay,1
varied,1
joanna,1
consummate,1
world,1
external,1
perception,1
mark,1
enfold,1
true,1
rich,1
material,1
chief,1
protagonist,1
million,1
race,1
cater,1
host,1
par,1
hark,1
sailor,1
youth,1
build,1
these,1
entanglement,1
mistress,1
predatory,1
male,1
extend,1
sacrifice,1
even,1
symbol,1
aye,1
post,1
pattern,1
shifting,1
fit,1
try,1
title,1
promise,1
stage,1
root,1
viii,1
mood,1
adjustment,1
deft,1
criticism,1
social,1
virtue,1
carry,1
toward,1
permanent,1
win,1
public,1
catch,1
shin,1
after,1
follow,1
commentator,1
essentially,1
adam,1
co,1
pp,1
segment,1
gut,1
iceman,1
foundation,1
pass,1
primary,1
kent,1
marsh,1
th,1
county,1
local,1
flow,1
unbroken,1
draw,1
interest,1
move,1
alard,1
aristocracy,1
pa,1
about,1
something,1
precede,1
us,1
show,1
nell,1
mr,1
course,1
story,1
function,1
preside,1
itself,1
night,1
ira,1
home,1
desertion,1
failure,1
reach,1
word,1
feel,1
antipathy,1
among,1
bad,1
contour,1
childbirth,1
die,1
air,1
rise,1
stumble,1
shelter,1
f,1
married,1
exceptional,1
an,1
interlude,1
bear,1
sorrow,1
appoint,1
prosperous,1
coupe,1
paint,1
describe,1
ask,1
philandering,1
sting,1
sparse,1
trouble,1
understand,1
care,1
speak,1
sympathy,1
lit,1
fire,1
complain,1
beset,1
devil,1
factor,1
putnam,1
maxwell,1
unknown,1
ltd,1
black,1
ac,1
london,1
carey,1
forward,1
ad,1
bedroom,1
blow,1
corn,1
stock,1
heap,1
tumble,1
untidy,1
hair,1
wear,1
floppy,1
w,1
daughter,1
neighboring,1
comely,1
big,1
same,1
education,1
difference,1
spite,1
close,1
friendship,1
admiration,1
boy,1
association,1
hotel,1
half,1
wind,1
himself,1
avid,1
battle,1
red,1
later,1
three,1
reconcile,1
condition,1
neither,1
insist,1
discover,1
become,1
court,1
off,1
engagement,1
quarrel,1
message,1
carrier,1
between,1
mediator,1
long,1
appeal,1
dashing,1
neighborhood,1
keen,1
grand,1
