lemma,count
the,58
be,49
a,42
of,41
and,36
his,30
to,29
in,24
say,23
he,20
with,17
that,14
s,14
have,14
it,13
i,13
mr,13
on,12
charlie,11
not,11
all,10
stewart,10
fool,9
you,9
go,9
crazy,8
king,8
but,8
one,8
we,7
young,7
this,7
pratt,7
ask,7
there,7
good,7
which,6
its,6
by,6
for,6
time,6
may,6
out,6
uncle,5
no,5
satire,5
do,5
if,5
only,5
r,5
t,5
make,5
an,5
than,5
who,5
lr,5
man,4
clerk,4
nonsense,4
fact,4
hand,4
donald,4
would,4
asylum,4
at,4
fr,4
yes,4
reader,4
up,4
as,4
sir,3
department,3
continue,3
could,3
mrs,3
two,3
look,3
just,3
fire,3
air,3
much,3
business,3
station,3
subject,3
part,3
will,3
harlie,3
him,3
start,3
lie,3
reply,3
c,3
smile,3
right,3
about,3
l,3
please,3
boy,3
see,3
story,3
from,3
ogden,3
new,3
book,3
few,3
still,3
opportunity,2
memo,2
get,2
walk,2
our,2
these,2
insane,2
hatch,2
follow,2
so,2
through,2
sufficient,2
pocket,2
letter,2
feel,2
wish,2
ir,2
egg,2
sand,2
barbee,2
describe,2
interrupt,2
most,2
e,2
lady,2
what,2
more,2
their,2
bite,2
me,2
inherit,2
human,2
once,2
ago,2
must,2
thing,2
state,2
over,2
itself,2
among,2
condition,2
life,2
whole,2
when,2
call,2
himself,2
reorganization,2
before,2
tell,2
cry,2
finish,2
st,2
they,2
year,2
become,2
very,2
united,2
them,2
president,2
santa,2
head,2
already,2
claus,2
beaumont,2
leave,2
v,2
judith,2
big,2
laugh,2
draw,1
effort,1
hartford,1
count,1
spoofing,1
stream,1
b,1
flow,1
mingled,1
venus,1
edison,1
both,1
rest,1
decoration,1
railroad,1
find,1
destination,1
roth,1
arrival,1
executor,1
pp,1
journey,1
remain,1
then,1
work,1
devote,1
heir,1
sole,1
die,1
slip,1
beget,1
herb,1
want,1
she,1
seem,1
perfectly,1
notice,1
hero,1
around,1
blush,1
sorry,1
entrance,1
patiently,1
door,1
open,1
organization,1
window,1
heartily,1
ice,1
offense,1
think,1
critical,1
glad,1
ann,1
immediately,1
anything,1
now,1
nice,1
merry,1
clause,1
give,1
take,1
d,1
else,1
verb,1
behind,1
unless,1
noun,1
wait,1
re,1
while,1
n,1
send,1
tr,1
undeniable,1
gift,1
least,1
establish,1
self,1
period,1
speak,1
owe,1
rate,1
any,1
kt,1
effect,1
blend,1
pure,1
trouble,1
disappointing,1
yet,1
disinclination,1
reveal,1
fair,1
come,1
back,1
leg,1
issue,1
benjamin,1
wall,1
yo,1
or,1
tulle,1
brother,1
turtle,1
philadelphia,1
unequal,1
f,1
unclasp,1
cheap,1
minute,1
des,1
rt,1
ale,1
dictation,1
begin,1
con,1
sincerely,1
pi,1
interest,1
national,1
clasp,1
page,1
match,1
example,1
stuff,1
hurl,1
hurt,1
kindly,1
audibly,1
creek,1
mechanism,1
where,1
ill,1
passage,1
tedious,1
week,1
apple,1
modern,1
hiding,1
prove,1
none,1
silliness,1
indication,1
really,1
tire,1
enough,1
bad,1
hose,1
know,1
likely,1
nearer,1
mast,1
content,1
spot,1
merely,1
funny,1
mean,1
arid,1
worth,1
caption,1
prick,1
month,1
bearing,1
tn,1
quell,1
reflection,1
balloon,1
toy,1
value,1
abroad,1
riddle,1
land,1
ina,1
game,1
haddock,1
until,1
america,1
recipe,1
too,1
promise,1
spontaneity,1
travel,1
dogged,1
grim,1
typewriter,1
face,1
hen,1
moment,1
same,1
choice,1
anguish,1
road,1
reach,1
level,1
joke,1
breathing,1
difficult,1
determination,1
was,1
ge,1
inimitable,1
without,1
arrive,1
disposition,1
proper,1
other,1
wat,1
chapter,1
mo,1
unfortunate,1
extract,1
also,1
ta,1
y,1
edge,1
against,1
array,1
unto,1
offer,1
york,1
wilberforce,1
tl,1
discharge,1
spell,1
discovery,1
processional,1
o,1
red,1
gap,1
appear,1
hold,1
another,1
day,1
poor,1
fresh,1
agreeably,1
memory,1
adam,1
ant,1
sympathetically,1
albert,1
into,1
energy,1
pour,1
alone,1
shoulder,1
shrug,1
idealist,1
en,1
old,1
bare,1
dollar,1
j,1
dream,1
till,1
spend,1
your,1
though,1
aid,1
meet,1
aunt,1
matter,1
banking,1
golden,1
even,1
funniest,1
appearance,1
inspect,1
tale,1
american,1
accept,1
em,1
daughter,1
engage,1
polly,1
mankind,1
coin,1
literature,1
range,1
ordinary,1
hour,1
explain,1
ts,1
tiptoe,1
lip,1
force,1
caution,1
oh,1
half,1
x,1
why,1
attend,1
raise,1
publisher,1
jews,1
hilarious,1
novel,1
examination,1
