lemma,count
the,101
in,65
a,61
of,61
be,59
and,50
he,45
to,34
have,28
his,25
as,21
him,17
that,16
with,14
this,14
corbett,14
by,13
at,13
for,12
s,12
an,12
it,12
when,8
on,8
would,7
or,6
not,6
man,6
ring,6
much,6
one,6
which,6
who,6
i,6
there,5
e,5
time,5
fighter,5
become,5
club,5
champion,5
sullivan,5
fight,5
make,4
hand,4
then,4
jim,4
defeat,4
more,4
may,4
t,4
far,4
round,4
perhaps,4
take,4
life,4
ever,4
but,4
quality,4
from,4
show,4
jame,4
than,4
never,4
though,4
hit,4
world,4
book,3
their,3
even,3
them,3
rise,3
san,3
think,3
francisco,3
new,3
j,3
lie,3
little,3
say,3
two,3
meet,3
some,3
moment,3
its,3
my,3
get,3
most,3
up,3
live,3
blow,3
roar,3
crowd,3
l,3
these,3
personality,3
certainly,3
savage,2
robert,2
excellent,2
yet,2
draw,2
mere,2
those,2
power,2
boxing,2
how,2
likely,2
o,2
many,2
me,2
es,2
here,2
will,2
joy,2
ambition,2
another,2
actor,2
ability,2
such,2
other,2
beat,2
peter,2
talent,2
prizefighter,2
battle,2
rival,2
during,2
whom,2
game,2
good,2
honor,2
bout,2
left,2
match,2
about,2
himself,2
last,2
old,2
great,2
london,2
look,2
so,2
athletic,2
gentleman,2
accident,2
career,2
real,2
encounter,2
fashion,2
lew,2
suit,2
quickly,2
rough,2
ferocity,2
any,2
come,2
young,2
dempsey,2
th,2
second,2
into,2
first,2
training,2
respect,2
hardly,2
occupation,2
profession,2
legend,2
boy,2
fix,2
could,2
referee,2
own,2
bring,2
hold,2
probably,2
do,2
victory,2
ten,2
before,2
no,2
end,2
heavyweight,2
h,2
fair,2
still,2
win,2
fame,2
elephantine,1
royalty,1
team,1
america,1
nice,1
baseball,1
very,1
modestly,1
age,1
player,1
five,1
perform,1
business,1
guilbert,1
professional,1
dancer,1
fuller,1
where,1
rein,1
go,1
conclusively,1
once,1
again,1
slugger,1
later,1
year,1
pathos,1
kid,1
over,1
camp,1
attach,1
attempt,1
downfall,1
supper,1
famous,1
conclude,1
chapter,1
pugilist,1
youth,1
what,1
series,1
see,1
plexus,1
play,1
guest,1
dress,1
fabulous,1
rather,1
favor,1
odd,1
attain,1
goat,1
y,1
succeed,1
insistence,1
because,1
carry,1
however,1
spar,1
exchange,1
wear,1
john,1
possible,1
hail,1
va,1
generation,1
perishable,1
negro,1
strength,1
overestimate,1
lane,1
startle,1
drury,1
act,1
unless,1
pitcher,1
faintly,1
event,1
city,1
jersey,1
eminence,1
complete,1
overthrow,1
both,1
invincible,1
consider,1
jaw,1
ordinary,1
hook,1
twenty,1
small,1
necessary,1
somewhat,1
depart,1
analogous,1
prize,1
stride,1
seat,1
editor,1
autobiography,1
author,1
nominal,1
write,1
dolt,1
always,1
is,1
sort,1
occasion,1
join,1
forward,1
tale,1
lean,1
breath,1
catch,1
reminiscence,1
abomination,1
forth,1
set,1
vividly,1
adventure,1
foible,1
portrayal,1
narrative,1
high,1
br,1
jack,1
le,1
ag,1
hazardous,1
banking,1
regret,1
dick,1
few,1
work,1
sentiment,1
full,1
boo,1
largely,1
rearranging,1
obvious,1
despite,1
plain,1
clear,1
dre,1
gen,1
trace,1
credit,1
intention,1
character,1
true,1
surrender,1
finish,1
nov,1
malice,1
york,1
introduction,1
putnam,1
anderson,1
gordon,1
friend,1
bis,1
fighting,1
associate,1
commonly,1
son,1
reader,1
next,1
like,1
president,1
agreeable,1
long,1
enjoy,1
youthfulness,1
retain,1
miscall,1
requirement,1
except,1
george,1
marion,1
know,1
stage,1
impression,1
d,1
co,1
moralist,1
waste,1
whether,1
lawyer,1
highly,1
fall,1
universal,1
illustrate,1
front,1
same,1
wit,1
keen,1
itself,1
ahead,1
natural,1
aside,1
kill,1
pp,1
observe,1
director,1
jackson,1
only,1
laurel,1
sher,1
genteel,1
spite,1
v,1
rounds,1
lifetime,1
outwit,1
sixty,1
misfortune,1
hammer,1
light,1
broken,1
pr,1
malone,1
pitch,1
profit,1
stay,1
respectability,1
sot,1
soldier,1
bruiser,1
down,1
child,1
achievement,1
appearance,1
manner,1
earn,1
bank,1
z,1
if,1
encourage,1
twice,1
whip,1
had,1
bully,1
school,1
ha,1
chance,1
place,1
nickname,1
secure,1
unlikely,1
seem,1
pm,1
hop,1
keeper,1
stable,1
livery,1
father,1
tact,1
slug,1
every,1
outpoint,1
nan,1
success,1
w,1
sometimes,1
bluff,1
since,1
generosity,1
unlike,1
boast,1
can,1
sound,1
ethic,1
major,1
minor,1
asset,1
ii,1
willingness,1
display,1
flawless,1
absolutely,1
abundantly,1
themselves,1
feeling,1
trait,1
vat,1
nile,1
intelligent,1
achieve,1
day,1
boxer,1
estimate,1
ally,1
dominate,1
out,1
thing,1
myself,1
care,1
prove,1
too,1
sal,1
all,1
quit,1
faculty,1
speed,1
footwork,1
science,1
decency,1
due,1
m,1
compatible,1
pal,1
name,1
personal,1
harding,1
