lemma,count
the,139
of,96
be,80
to,68
and,64
in,57
a,45
her,40
have,35
s,27
she,24
as,23
for,22
not,22
with,22
mrs,21
he,20
i,20
that,18
on,18
his,18
it,16
great,14
by,14
at,14
letter,13
queen,12
from,12
who,11
an,11
which,10
such,10
will,9
blue,9
wit,9
or,9
when,9
johnson,9
this,9
l,8
mr,8
there,8
lord,8
death,7
make,7
one,7
do,6
o,6
many,6
after,6
write,6
elizabeth,6
very,6
age,6
dr,6
him,6
two,6
no,6
most,6
more,5
any,5
e,5
consider,5
mind,5
but,5
literary,5
all,5
say,5
than,5
can,5
whose,4
some,4
wife,4
other,4
me,4
hut,4
lady,4
if,4
h,4
howe,4
again,4
club,4
we,4
woman,4
interest,4
friend,4
volume,4
take,4
because,4
would,4
t,4
its,4
time,4
our,4
least,4
seem,4
writing,3
d,3
ill,3
show,3
hi,3
tr,3
never,3
thing,3
american,3
see,3
rank,3
live,3
good,3
go,3
however,3
even,3
these,3
street,3
nothing,3
come,3
only,3
opinion,3
first,3
burke,3
admiral,3
they,3
le,3
day,3
n,3
fool,3
use,3
too,3
although,3
express,3
call,3
material,3
may,3
st,3
complete,3
sort,3
work,3
friendship,3
stocking,3
blunt,3
far,3
social,2
task,2
comment,2
reputation,2
could,2
english,2
service,2
frequent,2
nd,2
point,2
generally,2
judgment,2
close,2
place,2
genius,2
shakespeare,2
same,2
own,2
hill,2
quite,2
provincial,2
beautiful,2
herself,2
edmund,2
so,2
chesterfield,2
hold,2
wish,2
display,2
whom,2
either,2
critical,2
cause,2
term,2
understand,2
power,2
often,2
light,2
nor,2
gathering,2
doubtless,2
appear,2
without,2
new,2
world,2
majesty,2
happy,2
intelligence,2
last,2
review,2
ira,2
way,2
radiation,2
what,2
r,2
intellectual,2
century,2
those,2
tell,2
you,2
them,2
contemporary,2
their,2
de,2
reginald,2
little,2
f,2
prepare,2
c,2
much,2
indicate,2
visit,2
apparently,2
up,2
carry,2
die,2
hall,2
sharp,2
j,2
emily,2
leave,2
rumor,2
war,2
us,2
king,2
give,2
thirty,2
above,2
bear,2
thai,2
john,2
perhaps,2
m,2
few,2
art,2
birthday,2
sir,2
mi,2
attainment,2
io,2
child,2
husband,2
joshua,2
number,2
p,2
find,2
bu,1
channel,1
fleet,1
invent,1
reward,1
promise,1
y,1
nation,1
now,1
outside,1
independence,1
reversal,1
necessity,1
achieve,1
form,1
frail,1
seduce,1
eventually,1
love,1
blame,1
remove,1
sister,1
encourage,1
malice,1
completely,1
guilty,1
draw,1
merely,1
ask,1
girl,1
suffer,1
adulation,1
house,1
epithet,1
charge,1
virtually,1
lydia,1
daughter,1
square,1
sod,1
easily,1
hand,1
page,1
continue,1
unusually,1
spit,1
gifted,1
commander,1
levity,1
argument,1
win,1
ber,1
change,1
advanced,1
shed,1
bow,1
furniture,1
sh,1
offense,1
forth,1
ready,1
fretful,1
testamentary,1
upon,1
quill,1
stand,1
virtue,1
integrity,1
fail,1
groat,1
high,1
disappoint,1
hy,1
rapidly,1
ono,1
excuse,1
dangerously,1
cry,1
break,1
soften,1
speak,1
fact,1
ribald,1
captious,1
querulous,1
wrong,1
eyesight,1
necessary,1
right,1
tear,1
ah,1
penitent,1
grant,1
hope,1
manner,1
severe,1
talk,1
respect,1
shall,1
soon,1
serious,1
hear,1
command,1
suitable,1
young,1
journey,1
date,1
sentimental,1
intellect,1
fol,1
document,1
grow,1
pour,1
quarrel,1
brief,1
ant,1
speculation,1
fiery,1
probability,1
foible,1
walpole,1
order,1
learn,1
accomplish,1
mary,1
riot,1
man,1
celebrated,1
lack,1
heat,1
monte,1
wise,1
si,1
bolton,1
tea,1
drink,1
condescend,1
know,1
dispatch,1
course,1
nine,1
helicon,1
arrive,1
sup,1
walter,1
attract,1
companionship,1
people,1
value,1
william,1
weller,1
pepys,1
farseeing,1
rebel,1
tory,1
audacity,1
england,1
must,1
sharply,1
differ,1
visitor,1
discount,1
member,1
admirer,1
considerably,1
din,1
admiration,1
title,1
icy,1
spite,1
prime,1
enthusiasm,1
refer,1
yesterday,1
cambridge,1
writer,1
brother,1
hey,1
bridge,1
fanny,1
accord,1
dull,1
appreciate,1
bountiful,1
apply,1
aim,1
pose,1
judge,1
compose,1
inspiration,1
talent,1
officer,1
dangerous,1
wear,1
wearer,1
until,1
calmly,1
lose,1
name,1
informal,1
hose,1
gray,1
overseas,1
aug,1
benjamin,1
fairly,1
assembly,1
colonial,1
fifteenth,1
la,1
against,1
venetian,1
laugh,1
reaction,1
scott,1
agree,1
shin,1
greatly,1
troop,1
how,1
membership,1
act,1
unreadable,1
election,1
invitation,1
remain,1
establish,1
drawing,1
word,1
wisdom,1
cowardice,1
stock,1
meaning,1
should,1
dress,1
half,1
another,1
stupidity,1
prompt,1
idea,1
assure,1
battle,1
association,1
likely,1
society,1
stage,1
voltaire,1
fill,1
devon,1
lacy,1
et,1
matthew,1
w,1
york,1
shire,1
family,1
cousin,1
just,1
prior,1
painting,1
reynold,1
married,1
edward,1
marriage,1
z,1
sandwich,1
garrick,1
additionally,1
pique,1
previously,1
ry,1
lr,1
david,1
tall,1
dram,1
en,1
froth,1
frontispiece,1
west,1
ml,1
is,1
earl,1
nearly,1
zr,1
humble,1
hui,1
party,1
gather,1
round,1
hither,1
om,1
lodging,1
self,1
occasion,1
rove,1
keen,1
ham,1
eulogize,1
faithful,1
london,1
build,1
year,1
brilliant,1
old,1
bride,1
scholar,1
wealth,1
content,1
allow,1
surround,1
quarter,1
coterie,1
ff,1
couple,1
ed,1
survive,1
consort,1
tarn,1
absorb,1
disgrace,1
confront,1
request,1
legatee,1
unfinished,1
thus,1
readily,1
dismay,1
alternative,1
testator,1
deny,1
dead,1
undertake,1
magnitude,1
feel,1
himself,1
publication,1
destine,1
select,1
boston,1
eighteenth,1
amazing,1
percy,1
hutchison,1
edit,1
pp,1
co,1
undigested,1
set,1
incommodious,1
legacy,1
fall,1
heir,1
mass,1
arrange,1
thousand,1
ha,1
history,1
intimately,1
portrait,1
celt,1
story,1
east,1
period,1
include,1
anti,1
reach,1
pain,1
tad,1
administration,1
grenville,1
north,1
sided,1
almost,1
between,1
po,1
reign,1
actually,1
begin,1
yea,1
earlier,1
pertain,1
publish,1
prize,1
bx,1
lid,1
err,1
produce,1
lead,1
whorl,1
exert,1
conversation,1
person,1
tiny,1
hard,1
untimely,1
labor,1
poet,1
bona,1
root,1
bath,1
next,1
certainly,1
vii,1
respecter,1
crowd,1
heal,1
fatigue,1
dine,1
before,1
independent,1
gout,1
hus,1
band,1
witty,1
demonic,1
expression,1
instance,1
toe,1
declare,1
head,1
capable,1
manage,1
kingdom,1
u,1
bot,1
burden,1
heaven,1
ever,1
truth,1
since,1
lt,1
room,1
where,1
pretty,1
veil,1
ashamed,1
q,1
long,1
converse,1
author,1
tawdry,1
book,1
aid,1
staler,1
x,1
infinite,1
neither,1
militant,1
stanch,1
sol,1
porter,1
decency,1
quality,1
appreciation,1
marry,1
sympathy,1
incline,1
toward,1
condone,1
unfit,1
lie,1
flirtation,1
mild,1
animus,1
through,1
degree,1
divert,1
part,1
expected,1
market,1
modest,1
four,1
competition,1
v,1
ll,1
translate,1
into,1
forget,1
today,1
influence,1
relish,1
deal,1
flattering,1
meet,1
ratiocination,1
eminence,1
sm,1
oil,1
va,1
absolve,1
nowise,1
appearance,1
ally,1
moment,1
edition,1
play,1
clear,1
admit,1
superior,1
tragedy,1
episode,1
ahead,1
sequence,1
present,1
bunt,1
editor,1
life,1
mean,1
comedy,1
matter,1
interim,1
lizabeth,1
famous,1
paris,1
discuss,1
somewhat,1
run,1
astonish,1
become,1
really,1
reconciliation,1
accept,1
apology,1
offer,1
latter,1
provocation,1
attack,1
elton,1
rescue,1
spirited,1
rush,1
end,1
womans,1
