lemma,count
the,36
be,22
of,21
to,14
and,13
a,12
in,10
by,9
with,8
it,7
boy,6
they,6
i,5
their,5
for,5
paper,5
year,4
little,4
this,4
no,4
his,4
from,4
or,4
many,4
on,4
as,3
an,3
all,3
essay,3
so,3
have,3
spring,3
between,3
s,3
sweet,3
fish,3
her,3
hook,3
water,3
there,3
come,3
forum,2
sprig,2
travel,2
subject,2
school,2
use,2
fern,2
bring,2
which,2
read,2
edit,2
brook,2
politic,2
two,2
book,2
together,2
student,2
very,2
good,2
mr,2
other,2
at,2
who,2
through,2
preface,2
woman,2
after,2
white,2
but,2
lippmann,2
time,2
pail,2
them,2
issue,2
author,2
how,2
mackenzie,2
that,2
collection,2
bestow,1
solitude,1
africa,1
us,1
ineffable,1
vision,1
sharing,1
journey,1
forest,1
miss,1
fantasy,1
jule,1
verne,1
formative,1
influence,1
edward,1
everett,1
hale,1
change,1
hymn,1
herbert,1
benevolent,1
bill,1
sticker,1
joseph,1
billboard,1
most,1
delightful,1
vibrant,1
jean,1
kenyon,1
unforgotten,1
hers,1
something,1
alive,1
color,1
stir,1
imagination,1
exciting,1
humor,1
modern,1
courage,1
universal,1
press,1
close,1
me,1
silence,1
palaver,1
house,1
will,1
deal,1
union,1
she,1
give,1
each,1
breath,1
ardor,1
presently,1
mother,1
cook,1
pot,1
beating,1
heart,1
break,1
under,1
green,1
crystal,1
clear,1
those,1
petition,1
one,1
impart,1
my,1
thirst,1
shall,1
small,1
brass,1
hang,1
look,1
pall,1
like,1
capital,1
letter,1
matter,1
put,1
foot,1
worth,1
exactly,1
withdrawal,1
hand,1
evident,1
still,1
shiver,1
its,1
brazen,1
cup,1
cover,1
offering,1
yet,1
m,1
mention,1
vary,1
sixteen,1
thing,1
people,1
now,1
talk,1
about,1
discussion,1
thirty,1
more,1
whole,1
content,1
fulfill,1
introduction,1
somewhat,1
idea,1
find,1
educational,1
work,1
backbone,1
too,1
vertebrae,1
eventual,1
benefit,1
such,1
must,1
doubtful,1
he,1
prick,1
illustrate,1
monthly,1
late,1
interest,1
room,1
robert,1
gaston,1
second,1
series,1
pp,1
new,1
york,1
co,1
design,1
high,1
choose,1
girl,1
volume,1
represent,1
various,1
stratum,1
literary,1
art,1
accord,1
gather,1
day,1
pleasant,1
reading,1
fly,1
first,1
example,1
hypodermic,1
needle,1
ago,1
abs,1
date,1
month,1
u,1
re,1
fit,1
duly,1
into,1
niche,1
heywood,1
today,1
ten,1
write,1
these,1
flippantly,1
roosevelt,1
beginning,1
end,1
career,1
whose,1
sentiment,1
manly,1
virtue,1
practical,1
here,1
print,1
selection,1
omission,1
walter,1
lowbrow,1
chapter,1
exhilarate,1
then,1
along,1
next,1
stimulant,1
few,1
sedative,1
perhaps,1
van,1
charming,1
highbrow,1
if,1
unaccountable,1
instead,1
disconnected,1
america,1
age,1
chance,1
do,1
direct,1
constructive,1
thinking,1
great,1
knowledge,1
less,1
kettle,1
